Time (ms), Relative Humidity (percent)
9829,23.4365234375
9933,24.93359375
10033,24.9443359375
10133,25.01953125
10233,25.0966796875
10332,25.1494140625
10442,25.203125
10542,25.2900390625
10646,25.33203125
10752,25.4189453125
10852,25.3984375
10952,25.4189453125
11052,25.4521484375
11155,25.4306640625
11262,25.4521484375
11362,25.4521484375
11462,25.4404296875
11561,25.4521484375
11665,25.462890625
11771,25.4521484375
11871,25.4736328125
11974,25.4736328125
12081,25.484375
12181,25.4736328125
12291,25.505859375
12391,25.462890625
12494,25.4951171875
12601,25.4736328125
12700,25.4951171875
12800,25.49609375
12900,25.505859375
13004,25.4951171875
13110,25.4951171875
13210,25.4853515625
13310,25.34375
13410,25.484375
13510,25.462890625
13620,25.462890625
13720,25.4423828125
13823,25.462890625
13929,25.419921875
14029,25.4208984375
14129,25.3330078125
14229,25.4091796875
14333,25.3994140625
14439,25.3994140625
14539,25.3994140625
14639,25.3779296875
14739,25.3779296875
14843,25.35546875
14948,25.2587890625
15048,25.3447265625
15152,25.333984375
15258,25.3232421875
15358,25.32421875
15468,25.3125
15568,25.3125
15671,25.3134765625
15778,25.2919921875
15878,25.28125
15978,25.3671875
16077,25.2802734375
16181,25.3779296875
16287,25.2490234375
16387,25.2490234375
16487,25.23828125
16587,25.23828125
16687,25.1298828125
16797,25.28125
16897,25.2275390625
17000,25.15234375
17106,25.2060546875
17206,25.1953125
17306,25.1953125
17406,25.1845703125
17510,25.1845703125
17616,25.2919921875
17716,25.173828125
17816,25.1630859375
17916,25.1630859375
18016,25.1630859375
18126,25.15234375
18226,25.142578125
18329,25.1416015625
18436,25.1533203125
18545,25.1962890625
18645,25.142578125
18745,25.130859375
18849,25.185546875
18955,25.12109375
19055,25.1103515625
19155,25.0888671875
19255,25.0986328125
19359,25.1748046875
19465,24.9697265625
19564,25.0888671875
19664,25.0888671875
19764,25.087890625
19864,25.06640625
19974,25.056640625
20074,25.0556640625
20177,25.056640625
20284,24.9052734375
20384,25.044921875
20483,25.0458984375
20583,25.03515625
20687,25.0458984375
20793,25.03515625
20893,25.0234375
20993,24.8193359375
21093,25.03515625
21193,25.013671875
21303,25.013671875
21403,25.013671875
21506,25.0029296875
21612,24.9697265625
21712,25.0029296875
21812,25.1318359375
21912,24.970703125
22016,24.982421875
22122,24.9697265625
22222,24.98046875
22322,24.970703125
22422,24.958984375
22526,24.94921875
22632,24.8740234375
22732,24.9599609375
22835,24.787109375
22942,24.94921875
23041,24.94921875
23151,24.9169921875
23251,24.9384765625
23355,24.9169921875
23461,24.9169921875
23561,24.94921875
23661,24.9169921875
23761,24.8955078125
23865,25.099609375
23971,24.90625
24070,24.8955078125
24170,24.8955078125
24270,24.7978515625
24370,24.884765625
24480,24.884765625
24580,24.8740234375
24683,24.86328125
24790,24.8740234375
24890,24.86328125
24990,24.8642578125
25090,24.798828125
25193,24.8525390625
25300,24.712890625
25399,24.841796875
25499,24.841796875
25599,24.8203125
25699,24.8203125
25809,24.8212890625
25909,24.77734375
26012,24.8095703125
26118,24.7880859375
26218,24.77734375
26318,24.7666015625
26418,24.77734375
26522,24.7451171875
26628,24.7666015625
26728,24.69140625
26828,24.7568359375
26928,24.755859375
27032,24.7451171875
27138,24.7451171875
27238,24.7568359375
27338,24.7236328125
27438,24.734375
27537,24.7353515625
27647,24.4765625
27747,24.734375
27851,24.734375
27957,24.734375
28057,24.7236328125
28157,24.7236328125
28257,24.7138671875
28361,25.046875
28467,24.7568359375
28567,24.8427734375
28667,24.7138671875
28766,24.7138671875
28866,24.724609375
28976,24.69140625
29076,24.703125
29179,24.703125
29286,24.703125
29386,24.8330078125
29486,24.6923828125
29586,24.6923828125
29689,24.681640625
29796,24.6484375
29895,24.60546875
29995,24.51953125
30095,24.767578125
30199,24.5087890625
30305,24.46484375
30405,24.43359375
30508,24.4111328125
30615,24.3671875
30715,24.314453125
30825,24.3037109375
30925,24.2705078125
31028,24.23828125
31135,24.216796875
31244,24.06640625
31344,24.1630859375
31444,24.15234375
31548,24.3037109375
31654,24.09765625
31754,24.06640625
31854,24.033203125
31954,24.06640625
32054,23.849609375
32164,24.0537109375
32263,23.8701171875
32367,23.9443359375
32473,23.79296875
32573,23.7392578125
32673,23.6953125
32773,23.630859375
32877,23.6416015625
32983,23.845703125
33083,23.587890625
33182,23.544921875
33282,23.51171875
33382,23.48046875
33492,23.458984375
33592,23.48046875
33696,23.4150390625
33802,23.48046875
33902,23.373046875
34012,23.30859375
34112,23.296875
34215,23.25390625
34322,23.2109375
34422,23.19921875
34521,23.19921875
34621,23.005859375
34725,23.232421875
34831,23.134765625
34931,23.125
35031,23.08203125
35131,23.048828125
35231,22.9951171875
35341,22.9951171875
35441,22.9619140625
35544,22.951171875
35651,23.232421875
35750,22.9404296875
35850,22.908203125
35950,22.865234375
36054,22.822265625
36160,22.7890625
36260,22.74609375
36360,22.74609375
36460,22.6591796875
36560,22.603515625
36670,22.5712890625
36769,22.52734375
36873,22.515625
36979,22.4609375
37079,22.427734375
37179,22.2333984375
37279,22.3505859375
37382,22.3837890625
37489,22.2861328125
37589,22.25390625
37689,22.2314453125
37789,22.2099609375
37893,22.177734375
37999,22.1337890625
38098,22.294921875
38202,22.111328125
38308,22.078125
38408,22.0458984375
38518,22.0361328125
38618,22.013671875
38721,21.9931640625
38828,21.9599609375
38928,21.9599609375
39028,21.9267578125
39127,21.89453125
39231,21.8828125
39337,21.8505859375
39437,21.8388671875
39537,21.8173828125
39637,21.806640625
39737,21.78515625
