Time (ms), eCO2 density (ppm)
56442,400.0
56551,400.0
56651,400.0
56755,400.0
56861,400.0
56961,400.0
57071,400.0
57171,400.0
57275,400.0
57381,400.0
57481,400.0
57581,400.0
57681,400.0
57780,400.0
57890,400.0
57990,400.0
58090,400.0
58190,400.0
58290,400.0
58400,400.0
58500,400.0
58603,400.0
58710,400.0
58810,400.0
58909,400.0
59009,400.0
59113,400.0
59219,400.0
59319,400.0
59419,400.0
59519,400.0
59619,400.0
59729,400.0
59829,400.0
59932,400.0
60039,400.0
60138,400.0
60248,400.0
60348,400.0
60452,400.0
60558,400.0
60658,400.0
60758,400.0
60858,400.0
60958,400.0
61068,400.0
61168,400.0
61268,400.0
61367,400.0
61467,400.0
61577,400.0
61677,400.0
61781,400.0
61887,400.0
61987,400.0
62087,400.0
62187,400.0
62287,400.0
62397,400.0
62496,400.0
62596,400.0
62696,400.0
62796,400.0
62906,400.0
63006,400.0
63109,400.0
63216,400.0
63316,400.0
63416,400.0
63516,400.0
63619,400.0
63726,400.0
63825,400.0
63925,400.0
64025,400.0
64125,400.0
64235,400.0
64335,400.0
64438,400.0
64545,400.0
64645,400.0
64755,400.0
64854,400.0
64958,400.0
65064,400.0
65164,400.0
65264,400.0
65364,400.0
65464,400.0
65574,400.0
65674,400.0
65774,400.0
65874,400.0
65974,400.0
66084,400.0
66183,400.0
66287,400.0
66393,400.0
66493,400.0
66593,400.0
66693,400.0
66797,400.0
66903,400.0
67003,400.0
67102,400.0
67202,400.0
67302,400.0
67412,400.0
67512,400.0
67616,400.0
67722,400.0
67822,400.0
67932,400.0
68032,400.0
68135,400.0
68242,400.0
68341,400.0
68441,400.0
68541,400.0
68641,400.0
68751,400.0
68851,400.0
68951,400.0
69051,400.0
69151,400.0
69261,400.0
69361,400.0
69464,400.0
69570,400.0
69670,400.0
69770,400.0
69870,400.0
69974,400.0
70080,400.0
70180,400.0
70280,400.0
70380,400.0
70480,400.0
70590,400.0
70689,400.0
70793,400.0
70899,400.0
70999,400.0
71099,400.0
71199,400.0
71302,400.0
71409,400.0
71509,400.0
71609,400.0
71709,400.0
71809,400.0
71919,400.0
72018,400.0
72118,400.0
72218,400.0
72318,400.0
72428,400.0
72528,400.0
72631,400.0
72738,400.0
72838,400.0
72938,400.0
73037,400.0
73137,400.0
73247,400.0
73347,400.0
73447,400.0
73547,400.0
73647,400.0
73757,400.0
73857,400.0
73960,400.0
74066,400.0
74166,400.0
74266,400.0
74366,400.0
74470,400.0
74576,400.0
74676,400.0
74776,400.0
74876,400.0
74976,400.0
75086,400.0
75186,400.0
75289,400.0
75396,400.0
75495,400.0
75605,400.0
75705,400.0
75808,400.0
75915,400.0
76015,400.0
76115,400.0
76215,400.0
76315,400.0
76425,400.0
76524,400.0
76624,400.0
76724,400.0
76824,400.0
76934,400.0
77034,400.0
77137,400.0
77244,400.0
77344,400.0
77444,400.0
77544,400.0
77654,400.0
77753,400.0
77853,400.0
77953,400.0
78053,400.0
78153,400.0
78263,400.0
78363,400.0
78466,400.0
78573,400.0
78673,400.0
78772,400.0
78872,400.0
78976,400.0
79082,400.0
79182,400.0
79282,400.0
79382,400.0
79482,400.0
79592,400.0
79692,400.0
79791,400.0
79891,400.0
79991,400.0
80101,400.0
80201,400.0
80305,400.0
80411,400.0
80511,400.0
80611,400.0
80711,400.0
80811,400.0
80921,400.0
81020,400.0
81120,400.0
81220,400.0
81320,400.0
81430,400.0
81530,400.0
81633,400.0
81740,400.0
81840,400.0
81940,400.0
82040,400.0
82143,400.0
82250,400.0
82359,400.0
82459,400.0
82559,400.0
82659,400.0
82769,400.0
82869,400.0
82972,400.0
83079,400.0
83179,400.0
83289,400.0
83388,400.0
83492,400.0
83598,400.0
83698,400.0
83798,400.0
83898,400.0
83998,400.0
84108,400.0
84208,400.0
84307,400.0
84407,400.0
84507,400.0
84617,400.0
84717,400.0
84821,400.0
84927,400.0
85027,400.0
85127,400.0
85227,400.0
85331,400.0
85436,400.0
85536,400.0
85636,400.0
85736,400.0
85836,400.0
85946,400.0
86046,400.0
86149,400.0
86256,400.0
86356,400.0
86465,400.0
86565,400.0
86669,400.0
86775,400.0
86875,400.0
86975,400.0
87075,400.0
87175,400.0
87285,400.0
87385,400.0
87485,400.0
87585,400.0
87685,400.0
87794,400.0
87894,400.0
87998,400.0
88104,400.0
88204,400.0
88304,400.0
88404,400.0
88504,400.0
88614,400.0
88714,400.0
88814,400.0
88913,400.0
89013,400.0
89123,400.0
89223,400.0
89327,400.0
89433,400.0
89533,400.0
89633,400.0
89733,400.0
89836,400.0
89942,400.0
90042,400.0
90142,400.0
90242,400.0
90342,400.0
90452,400.0
90552,400.0
90655,400.0
90762,400.0
90862,400.0
90972,400.0
91072,400.0
91175,400.0
91281,400.0
91381,400.0
91481,400.0
91581,400.0
91681,400.0
91791,400.0
91891,400.0
91991,400.0
92091,400.0
92191,400.0
92300,400.0
92400,400.0
92503,400.0
92610,400.0
92710,400.0
92810,400.0
92910,400.0
93014,400.0
93120,400.0
93220,400.0
93320,400.0
93419,400.0
93519,400.0
93629,400.0
93729,400.0
93833,400.0
93939,400.0
94039,400.0
94149,400.0
94249,400.0
94352,400.0
94459,400.0
94558,400.0
94658,400.0
94758,400.0
94858,400.0
94968,400.0
95068,400.0
95168,400.0
95268,400.0
95368,400.0
95478,400.0
95577,400.0
95681,400.0
95787,400.0
95887,400.0
95987,400.0
96087,400.0
96191,400.0
96297,400.0
96397,400.0
96497,400.0
96597,400.0
96696,400.0
96806,400.0
96906,400.0
97009,400.0
97116,400.0
97216,400.0
97316,400.0
97416,400.0
97519,400.0
97626,400.0
97726,400.0
97825,400.0
97925,400.0
98025,400.0
98135,400.0
98235,400.0
98335,400.0
98435,400.0
98535,400.0
98645,400.0
98745,400.0
98848,400.0
98955,400.0
99054,400.0
99154,400.0
99254,400.0
99354,400.0
99464,400.0
99564,400.0
99664,400.0
99764,400.0
99864,400.0
99974,400.0
100073,400.0
100177,400.0
100283,400.0
100383,400.0
100483,400.0
100583,400.0
100687,400.0
100793,400.0
100893,400.0
100993,400.0
101093,400.0
101192,400.0
101302,400.0
101402,400.0
101506,400.0
101612,400.0
101712,400.0
101822,400.0
101922,400.0
102025,400.0
102132,400.0
102232,400.0
102331,400.0
102431,400.0
102531,400.0
102641,400.0
102741,400.0
102841,400.0
102941,400.0
103041,400.0
103151,400.0
103251,400.0
103354,400.0
103461,400.0
103560,400.0
103660,400.0
103760,400.0
103864,400.0
103970,400.0
104070,400.0
104170,400.0
104270,400.0
104370,400.0
104480,400.0
104579,400.0
104683,400.0
104789,400.0
104889,400.0
104989,400.0
105089,400.0
105192,400.0
105299,400.0
105399,400.0
105499,400.0
105599,400.0
105698,400.0
105808,400.0
105908,400.0
106008,400.0
106108,400.0
106208,400.0
106318,400.0
106418,400.0
106521,400.0
106628,400.0
106727,400.0
106827,400.0
106927,400.0
107027,400.0
107137,400.0
107237,400.0
107337,400.0
107437,400.0
107537,400.0
107647,400.0
107747,400.0
107850,400.0
107957,400.0
108066,400.0
108166,400.0
108266,400.0
108370,400.0
108476,400.0
108576,400.0
108676,400.0
108776,400.0
108876,400.0
108986,400.0
109085,400.0
109189,400.0
109295,400.0
109395,400.0
109505,400.0
109605,400.0
109708,400.0
109815,400.0
109915,400.0
110015,400.0
110114,400.0
110214,400.0
110324,400.0
110424,400.0
110524,400.0
110624,400.0
110724,400.0
110834,400.0
110934,400.0
111037,400.0
111144,400.0
111243,400.0
111343,400.0
111443,400.0
111554,400.0
111663,400.0
111763,400.0
111863,400.0
111963,400.0
112063,400.0
112173,400.0
112272,400.0
112376,400.0
112482,400.0
112582,400.0
112692,400.0
112792,400.0
112895,400.0
113001,400.0
113101,400.0
113201,400.0
113301,400.0
113401,400.0
113511,400.0
113611,400.0
113711,400.0
113811,400.0
113911,400.0
114021,400.0
114121,400.0
114224,400.0
114331,400.0
114430,400.0
114530,400.0
114630,400.0
114730,400.0
114840,400.0
114940,400.0
115040,400.0
115140,400.0
115240,400.0
115350,400.0
115449,400.0
115553,400.0
115659,400.0
115759,400.0
115859,400.0
115959,400.0
116062,400.0
116169,400.0
116269,400.0
116369,400.0
116469,400.0
116568,400.0
116678,400.0
116778,400.0
116882,400.0
116988,400.0
117088,400.0
117198,400.0
117298,400.0
117401,400.0
117508,400.0
117607,400.0
117707,400.0
117807,400.0
117907,400.0
118017,400.0
118117,400.0
118217,400.0
118317,400.0
118417,400.0
118527,400.0
118627,400.0
118730,400.0
118837,400.0
118946,400.0
119046,400.0
119146,400.0
119250,400.0
119356,400.0
119456,400.0
119556,400.0
119656,400.0
119756,400.0
119865,400.0
119965,400.0
120068,400.0
120175,400.0
120275,400.0
120385,400.0
120485,400.0
120588,400.0
120695,400.0
120795,400.0
120894,400.0
120994,400.0
121094,400.0
121204,400.0
121304,400.0
121404,400.0
121504,400.0
121604,400.0
121714,400.0
121814,400.0
121917,400.0
122024,400.0
122123,400.0
122223,400.0
122323,400.0
122427,400.0
122533,400.0
122633,400.0
122733,400.0
122833,400.0
122933,400.0
123043,400.0
123142,400.0
123246,400.0
123352,400.0
123452,400.0
123552,400.0
123652,400.0
123755,400.0
123862,400.0
123962,400.0
124062,400.0
124161,400.0
124261,400.0
124371,400.0
124471,400.0
124571,400.0
124671,400.0
124771,400.0
124881,400.0
124981,400.0
125084,400.0
125191,400.0
125290,400.0
125390,400.0
125490,400.0
125590,400.0
125700,400.0
125800,400.0
125900,400.0
126000,400.0
126100,400.0
126210,400.0
126309,400.0
126413,400.0
126519,400.0
126619,400.0
126719,400.0
126819,400.0
126922,400.0
127029,400.0
127129,400.0
127229,400.0
127328,400.0
127428,400.0
127538,400.0
127638,400.0
127742,400.0
127848,400.0
127948,400.0
128058,400.0
128158,400.0
128261,400.0
128368,400.0
128467,400.0
128567,400.0
128667,400.0
128767,400.0
128877,400.0
128977,400.0
129077,400.0
129177,400.0
129277,400.0
129387,400.0
129486,400.0
129590,400.0
129696,400.0
129796,400.0
129896,400.0
129996,400.0
130100,400.0
130206,400.0
130306,400.0
130406,400.0
130506,400.0
130605,400.0
130715,400.0
130815,400.0
130918,400.0
131025,400.0
131125,400.0
131225,400.0
131325,400.0
131428,400.0
131535,400.0
131634,400.0
131734,400.0
131834,400.0
131934,400.0
132044,400.0
132144,400.0
132244,400.0
132344,400.0
132444,400.0
132554,400.0
132654,400.0
132757,400.0
132864,400.0
132973,400.0
133073,400.0
133173,400.0
133273,400.0
133383,400.0
133483,400.0
133583,400.0
133683,400.0
133782,400.0
133892,400.0
133992,400.0
134096,400.0
134202,400.0
134302,400.0
134402,400.0
134502,400.0
134605,400.0
134712,400.0
134812,400.0
134911,400.0
135011,400.0
135111,400.0
135221,400.0
135321,400.0
135425,400.0
135531,400.0
135631,400.0
135741,400.0
135841,400.0
135944,400.0
136050,400.0
136150,400.0
136250,400.0
136350,400.0
136450,400.0
136560,400.0
136660,400.0
136760,400.0
136860,400.0
136960,400.0
137069,400.0
137169,400.0
137272,400.0
137379,400.0
137479,400.0
137579,400.0
137679,400.0
137783,400.0
137889,400.0
137989,400.0
138089,400.0
138188,400.0
138288,400.0
138398,400.0
138498,400.0
138602,400.0
138708,400.0
138808,400.0
138918,400.0
139018,400.0
139121,400.0
139228,400.0
139327,400.0
139427,400.0
139527,400.0
139627,400.0
139737,400.0
139837,400.0
139937,400.0
140037,400.0
140137,400.0
140247,400.0
140346,400.0
140450,400.0
140556,400.0
140656,400.0
140756,400.0
140856,400.0
140956,400.0
141066,400.0
141166,400.0
141265,400.0
141365,400.0
141465,400.0
141575,400.0
141675,400.0
141779,400.0
141885,400.0
141985,400.0
142085,400.0
142185,400.0
142288,400.0
142395,400.0
142494,400.0
142594,400.0
142694,400.0
142794,400.0
142904,400.0
143004,400.0
143107,400.0
143214,400.0
143314,400.0
143423,400.0
143523,400.0
143627,400.0
143733,400.0
143833,400.0
143933,400.0
144033,400.0
144133,400.0
144243,400.0
144343,400.0
144443,400.0
144542,400.0
144642,400.0
144752,400.0
144852,400.0
144956,400.0
145062,400.0
145162,400.0
145262,400.0
145362,400.0
145473,400.0
145582,400.0
145681,400.0
145781,400.0
145881,400.0
145981,400.0
146091,400.0
146191,400.0
146294,400.0
146401,400.0
146501,400.0
146611,400.0
146710,400.0
146814,400.0
146920,400.0
147020,400.0
147120,400.0
147220,400.0
147320,400.0
147430,400.0
147530,400.0
147629,400.0
147729,400.0
147829,400.0
147939,400.0
148039,400.0
148143,400.0
148249,400.0
