Time (ms), Air Pressure (P)
9828,94861.265625
9933,98886.703125
10033,98882.3515625
10133,98882.3515625
10233,98882.9453125
10332,98881.2734375
10442,98880.46875
10542,98883.984375
10646,98880.46875
10752,98883.984375
10852,98884.828125
10952,98875.8515625
11052,98882.109375
11155,98884.828125
11262,98880.234375
11362,98880.234375
11462,98881.2734375
11561,98879.3984375
11661,98886.4609375
11771,98880.234375
11871,98885.65625
11974,98878.328125
12081,98882.9453125
12181,98883.75
12291,98880.234375
12391,98881.03125
12494,98887.296875
12601,98884.5859375
12700,98880.234375
12800,98885.390625
12900,98883.75
13003,98878.328125
13110,98892.71875
13210,98885.390625
13310,98886.4609375
13410,98881.03125
13510,98881.03125
13620,98884.5859375
13720,98883.5078125
13823,98881.03125
13929,98884.5859375
14029,98883.5078125
14129,98878.328125
14229,98879.15625
14333,98881.6328125
14439,98882.671875
14539,98878.0859375
14639,98877.25
14739,98882.671875
14839,98877.25
14948,98884.5859375
15048,98883.5078125
15152,98886.21875
15258,98890.0078125
15358,98893.28125
15468,98887.0546875
15568,98887.0546875
15671,98885.1484375
15778,98887.859375
15878,98887.859375
15978,98892.484375
16077,98882.671875
16180,98881.6328125
16287,98885.984375
16387,98885.1484375
16487,98885.984375
16587,98883.265625
16687,98882.4375
16797,98886.8125
16897,98882.4375
17000,98881.390625
17106,98884.109375
17206,98883.265625
17306,98883.265625
17406,98884.109375
17510,98885.984375
17616,98884.109375
17716,98883.265625
17816,98889.53125
17916,98881.390625
18016,98882.1953125
18126,98882.1953125
18226,98886.546875
18329,98874.0625
18436,98889.2578125
18545,98881.125
18645,98889.2578125
18745,98891.171875
18849,98885.7421875
18955,98886.546875
19055,98884.671875
19155,98889.2578125
19255,98883.03125
19355,98890.09375
19465,98889.2578125
19564,98881.953125
19664,98878.40625
19764,98879.484375
19864,98880.3203125
19974,98883.8359375
20074,98888.453125
20177,98879.2421875
20284,98884.671875
20384,98893.8828125
20483,98890.9296875
20583,98886.546875
20686,98881.125
20793,98884.671875
20893,98885.7421875
20993,98881.953125
21093,98887.3828125
21193,98881.953125
21303,98884.671875
21403,98879.2421875
21506,98890.9296875
21612,98884.671875
21712,98883.8359375
21812,98884.671875
21912,98880.8828125
22016,98889.859375
22122,98881.953125
22222,98877.3671875
22322,98875.453125
22422,98884.671875
22522,98886.3046875
22632,98891.734375
22732,98886.3046875
22835,98882.7890625
22942,98887.140625
23041,98889.015625
23151,98886.3046875
23251,98886.3046875
23355,98880.8828125
23461,98889.015625
23561,98881.71875
23661,98889.015625
23761,98889.015625
23864,98886.3046875
23971,98880.8828125
24070,98879.8125
24170,98887.140625
24270,98883.59375
24370,98887.140625
24480,98885.234375
24580,98883.59375
24683,98887.9453125
24790,98887.140625
24890,98885.234375
24990,98886.0625
25090,98884.4296875
25193,98887.140625
25300,98887.140625
25399,98884.4296875
25499,98885.234375
25599,98884.4296875
25699,98882.515625
25809,98894.203125
25909,98889.6171875
26012,98889.6171875
26118,98889.6171875
26218,98888.78125
26318,98880.640625
26418,98886.90625
26522,98886.90625
26628,98894.203125
26728,98889.6171875
26828,98893.1328125
26928,98886.0625
27031,98883.359375
27138,98886.90625
27238,98884.9921875
27338,98894.203125
27438,98892.328125
27537,98885.828125
27647,98884.9921875
27747,98886.90625
27851,98887.9453125
27957,98878.765625
28057,98884.1875
28157,98878.765625
28257,98883.1171875
28360,98883.359375
28467,98877.6875
28567,98884.1875
28667,98877.6875
28766,98879.5703125
28866,98879.5703125
28976,98878.765625
29076,98879.5703125
29179,98879.5703125
29286,98889.375
29386,98878.5234375
29486,98882.28125
29586,98885.828125
29689,98883.953125
29796,98883.1171875
29895,98883.1171875
29995,98877.6875
30095,98876.859375
30195,98877.6875
30305,98876.0546875
30405,98876.859375
30508,98880.640625
30615,98882.515625
30715,98882.28125
30825,98875.21875
30925,98877.9296875
31028,98878.765625
31135,98874.375
31244,98883.359375
31344,98878.765625
31444,98880.640625
31547,98881.4765625
31654,98874.375
31754,98880.640625
31854,98878.765625
31954,98877.9296875
32054,98887.9453125
