Time (ms), Air Pressure (P)
5107,90762.2890625
5526,93244.3203125
6026,93247.4296875
6501,93249.3046875
7026,93254.328125
7526,93248.8671875
8027,93260.984375
8501,93254.1484375
9001,93258.578125
9537,93252.796875
10107,93259.765625
10501,93259.765625
11001,93266.34375
11555,93266.6640625
12026,93259.421875
12514,93266.6640625
13001,93262.875
13533,93261.0
14102,93264.4375
14582,93264.4375
15026,93265.2265625
15501,93264.75
16080,93266.984375
16501,93263.5234375
17026,93266.1875
17501,93259.765625
18068,93261.328125
18501,93267.421875
19107,93261.0
19526,93269.0078125
20026,93263.671875
20526,93262.875
21026,93266.6640625
21501,93265.8671875
22034,93265.8671875
22514,93271.203125
23082,93277.1875
23582,93257.9375
24101,93263.28125
24526,93257.9375
25064,93267.5
25600,93261.0546875
26083,93259.171875
26539,93267.9453125
27068,93266.390625
27557,93256.359375
28001,93261.0546875
28586,93261.375
29026,93265.2734375
29605,93260.9296875
30065,93255.59375
30604,93259.8125
31034,93262.484375
31501,93257.1484375
32062,93256.828125
32542,93268.421875
33051,93262.609375
33501,93261.53125
34030,93263.5234375
34589,93263.5234375
35001,93268.859375
35501,93264.6328125
36108,93265.109375
36597,93270.4453125
37026,93265.109375
37501,93265.8671875
38106,93262.0859375
38605,93268.21875
39001,93265.546875
39574,93266.34375
40103,93266.34375
40533,93269.0078125
41001,93271.6796875
41601,93262.0859375
42101,93267.109375
42526,93259.09375
43110,93263.3203125
43530,93263.3203125
44109,93265.984375
44514,93265.984375
45001,93258.78125
45526,93265.984375
46047,93260.53125
46526,93256.953125
47046,93253.84375
47526,93248.625
48054,93245.6328125
48501,93252.53125
49026,93253.3125
49563,93247.984375
50001,93242.640625
50526,93246.8671875
51101,93253.0
51571,93247.65625
52060,93262.875
52526,93253.0
53059,93256.4296875
53548,93247.984375
54088,93251.296875
54501,93260.09375
55014,93261.171875
55526,93261.0546875
56056,93244.6015625
56605,93253.171875
57001,93253.171875
57594,93248.625
58074,93254.75
58573,93253.640625
59001,93244.84375
59501,93258.9765625
60101,93258.65625
60541,93263.9921875
61100,93262.609375
61514,93257.2734375
62026,93256.5078125
62598,93250.8515625
63029,93256.1875
63551,93260.4140625
64026,93255.71875
64501,93255.2734375
65001,93261.6953125
65605,93253.6875
66026,93253.6875
66501,93248.3515625
67074,93253.6875
67583,93258.703125
68026,93253.3671875
68602,93265.75
69027,93257.7421875
69601,93255.8359375
70060,93255.8359375
70501,93260.4140625
71001,93260.4140625
71501,93265.2734375
72098,93260.2890625
72607,93257.2734375
73001,93251.9375
73606,93253.84375
74026,93253.84375
74501,93257.9375
75026,93258.0625
75544,93255.71875
76093,93259.5
76501,93253.84375
77014,93256.5078125
77514,93256.1875
78032,93263.84375
78501,93253.6875
79100,93255.59375
79501,93256.359375
80026,93254.484375
80598,93246.796875
81026,93260.140625
81527,93253.25
82047,93250.2578125
82606,93258.265625
83030,93255.59375
83501,93258.578125
84001,93250.578125
84604,93254.796875
85037,93253.25
85501,93253.25
86026,93251.8125
86501,93256.03125
87052,93253.046875
87601,93259.9375
88026,93264.1953125
88580,93262.609375
89059,93262.2890625
89609,93260.015625
90108,93260.65625
90501,93263.328125
91077,93251.890625
91556,93257.984375
92106,93252.328125
92575,93252.328125
93035,93254.203125
93501,93251.5390625
94001,93256.109375
94553,93250.140625
95001,93249.46875
95572,93251.015625
96042,93256.03125
96571,93253.046875
97030,93269.8515625
97600,93260.8125
98099,93265.4765625
98529,93270.8125
99048,93270.8125
99548,93265.4765625
100047,93258.578125
100526,93269.25
101001,93262.046875
101605,93267.03125
102035,93267.03125
102526,93270.8125
103104,93267.03125
103553,93267.03125
104036,93267.828125
104527,93268.6171875
105001,93268.6171875
105574,93260.609375
106054,93266.7109375
106603,93270.171875
107059,93269.375
107526,93264.359375
108102,93270.171875
108608,93269.375
109110,93264.046875
109607,93255.2734375
110106,93270.171875
110605,93264.8359375
111026,93269.0625
111554,93265.2734375
112001,93268.734375
112526,93267.9453125
113026,93272.203125
113501,93261.53125
114001,93269.53125
114501,93270.296875
115061,93265.75
115501,93263.078125
116100,93263.078125
116501,93264.1953125
117049,93267.625
117501,93260.4140625
118057,93261.53125
118587,93267.625
119026,93271.84375
119536,93269.1796875
120026,93257.7421875
120526,93269.96875
121026,93265.4296875
121527,93269.1796875
122103,93266.515625
122501,93269.1796875
