Time (ms), Z Mangetometer (uT)
5187,-38.85971450805664
5287,-40.66016387939453
5377,-41.26031494140625
5427,-41.86046600341797
5607,-42.910728454589844
5697,-42.310577392578125
5787,-42.76068878173828
5847,-42.310577392578125
5976,-43.66091537475586
6106,-41.41035461425781
6196,-42.76068878173828
6286,-42.610652923583984
6376,-38.85971450805664
6476,-37.20930099487305
6576,-36.009002685546875
6675,-32.25806427001953
6702,-32.25806427001953
6802,-31.957988739013672
6975,-29.407352447509766
7105,-32.408103942871094
7195,-33.45836639404297
7285,-35.408851623535156
7375,-33.908477783203125
7475,-33.608402252197266
7605,-32.108028411865234
7694,-31.957988739013672
7784,-33.45836639404297
7874,-33.608402252197266
7974,-34.208553314208984
8002,-33.608402252197266
8144,-37.95949172973633
8224,-35.408851623535156
8374,-34.208553314208984
8443,-32.55813980102539
8583,-35.408851623535156
8693,-34.508628845214844
8713,-34.208553314208984
8853,-32.408103942871094
8973,-26.406600952148438
9083,-24.156038284301758
9183,-18.454614639282227
9273,-22.505626678466797
9313,-24.756189346313477
9472,-37.05926513671875
9512,-38.25956344604492
9682,-50.11252975463867
9752,-47.26181411743164
9882,-50.712677001953125
9932,-52.51313018798828
10082,-50.26256561279297
10181,-44.711177825927734
10281,-50.26256561279297
10381,-53.113277435302734
10441,-51.6129035949707
10581,-52.06301498413086
10681,-53.113277435302734
10781,-52.66316604614258
10881,-51.312828063964844
10951,-51.91297912597656
11080,-52.06301498413086
11180,-51.91297912597656
11280,-52.06301498413086
11380,-52.96324157714844
11440,-50.56264114379883
11530,-51.012752532958984
11630,-52.06301498413086
11780,-51.312828063964844
11880,-52.36309051513672
11979,-52.06301498413086
12109,-52.36309051513672
12199,-52.06301498413086
12289,-52.06301498413086
12309,-52.51313018798828
12479,-51.91297912597656
12589,-52.66316604614258
12679,-50.712677001953125
12778,-52.36309051513672
12879,-52.36309051513672
12978,-51.91297912597656
13078,-51.462867736816406
13178,-54.01350402832031
13278,-52.66316604614258
13378,-51.762939453125
13478,-51.762939453125
13508,-51.012752532958984
13668,-51.462867736816406
13748,-52.51313018798828
13877,-53.2633171081543
13967,-51.6129035949707
14077,-50.86271667480469
14177,-52.51313018798828
14227,-52.06301498413086
14377,-51.91297912597656
14477,-51.762939453125
14557,-51.462867736816406
14677,-51.762939453125
14776,-51.462867736816406
14876,-51.6129035949707
14976,-51.6129035949707
15106,-52.66316604614258
15196,-51.762939453125
15286,-52.36309051513672
15376,-51.762939453125
15402,-53.113277435302734
15575,-52.36309051513672
15675,-52.06301498413086
15775,-51.462867736816406
15875,-52.813201904296875
15905,-52.96324157714844
16055,-53.113277435302734
16175,-51.312828063964844
16275,-52.66316604614258
16375,-52.36309051513672
16475,-51.91297912597656
16584,-52.96324157714844
16684,-50.712677001953125
16774,-53.563392639160156
16874,-52.813201904296875
16954,-53.113277435302734
17104,-51.312828063964844
17194,-52.66316604614258
17283,-52.06301498413086
17313,-52.51313018798828
17473,-50.26256561279297
17583,-53.113277435302734
17683,-51.762939453125
17773,-52.36309051513672
17873,-52.813201904296875
17902,-52.813201904296875
18043,-51.91297912597656
18173,-52.36309051513672
18273,-52.66316604614258
18372,-51.762939453125
18412,-52.06301498413086
18582,-51.012752532958984
18682,-52.66316604614258
18782,-51.012752532958984
18882,-51.6129035949707
18982,-52.06301498413086
19082,-51.762939453125
19182,-53.113277435302734
19211,-51.312828063964844
19381,-52.06301498413086
19471,-51.6129035949707
19601,-51.462867736816406
19691,-51.91297912597656
19711,-52.66316604614258
19881,-51.6129035949707
19940,-52.36309051513672
20100,-51.91297912597656
20190,-51.462867736816406
20280,-52.36309051513672
20380,-52.36309051513672
20480,-51.6129035949707
20610,-51.6129035949707
20779,-52.96324157714844
20879,-52.06301498413086
20929,-51.762939453125
21109,-51.462867736816406
21199,-52.51313018798828
21289,-51.91297912597656
21339,-52.36309051513672
21469,-51.012752532958984
21579,-52.36309051513672
21678,-50.86271667480469
21749,-52.66316604614258
21878,-54.16353988647461
21978,-52.813201904296875
22008,-52.06301498413086
22178,-52.66316604614258
22248,-50.56264114379883
22378,-52.51313018798828
22478,-50.11252975463867
22598,-51.462867736816406
22687,-50.712677001953125
22777,-52.36309051513672
22877,-52.06301498413086
22907,-50.41260528564453
23057,-50.712677001953125
23177,-51.312828063964844
23277,-51.762939453125
23317,-51.6129035949707
23477,-51.462867736816406
23557,-51.762939453125
23676,-51.91297912597656
23776,-51.6129035949707
23876,-51.462867736816406
23976,-51.91297912597656
24076,-51.762939453125
24176,-52.36309051513672
