Time (ms), VOC density (ppb)
5200,0.0
5513,0.0
6013,0.0
6588,0.0
7013,0.0
7513,0.0
8014,0.0
8596,0.0
9095,0.0
9524,0.0
10094,0.0
10593,0.0
11093,0.0
11542,0.0
12013,0.0
12601,0.0
13091,0.0
13520,0.0
14089,0.0
14569,0.0
15013,0.0
15588,0.0
16067,0.0
16597,0.0
17013,0.0
17596,0.0
18055,4994.0
18594,4873.0
19094,4673.0
19513,4477.0
20013,4292.0
20513,4131.0
21013,3976.0
21591,3700.0
22021,3559.0
22610,3304.0
23069,3093.0
23569,3001.0
24088,2909.0
24513,2838.0
25051,2692.0
25587,2653.0
26070,2648.0
26526,2524.0
27055,2457.0
27544,2371.0
28097,2348.0
28573,2304.0
29013,2277.0
29592,2219.0
30052,2175.0
30591,2115.0
31021,2057.0
31590,2013.0
32049,1995.0
32529,1967.0
33038,1933.0
33588,1914.0
34017,1891.0
34576,1861.0
35096,1854.0
35595,1785.0
36095,1766.0
36584,1743.0
37013,1739.0
37593,1688.0
38093,1669.0
38592,1639.0
39092,1676.0
39561,1612.0
40090,1556.0
40520,1492.0
41089,1547.0
41588,1559.0
42088,1499.0
42513,1499.0
43097,1422.0
43513,1427.0
44096,1404.0
44605,1335.0
45095,1298.0
45513,1275.0
46034,1247.0
46513,1210.0
47033,1161.0
47513,1154.0
48041,1144.0
48591,1125.0
49013,1099.0
49550,1097.0
50089,1111.0
50513,1077.0
51088,1097.0
51558,1090.0
52047,1069.0
52513,1060.0
53046,1055.0
53535,1057.0
54075,1047.0
54594,1023.0
55104,1008.0
55513,984.0
56043,974.0
56592,928.0
57091,922.0
57581,918.0
58061,932.0
58560,933.0
59089,930.0
59589,907.0
60088,923.0
60528,939.0
61087,880.0
61606,865.0
62013,877.0
62585,886.0
63016,849.0
63538,844.0
64013,843.0
64593,827.0
65093,811.0
65592,794.0
66013,775.0
66591,749.0
67061,759.0
67570,757.0
68013,727.0
68589,726.0
69014,728.0
69588,704.0
70047,717.0
70596,709.0
71096,710.0
71596,703.0
72085,699.0
72594,673.0
73094,657.0
73593,664.0
74013,630.0
74592,599.0
75013,571.0
75531,583.0
76080,571.0
76590,563.0
77110,564.0
77609,554.0
78019,547.0
78588,551.0
79087,539.0
79596,554.0
80013,549.0
80585,560.0
81013,539.0
81514,548.0
82034,532.0
82593,549.0
83013,535.0
83592,533.0
84092,534.0
84591,517.0
85021,506.0
85590,523.0
86013,524.0
86589,513.0
87039,517.0
87588,532.0
88013,528.0
88567,518.0
89046,504.0
89596,504.0
