Time (ms), X Mangetometer (uT)
5167,23.7059268951416
5267,24.00600242614746
5357,24.306076049804688
5407,23.105775833129883
5587,23.405851364135742
5676,24.606151580810547
5766,25.356338500976562
5826,24.306076049804688
5956,29.857463836669922
6086,34.508628845214844
6176,32.55813980102539
6266,31.357839584350586
6356,27.156789779663086
6456,28.20705223083496
6556,27.156789779663086
6656,24.456113815307617
6765,24.306076049804688
6865,21.155288696289062
6955,22.505626678466797
7085,21.455364227294922
7175,23.255813598632812
7265,23.555889129638672
7355,24.306076049804688
7455,23.555889129638672
7584,22.055513381958008
7674,22.355588912963867
7764,22.505626678466797
7854,21.75543975830078
7954,22.655664443969727
8084,20.555139541625977
8124,21.155288696289062
8204,18.154539108276367
8354,15.003750801086426
8423,18.154539108276367
8563,19.354839324951172
8673,21.60540199279785
8783,21.75543975830078
8833,23.255813598632812
8953,24.606151580810547
9063,20.255064010620117
9163,19.354839324951172
9253,16.654163360595703
9302,16.354087829589844
9452,14.703676223754883
9502,13.95348834991455
9662,16.954238891601562
9732,16.354087829589844
9862,16.804201126098633
9912,16.354087829589844
10062,13.803450584411621
10162,15.453863143920898
10262,14.25356388092041
10361,6.9017252922058105
10421,6.751688003540039
10561,6.451612949371338
10661,6.451612949371338
10761,7.351838111877441
10861,5.551387786865234
10931,7.951988220214844
11061,6.751688003540039
11161,6.9017252922058105
11260,6.451612949371338
11360,7.801950454711914
11420,8.402100563049316
11510,6.451612949371338
11610,6.9017252922058105
11760,6.601650238037109
11860,7.651913166046143
11960,6.151537895202637
12089,7.951988220214844
12179,6.601650238037109
12269,6.451612949371338
12379,5.8514628410339355
12459,6.001500606536865
12569,6.9017252922058105
12659,7.351838111877441
12759,7.05176305770874
12858,7.05176305770874
12958,6.601650238037109
13058,7.501875400543213
13158,6.751688003540039
13258,8.102025985717773
13358,7.351838111877441
13458,6.601650238037109
13587,5.8514628410339355
13648,8.102025985717773
13728,7.501875400543213
13858,7.651913166046143
13947,6.9017252922058105
14057,6.751688003540039
14157,5.8514628410339355
14207,6.601650238037109
14357,6.9017252922058105
14457,6.151537895202637
14536,7.651913166046143
14656,6.601650238037109
14756,6.451612949371338
14856,6.9017252922058105
14956,6.601650238037109
15086,6.151537895202637
15176,7.05176305770874
15266,6.9017252922058105
15356,6.451612949371338
15465,5.8514628410339355
15555,7.05176305770874
15656,6.751688003540039
15755,7.951988220214844
15855,8.70217514038086
15975,6.151537895202637
16035,6.451612949371338
16155,5.8514628410339355
16255,6.9017252922058105
16355,7.651913166046143
16454,6.151537895202637
16564,6.601650238037109
16664,6.151537895202637
16754,6.9017252922058105
16854,6.751688003540039
16934,7.05176305770874
17084,7.651913166046143
17173,7.05176305770874
17264,6.9017252922058105
17302,7.501875400543213
17453,7.05176305770874
17563,7.501875400543213
17663,5.551387786865234
17753,7.651913166046143
17853,7.351838111877441
17963,5.551387786865234
18023,6.451612949371338
18153,7.501875400543213
18252,7.501875400543213
18352,6.601650238037109
18402,7.05176305770874
18562,6.001500606536865
18662,7.651913166046143
18762,5.8514628410339355
18862,7.05176305770874
18961,6.451612949371338
19061,5.8514628410339355
19161,6.001500606536865
19281,7.951988220214844
19361,6.751688003540039
19451,6.601650238037109
19581,7.951988220214844
19671,6.751688003540039
19781,8.102025985717773
19861,7.501875400543213
19921,6.601650238037109
20080,7.651913166046143
20170,6.9017252922058105
20260,5.8514628410339355
20360,6.9017252922058105
20460,7.651913166046143
20590,6.751688003540039
20680,7.351838111877441
20760,6.451612949371338
20860,7.501875400543213
20909,7.501875400543213
21089,7.05176305770874
21179,7.351838111877441
21269,7.801950454711914
21319,6.751688003540039
21449,6.751688003540039
21559,6.601650238037109
21659,7.351838111877441
21728,6.751688003540039
21858,6.151537895202637
21958,7.801950454711914
22088,6.9017252922058105
22158,7.951988220214844
22228,6.9017252922058105
22358,7.351838111877441
22458,6.9017252922058105
22578,7.05176305770874
22668,6.751688003540039
22758,7.351838111877441
22857,7.05176305770874
22977,5.701425552368164
23037,6.9017252922058105
23157,7.651913166046143
23257,6.601650238037109
23302,5.701425552368164
23457,6.9017252922058105
23536,6.9017252922058105
23656,5.551387786865234
23756,6.001500606536865
23856,7.05176305770874
23956,6.151537895202637
24056,6.751688003540039
24156,6.751688003540039
24256,6.751688003540039
24336,6.601650238037109
24456,6.751688003540039
24585,7.801950454711914
24675,8.70217514038086
24765,7.05176305770874
24855,6.9017252922058105
24955,6.9017252922058105
