Time (ms), Relative Humidity (percent)
5108,22.1015625
5526,22.91796875
6026,22.8876953125
6502,22.8662109375
7026,22.7822265625
7526,22.6962890625
8027,22.5458984375
8502,22.435546875
9002,22.244140625
9537,22.10546875
10107,21.9423828125
10502,21.8583984375
11002,21.7744140625
11555,21.6787109375
12026,21.4677734375
12514,21.5517578125
13002,21.5
13533,21.4365234375
14102,21.6689453125
14582,21.39453125
15026,21.3740234375
15502,21.298828125
16080,21.2763671875
16502,21.2333984375
17026,21.2236328125
17502,21.212890625
18068,21.3935546875
18502,21.203125
19107,21.2138671875
19526,21.1826171875
20026,21.193359375
20526,21.1826171875
21026,21.1611328125
21502,21.138671875
22034,21.12890625
22514,21.107421875
23082,20.9365234375
23582,21.0185546875
24101,20.9873046875
24526,20.9658203125
25064,20.9775390625
25600,21.09375
26083,20.9033203125
26539,20.8828125
27072,20.8505859375
27557,20.849609375
28002,20.787109375
28586,20.8388671875
29026,20.798828125
29605,20.7958984375
30065,20.775390625
30501,20.765625
31034,20.75390625
31502,20.75390625
32062,20.765625
32542,20.7890625
33051,20.8193359375
33502,20.8720703125
34030,20.9482421875
34589,20.9482421875
35002,21.01171875
35502,21.0
36001,21.107421875
36597,21.12890625
37026,21.1708984375
37502,21.2763671875
38106,21.2568359375
38605,21.2666015625
39002,21.2880859375
39574,21.3515625
40103,21.3623046875
40533,21.373046875
41002,21.373046875
41601,21.3828125
42101,21.4052734375
42526,21.4052734375
43110,21.416015625
43530,21.4267578125
44001,21.447265625
44514,21.162109375
45002,21.521484375
45526,21.490234375
46051,21.3828125
46526,21.306640625
47046,21.2421875
47526,21.201171875
48054,21.9423828125
48502,21.212890625
49026,21.234375
49563,21.234375
50002,21.2451171875
50526,21.27734375
51101,21.2353515625
51571,21.3095703125
52060,21.330078125
52526,21.373046875
53059,21.60546875
53548,21.3720703125
54088,21.1904296875
54502,21.37109375
55014,21.3388671875
55526,21.2734375
56056,21.2939453125
56605,21.359375
57002,21.3916015625
57594,21.275390625
58074,21.5185546875
58573,21.4775390625
59002,21.646484375
59502,21.8056640625
60001,21.7841796875
60541,21.837890625
61001,21.8154296875
61514,21.771484375
62026,21.728515625
62598,21.8447265625
63029,21.728515625
63551,21.560546875
64026,21.6328125
64502,21.5576171875
65002,21.462890625
65501,21.41015625
66026,21.3359375
66502,21.26171875
67074,21.1455078125
67583,21.19921875
68026,21.2197265625
68501,21.28515625
69027,21.3388671875
69601,21.634765625
70060,21.3916015625
70502,21.4228515625
71002,21.40234375
71502,21.3583984375
72098,21.3046875
72607,21.3056640625
73002,21.3056640625
73606,21.2626953125
74026,21.220703125
74502,21.240234375
75026,21.2421875
75544,21.251953125
76093,21.2412109375
76502,21.2626953125
77014,21.2734375
77514,21.337890625
78032,21.275390625
78502,21.23046875
79100,21.14453125
79502,21.15625
80026,21.0712890625
80598,21.123046875
81026,20.9541015625
81527,20.9541015625
82047,20.955078125
82501,20.9443359375
83030,20.9228515625
83502,20.9541015625
84002,20.9228515625
84604,20.8798828125
85038,20.869140625
85502,21.1337890625
86026,20.923828125
86502,21.01953125
87052,21.125
87601,21.3798828125
88026,21.5810546875
88580,21.71875
89059,21.7294921875
89609,21.650390625
90001,21.576171875
90502,21.4697265625
91077,21.36328125
91556,21.279296875
92001,21.2158203125
92575,21.1318359375
93035,21.046875
93502,20.888671875
94002,20.9619140625
94553,21.0166015625
95002,21.0703125
95572,21.1240234375
96042,21.1455078125
96571,21.16796875
97030,21.1259765625
97501,21.0498046875
98099,20.9755859375
98529,20.9541015625
99048,20.912109375
99548,20.8798828125
100047,20.837890625
100526,20.806640625
101002,20.78515625
101605,20.75390625
102035,20.75390625
102526,20.7431640625
103104,20.7333984375
103553,20.7119140625
104036,21.1875
104531,20.7119140625
105002,20.72265625
105575,20.7119140625
106055,21.01953125
106604,20.7236328125
107063,20.69140625
107526,20.72265625
108103,20.69140625
108608,20.7119140625
109111,20.69140625
109501,20.669921875
110106,20.6806640625
110605,20.6806640625
111026,20.69140625
111554,20.7138671875
112002,20.7353515625
112526,20.724609375
113026,20.7451171875
113502,20.7353515625
114002,20.755859375
114502,20.767578125
115061,21.0
115502,20.7998046875
116100,20.8095703125
116502,20.8193359375
117049,20.798828125
117502,20.7890625
118057,20.7880859375
118587,20.767578125
