Time (ms), Battery Temperature (C)
5108,17.1200008392334
5527,17.1200008392334
6027,17.1299991607666
6502,17.1200008392334
7027,17.110000610351562
7527,17.110000610351562
8028,17.100000381469727
8502,17.09000015258789
9002,17.100000381469727
9538,17.079999923706055
10001,17.079999923706055
10502,17.079999923706055
11002,17.06999969482422
11556,17.059999465942383
12027,17.049999237060547
12515,17.040000915527344
13002,17.040000915527344
13534,17.040000915527344
14103,17.030000686645508
14583,17.030000686645508
15027,17.020000457763672
15502,17.010000228881836
16081,17.020000457763672
16502,17.010000228881836
17027,16.989999771118164
17502,16.989999771118164
18069,16.979999542236328
18502,16.979999542236328
19108,16.969999313354492
19527,16.969999313354492
20027,16.969999313354492
20527,16.959999084472656
21027,16.950000762939453
21502,16.950000762939453
22035,16.950000762939453
22515,16.950000762939453
23083,16.93000030517578
23583,16.940000534057617
24102,16.920000076293945
24531,16.920000076293945
25065,16.920000076293945
25601,16.899999618530273
26084,16.90999984741211
26540,16.90999984741211
27073,16.889999389648438
27558,16.889999389648438
28002,16.889999389648438
28587,16.8799991607666
29027,16.889999389648438
29501,16.8799991607666
30066,16.8799991607666
30502,16.8700008392334
31035,16.8700008392334
31502,16.8700008392334
32063,16.860000610351562
32543,16.850000381469727
33052,16.850000381469727
33502,16.84000015258789
34031,16.84000015258789
34590,16.84000015258789
35002,16.84000015258789
35502,16.829999923706055
36002,16.81999969482422
36598,16.81999969482422
37027,16.809999465942383
37502,16.809999465942383
38001,16.809999465942383
38606,16.790000915527344
39002,16.799999237060547
39575,16.790000915527344
40104,16.780000686645508
40534,16.790000915527344
41002,16.790000915527344
41602,16.770000457763672
42102,16.760000228881836
42527,16.770000457763672
43001,16.770000457763672
43531,16.75
44002,16.75
44519,16.739999771118164
45002,16.739999771118164
45527,16.739999771118164
46051,16.739999771118164
46527,16.739999771118164
47047,16.729999542236328
47527,16.729999542236328
48055,16.729999542236328
48502,16.739999771118164
49027,16.729999542236328
49564,16.709999084472656
50002,16.719999313354492
50527,16.709999084472656
51102,16.719999313354492
51572,16.700000762939453
52061,16.709999084472656
52527,16.709999084472656
53060,16.709999084472656
53549,16.700000762939453
54089,16.690000534057617
54502,16.690000534057617
55015,16.700000762939453
55527,16.690000534057617
56057,16.700000762939453
56501,16.700000762939453
57002,16.700000762939453
57595,16.690000534057617
58075,16.690000534057617
58574,16.700000762939453
59002,16.68000030517578
59502,16.68000030517578
60002,16.690000534057617
60542,16.68000030517578
61002,16.690000534057617
61515,16.670000076293945
62027,16.690000534057617
62599,16.670000076293945
63030,16.670000076293945
63552,16.68000030517578
64031,16.670000076293945
64502,16.68000030517578
65002,16.670000076293945
65502,16.670000076293945
66027,16.670000076293945
66502,16.68000030517578
67078,16.68000030517578
67584,16.670000076293945
68027,16.670000076293945
68502,16.670000076293945
69028,16.68000030517578
69602,16.670000076293945
70061,16.68000030517578
70502,16.68000030517578
71002,16.68000030517578
71502,16.68000030517578
72099,16.670000076293945
72608,16.670000076293945
73002,16.670000076293945
73501,16.670000076293945
74027,16.670000076293945
74502,16.68000030517578
75027,16.670000076293945
75545,16.670000076293945
76094,16.670000076293945
76502,16.670000076293945
77015,16.670000076293945
77515,16.68000030517578
78033,16.68000030517578
78502,16.68000030517578
79101,16.68000030517578
79502,16.670000076293945
80027,16.670000076293945
80599,16.68000030517578
81027,16.68000030517578
81528,16.670000076293945
82048,16.68000030517578
82502,16.68000030517578
83031,16.690000534057617
83502,16.68000030517578
84002,16.670000076293945
84605,16.670000076293945
85039,16.670000076293945
85502,16.68000030517578
86027,16.68000030517578
86502,16.68000030517578
87053,16.68000030517578
87602,16.68000030517578
88027,16.68000030517578
88581,16.690000534057617
89060,16.68000030517578
89610,16.670000076293945
90002,16.690000534057617
90502,16.690000534057617
91078,16.68000030517578
91557,16.690000534057617
92002,16.68000030517578
92576,16.690000534057617
93036,16.700000762939453
93502,16.690000534057617
94002,16.68000030517578
94554,16.690000534057617
95002,16.700000762939453
95573,16.690000534057617
96043,16.700000762939453
96572,16.690000534057617
97031,16.700000762939453
97502,16.709999084472656
98001,16.700000762939453
98530,16.700000762939453
99049,16.700000762939453
99549,16.700000762939453
100048,16.700000762939453
100527,16.700000762939453
101002,16.719999313354492
101501,16.700000762939453
102036,16.709999084472656
102527,16.709999084472656
103105,16.709999084472656
103554,16.709999084472656
104037,16.700000762939453
104532,16.709999084472656
105002,16.709999084472656
105576,16.719999313354492
106056,16.709999084472656
106605,16.709999084472656
107064,16.709999084472656
107527,16.729999542236328
108103,16.709999084472656
108609,16.729999542236328
109001,16.729999542236328
109502,16.739999771118164
110001,16.729999542236328
110606,16.729999542236328
111027,16.729999542236328
111555,16.739999771118164
112002,16.729999542236328
112527,16.739999771118164
113027,16.739999771118164
113502,16.739999771118164
114002,16.739999771118164
114502,16.739999771118164
115062,16.739999771118164
115502,16.739999771118164
116101,16.75
116502,16.75
117050,16.75
117502,16.75
118058,16.760000228881836
118588,16.760000228881836
119027,16.75
119537,16.760000228881836
120027,16.760000228881836
120527,16.75
121027,16.760000228881836
121528,16.760000228881836
122001,16.760000228881836
122502,16.770000457763672
123006,16.770000457763672
123563,16.770000457763672
124002,16.770000457763672
124565,16.770000457763672
125085,16.770000457763672
125502,16.760000228881836
126027,16.780000686645508
126515,16.760000228881836
127103,16.770000457763672
127588,16.770000457763672
128028,16.780000686645508
128607,16.770000457763672
129002,16.780000686645508
129501,16.790000915527344
130027,16.780000686645508
130501,16.780000686645508
131104,16.790000915527344
131502,16.780000686645508
132002,16.780000686645508
132572,16.790000915527344
133027,16.790000915527344
133592,16.790000915527344
134002,16.780000686645508
134502,16.799999237060547
135060,16.799999237060547
135502,16.790000915527344
136002,16.790000915527344
136502,16.799999237060547
137058,16.799999237060547
137502,16.809999465942383
138087,16.799999237060547
138606,16.809999465942383
139002,16.799999237060547
139502,16.809999465942383
140075,16.809999465942383
140527,16.809999465942383
141002,16.809999465942383
141502,16.809999465942383
142027,16.799999237060547
142527,16.809999465942383
143002,16.81999969482422
143571,16.81999969482422
144031,16.81999969482422
144502,16.81999969482422
145034,16.81999969482422
145502,16.81999969482422
146002,16.81999969482422
146537,16.81999969482422
147027,16.81999969482422
147528,16.81999969482422
148027,16.81999969482422
148527,16.829999923706055
149002,16.84000015258789
149527,16.829999923706055
150054,16.829999923706055
150527,16.829999923706055
151002,16.84000015258789
151502,16.84000015258789
152002,16.829999923706055
152531,16.850000381469727
153031,16.84000015258789
153502,16.84000015258789
154039,16.84000015258789
154502,16.850000381469727
155078,16.84000015258789
155538,16.84000015258789
156077,16.850000381469727
156502,16.84000015258789
157015,16.84000015258789
157527,16.850000381469727
158075,16.84000015258789
158527,16.850000381469727
159002,16.850000381469727
159527,16.850000381469727
160073,16.850000381469727
160527,16.850000381469727
161052,16.850000381469727
161527,16.850000381469727
162091,16.860000610351562
162528,16.860000610351562
163006,16.860000610351562
163569,16.8700008392334
164001,16.860000610351562
164502,16.8700008392334
165027,16.860000610351562
165601,16.8700008392334
166081,16.850000381469727
166527,16.8700008392334
167002,16.8700008392334
167575,16.8700008392334
168002,16.8700008392334
168527,16.8799991607666
169002,16.8700008392334
169502,16.8799991607666
170001,16.8799991607666
170601,16.8799991607666
171002,16.8799991607666
171502,16.8799991607666
172080,16.8799991607666
172527,16.8799991607666
173089,16.889999389648438
173608,16.889999389648438
174108,16.8799991607666
174527,16.889999389648438
175002,16.889999389648438
175606,16.899999618530273
176055,16.889999389648438
176527,16.889999389648438
177055,16.8799991607666
177528,16.899999618530273
178027,16.899999618530273
178527,16.899999618530273
179043,16.889999389648438
179532,16.889999389648438
180028,16.899999618530273
180502,16.899999618530273
181027,16.899999618530273
181502,16.90999984741211
182002,16.90999984741211
182531,16.899999618530273
183002,16.899999618530273
183502,16.90999984741211
184002,16.90999984741211
184502,16.90999984741211
185002,16.920000076293945
185609,16.920000076293945
186027,16.920000076293945
186608,16.920000076293945
187027,16.920000076293945
187502,16.90999984741211
188002,16.90999984741211
188572,16.920000076293945
189102,16.920000076293945
189601,16.920000076293945
190081,16.90999984741211
190527,16.93000030517578
191027,16.920000076293945
191502,16.920000076293945
192027,16.93000030517578
192527,16.93000030517578
193047,16.950000762939453
193527,16.93000030517578
194046,16.940000534057617
194605,16.940000534057617
195027,16.940000534057617
195535,16.950000762939453
196084,16.950000762939453
196573,16.940000534057617
197093,16.950000762939453
197592,16.950000762939453
198027,16.950000762939453
198601,16.959999084472656
199002,16.950000762939453
199600,16.950000762939453
200002,16.959999084472656
200527,16.950000762939453
201002,16.959999084472656
201527,16.959999084472656
202088,16.969999313354492
202587,16.959999084472656
203002,16.969999313354492
203532,16.969999313354492
204027,16.969999313354492
204502,16.969999313354492
205002,16.959999084472656
205502,16.969999313354492
206027,16.969999313354492
206572,16.969999313354492
207027,16.969999313354492
207528,16.969999313354492
208015,16.969999313354492
208502,16.969999313354492
209104,16.969999313354492
209527,16.979999542236328
210002,16.979999542236328
210502,16.979999542236328
211058,16.979999542236328
211502,16.979999542236328
212027,16.969999313354492
212606,16.969999313354492
213106,16.979999542236328
213575,16.989999771118164
214055,16.989999771118164
214528,16.979999542236328
215001,16.979999542236328
215527,16.989999771118164
216002,16.989999771118164
216532,16.989999771118164
217027,16.989999771118164
217502,16.979999542236328
218002,17.0
218502,16.989999771118164
219089,17.0
219527,16.989999771118164
220002,16.989999771118164
220502,16.989999771118164
221027,17.0
221501,17.0
222006,17.010000228881836
222502,16.989999771118164
223038,17.010000228881836
223532,17.0
224104,17.020000457763672
224603,17.010000228881836
225002,17.020000457763672
225527,17.010000228881836
226002,17.020000457763672
226502,17.010000228881836
227064,17.020000457763672
227594,17.010000228881836
228002,17.020000457763672
228502,17.020000457763672
229002,17.030000686645508
229608,17.030000686645508
230002,17.020000457763672
230607,17.020000457763672
231027,17.030000686645508
231606,17.030000686645508
232002,17.030000686645508
232585,17.020000457763672
233104,17.030000686645508
233574,17.030000686645508
234027,17.030000686645508
234502,17.030000686645508
235002,17.030000686645508
235601,17.040000915527344
236101,17.040000915527344
236502,17.040000915527344
237080,17.040000915527344
237502,17.040000915527344
238039,17.040000915527344
238608,17.030000686645508
239002,17.049999237060547
239537,17.040000915527344
240087,17.040000915527344
240596,17.049999237060547
241002,17.040000915527344
241527,17.059999465942383
242105,17.049999237060547
242502,17.040000915527344
243104,17.049999237060547
243531,17.040000915527344
244002,17.049999237060547
244531,17.049999237060547
245027,17.059999465942383
245502,17.059999465942383
246002,17.059999465942383
246603,17.059999465942383
247093,17.049999237060547
247528,17.06999969482422
248002,17.06999969482422
248612,17.059999465942383
249087,17.059999465942383
249515,17.059999465942383
250002,17.06999969482422
250605,17.059999465942383
251027,17.059999465942383
251502,17.06999969482422
252002,17.079999923706055
252527,17.079999923706055
253033,17.06999969482422
253602,17.079999923706055
254082,17.06999969482422
254528,17.079999923706055
255002,17.079999923706055
255527,17.079999923706055
256027,17.079999923706055
256502,17.079999923706055
257027,17.079999923706055
257502,17.079999923706055
258002,17.079999923706055
258527,17.079999923706055
259027,17.09000015258789
259501,17.09000015258789
260035,17.09000015258789
260502,17.09000015258789
261054,17.09000015258789
261604,17.09000015258789
262027,17.09000015258789
262528,17.100000381469727
263006,17.100000381469727
263592,17.100000381469727
264006,17.09000015258789
264561,17.09000015258789
265031,17.110000610351562
265501,17.100000381469727
266043,17.100000381469727
266572,17.100000381469727
267062,17.100000381469727
267501,17.110000610351562
268037,17.100000381469727
268502,17.110000610351562
269110,17.110000610351562
269605,17.100000381469727
270002,17.110000610351562
270527,17.110000610351562
271064,17.110000610351562
271583,17.110000610351562
272002,17.100000381469727
272592,17.110000610351562
273027,17.100000381469727
273502,17.110000610351562
274027,17.1200008392334
274502,17.1200008392334
275049,17.110000610351562
275599,17.1200008392334
276002,17.110000610351562
276578,17.1299991607666
277002,17.1299991607666
277527,17.110000610351562
278002,17.1200008392334
278502,17.1200008392334
279002,17.1200008392334
279502,17.1299991607666
280027,17.1299991607666
280515,17.1299991607666
281053,17.1299991607666
281502,17.1200008392334
282072,17.1200008392334
282502,17.1200008392334
283081,17.1299991607666
283501,17.1299991607666
284050,17.1299991607666
284506,17.1299991607666
285079,17.1299991607666
285531,17.1299991607666
286002,17.1299991607666
286571,17.1299991607666
287015,17.1299991607666
287566,17.1299991607666
288109,17.139999389648438
288545,17.139999389648438
289002,17.1299991607666
289594,17.139999389648438
290103,17.139999389648438
290527,17.139999389648438
291027,17.139999389648438
291562,17.139999389648438
292081,17.149999618530273
292527,17.149999618530273
293015,17.149999618530273
293590,17.149999618530273
294002,17.149999618530273
294528,17.149999618530273
295002,17.149999618530273
295568,17.149999618530273
296087,17.149999618530273
296502,17.149999618530273
297027,17.149999618530273
297605,17.149999618530273
298002,17.149999618530273
298594,17.15999984741211
299054,17.149999618530273
299502,17.15999984741211
300002,17.149999618530273
300527,17.15999984741211
301032,17.15999984741211
301541,17.149999618530273
302027,17.170000076293945
302502,17.15999984741211
303109,17.170000076293945
303501,17.170000076293945
304031,17.15999984741211
304608,17.15999984741211
305015,17.170000076293945
305607,17.15999984741211
306027,17.170000076293945
306502,17.170000076293945
307002,17.170000076293945
307565,17.170000076293945
308027,17.170000076293945
308502,17.18000030517578
309027,17.170000076293945
309543,17.18000030517578
310002,17.170000076293945
310502,17.170000076293945
311002,17.170000076293945
311590,17.170000076293945
312027,17.18000030517578
312502,17.190000534057617
313039,17.170000076293945
313527,17.15999984741211
314002,17.18000030517578
314501,17.170000076293945
315027,17.18000030517578
315501,17.18000030517578
316002,17.190000534057617
316501,17.190000534057617
317105,17.190000534057617
317527,17.18000030517578
318027,17.18000030517578
318502,17.18000030517578
319063,17.18000030517578
319502,17.190000534057617
320002,17.18000030517578
320527,17.18000030517578
321001,17.190000534057617
321502,17.200000762939453
322100,17.190000534057617
322502,17.18000030517578
323030,17.190000534057617
323531,17.190000534057617
324087,17.200000762939453
324502,17.200000762939453
325002,17.200000762939453
325502,17.200000762939453
326027,17.200000762939453
326502,17.190000534057617
327078,17.200000762939453
327527,17.190000534057617
328002,17.190000534057617
328502,17.200000762939453
329002,17.200000762939453
329527,17.190000534057617
330027,17.200000762939453
330600,17.209999084472656
331070,17.200000762939453
331502,17.200000762939453
332002,17.200000762939453
332502,17.200000762939453
333027,17.200000762939453
333515,17.200000762939453
334107,17.209999084472656
334606,17.200000762939453
335002,17.200000762939453
335502,17.209999084472656
336028,17.200000762939453
336515,17.200000762939453
337043,17.209999084472656
337502,17.209999084472656
338002,17.219999313354492
338501,17.209999084472656
339027,17.209999084472656
339601,17.209999084472656
340070,17.209999084472656
340502,17.219999313354492
341027,17.219999313354492
341502,17.209999084472656
342027,17.219999313354492
342502,17.219999313354492
343057,17.229999542236328
343531,17.219999313354492
344096,17.219999313354492
344606,17.219999313354492
345001,17.229999542236328
345547,17.219999313354492
346027,17.219999313354492
346527,17.219999313354492
347002,17.209999084472656
347502,17.229999542236328
348002,17.219999313354492
348571,17.219999313354492
349027,17.229999542236328
349527,17.219999313354492
350060,17.219999313354492
350502,17.229999542236328
351089,17.229999542236328
351578,17.229999542236328
352077,17.219999313354492
352607,17.229999542236328
353027,17.219999313354492
353515,17.229999542236328
354002,17.229999542236328
354502,17.229999542236328
355084,17.229999542236328
355594,17.229999542236328
356093,17.219999313354492
356502,17.229999542236328
357082,17.229999542236328
357542,17.239999771118164
358027,17.239999771118164
358601,17.239999771118164
359030,17.229999542236328
359502,17.239999771118164
360002,17.239999771118164
360502,17.239999771118164
361098,17.239999771118164
361502,17.239999771118164
362002,17.229999542236328
362527,17.239999771118164
363019,17.239999771118164
363531,17.239999771118164
364002,17.239999771118164
364531,17.25
365031,17.239999771118164
365603,17.239999771118164
366054,17.239999771118164
