Time (ms), Z Gyro (deg per sec)
5157,-16.40243911743164
5257,-11.341464042663574
5347,8.414634704589844
5402,17.073171615600586
5576,-30.670732498168945
5667,-16.890243530273438
5756,-3.9634146690368652
5816,-2.6219513416290283
5946,-84.14634704589844
6076,0.12195122241973877
6166,19.878049850463867
6256,57.19512176513672
6346,6.52439022064209
6446,10.97560977935791
6545,26.09756088256836
6645,42.19512176513672
6755,15.060976028442383
6855,14.02439022064209
6945,-2.2560975551605225
7075,4.207317352294922
7165,-15.182927131652832
7254,-7.256097793579102
7344,-5.121951103210449
7444,12.195121765136719
7574,15.12195110321045
7664,14.02439022064209
7754,1.3414634466171265
7844,1.7073171138763428
7944,-4.878048896789551
8074,0.0
8114,5.121951103210449
8202,41.219512939453125
8344,-4.02439022064209
8413,-12.804878234863281
8553,-21.64634132385254
8663,-12.804878234863281
8773,-18.59756088256836
8823,-28.53658676147461
8943,30.18292808532715
9053,37.07316970825195
9153,37.80487823486328
9242,53.17073440551758
9372,29.207317352294922
9442,8.414634704589844
9582,-24.7560977935791
9652,-56.463417053222656
9722,6.341463565826416
9852,-26.280488967895508
9902,-4.390244007110596
10051,2.195122003555298
10151,67.31707763671875
10251,-0.3048780560493469
10351,14.390244483947754
10411,-11.829268455505371
10551,2.4390244483947754
10651,-0.060975611209869385
10751,0.792682945728302
10850,0.18292683362960815
10920,-0.7317073345184326
11050,-0.6707317233085632
11150,-0.4878048896789551
11250,-0.24390244483947754
11350,-0.12195122241973877
11410,-0.4878048896789551
11502,-0.4268292784690857
11602,-0.24390244483947754
11750,-0.4268292784690857
11850,-0.3658536672592163
11949,-0.3048780560493469
12079,-0.24390244483947754
12169,-0.24390244483947754
12259,-0.24390244483947754
12369,-0.24390244483947754
12449,-0.24390244483947754
12559,-0.24390244483947754
12649,-0.24390244483947754
12748,-0.3048780560493469
12848,-0.24390244483947754
12948,-0.24390244483947754
13048,-0.3048780560493469
13148,-0.24390244483947754
13248,-0.18292683362960815
13348,-0.24390244483947754
13448,-0.24390244483947754
13578,-0.3048780560493469
13637,-0.3048780560493469
13717,-0.3048780560493469
13847,-0.3048780560493469
13937,-0.3048780560493469
14047,-0.24390244483947754
14147,-0.24390244483947754
14202,-0.24390244483947754
14347,-0.3048780560493469
14446,-0.3048780560493469
14527,-0.3658536672592163
14646,-0.3048780560493469
14746,-0.3658536672592163
14846,-0.3048780560493469
14946,-0.3658536672592163
15076,-0.3658536672592163
15166,-0.3048780560493469
15256,-0.24390244483947754
15346,-0.24390244483947754
15456,-0.24390244483947754
15545,-0.3048780560493469
15645,-0.3048780560493469
15745,-0.3048780560493469
15845,-0.24390244483947754
15965,-0.3658536672592163
16025,-0.3048780560493469
16145,-0.3048780560493469
16244,-0.3048780560493469
16344,-0.3048780560493469
16444,-0.3048780560493469
16554,-0.24390244483947754
16654,-0.3658536672592163
16744,-0.3658536672592163
16844,-0.3048780560493469
16924,-0.3048780560493469
17073,-0.3658536672592163
17164,-0.3048780560493469
17253,-0.18292683362960815
17373,-0.18292683362960815
17443,-0.3658536672592163
17553,-0.3048780560493469
17653,-0.3658536672592163
17743,-0.24390244483947754
17843,-0.3048780560493469
17953,-0.3048780560493469
18012,-0.3048780560493469
18142,-0.3658536672592163
18242,-0.24390244483947754
18342,-0.3048780560493469
18472,-0.3048780560493469
18552,-0.3048780560493469
18652,-0.3048780560493469
18752,-0.24390244483947754
18852,-0.3048780560493469
18952,-0.3658536672592163
19051,-0.3048780560493469
19151,-0.3658536672592163
19271,-0.3048780560493469
19351,-0.24390244483947754
19441,-0.3048780560493469
19571,-0.3048780560493469
19661,-0.3048780560493469
19771,-0.3048780560493469
19850,-0.3048780560493469
19910,-0.3658536672592163
20070,-0.3048780560493469
20160,-0.3048780560493469
20250,-0.3048780560493469
20350,-0.3048780560493469
20450,-0.18292683362960815
20579,-0.3048780560493469
20670,-0.3048780560493469
20749,-0.24390244483947754
20849,-0.24390244483947754
20902,-0.3048780560493469
21079,-0.18292683362960815
21169,-0.24390244483947754
21259,-0.3658536672592163
21309,-0.12195122241973877
21439,0.060975611209869385
21549,0.8536585569381714
21648,-1.2804877758026123
21718,-0.4268292784690857
21848,-0.3048780560493469
21948,-0.4268292784690857
22078,-0.3048780560493469
22148,-0.9756097793579102
22218,-1.1585365533828735
22348,-0.8536585569381714
22448,0.9756097793579102
22567,0.0
22657,0.18292683362960815
22747,-0.9146341681480408
22847,-2.2560975551605225
22967,0.12195122241973877
23027,-0.5487805008888245
23147,-0.5487805008888245
23247,-0.3048780560493469
23377,-0.3048780560493469
23446,-0.24390244483947754
23526,-0.18292683362960815
23646,-0.18292683362960815
23746,-0.3048780560493469
23846,-0.3658536672592163
23946,-0.18292683362960815
24046,-0.3048780560493469
24146,-0.4878048896789551
24246,0.18292683362960815
24325,-0.3048780560493469
24445,-0.3048780560493469
24575,-0.12195122241973877
24665,-0.3658536672592163
24755,-0.3048780560493469
24845,-0.4878048896789551
24945,-0.12195122241973877
25005,-0.9146341681480408
25154,-4.5731706619262695
25244,-1.3414634466171265
25344,1.1585365533828735
25444,-1.402438998222351
25544,-1.585365891456604
25644,-1.1585365533828735
25704,2.6219513416290283
25844,-2.804877996444702
25944,-3.5975611209869385
26024,-1.7682926654815674
26153,-0.7317073345184326
26263,1.585365891456604
26343,-6.158536911010742
26443,19.207317352294922
26593,2.317073106765747
26653,-3.0487804412841797
26743,0.24390244483947754
26843,1.402438998222351
26923,0.18292683362960815
27012,0.060975611209869385
27132,1.3414634466171265
27232,4.695122241973877
27342,5.0
27412,6.219512462615967
27502,-4.207317352294922
27652,4.02439022064209
27752,3.658536672592163
27852,-5.853658676147461
