Time (ms), X Acceleration (g)
5111,-0.66845703125
5213,-1.044921875
5302,-0.91796875
5437,-0.97021484375
5533,-0.7666015625
5617,-0.923828125
5707,-0.9453125
5856,-0.876953125
5902,-0.7421875
6030,-1.08203125
6116,-0.958984375
6206,-0.876953125
6302,-0.8671875
6402,-0.9033203125
6505,-0.939453125
6602,-1.04345703125
6705,-0.9814453125
6805,-0.93701171875
6902,-0.91748046875
7030,-0.98193359375
7115,-0.92333984375
7205,-1.03076171875
7302,-0.91845703125
7402,-1.06005859375
7530,-0.9873046875
7614,-0.95068359375
7704,-0.88623046875
7802,-0.9384765625
7902,-0.95263671875
8031,-1.05810546875
8154,-1.23046875
8234,-0.716796875
8302,-0.75732421875
8453,-0.85009765625
8505,-0.7861328125
8613,-1.01904296875
8723,-0.94970703125
8863,-1.083984375
8902,-1.06103515625
9005,-0.85546875
9112,-1.05126953125
9202,-0.6416015625
9322,-0.384765625
9402,-0.5908203125
9541,-0.6123046875
9602,-0.51171875
9762,-0.7822265625
9802,-1.037109375
9942,-1.4013671875
10004,-1.56396484375
10109,-1.3076171875
10202,-0.712890625
10302,-1.85791015625
10451,-1.0166015625
10505,-0.9443359375
10606,-0.96728515625
10702,-0.9775390625
10802,-0.96875
10960,-0.96337890625
11005,-0.96337890625
11106,-0.9677734375
11202,-0.96826171875
11302,-0.96826171875
11450,-0.96484375
11559,-0.97021484375
11640,-0.9658203125
11702,-0.96044921875
11802,-0.9677734375
11902,-0.96630859375
12030,-0.9599609375
12119,-0.96630859375
12209,-0.96875
12319,-0.96533203125
12402,-0.97509765625
12518,-0.9619140625
12602,-0.966796875
12702,-0.966796875
12802,-0.9580078125
12902,-0.96826171875
13005,-0.9638671875
13104,-0.96337890625
13202,-0.96240234375
13302,-0.96142578125
13402,-0.96142578125
13537,-0.95751953125
13677,-0.96923828125
13757,-0.95654296875
13802,-0.97412109375
13977,-0.9697265625
14003,-0.96826171875
14104,-0.96484375
14237,-0.96923828125
14302,-0.966796875
