Time (ms), Battery Current (A)
904880,0.14266666769981384
905098,0.15533334016799927
905501,0.1706666648387909
906077,0.15600000321865082
906501,0.14266666769981384
907106,0.14533333480358124
907606,0.16200000047683716
908025,0.17933332920074463
908605,0.18666666746139526
909025,0.14666666090488434
909513,0.17000000178813934
910104,0.164000004529953
910603,0.1966666728258133
911025,0.1706666648387909
911525,0.20133332908153534
912025,0.1653333306312561
912501,0.18933333456516266
913111,0.17399999499320984
913571,0.1626666635274887
914001,0.15266667306423187
914501,0.16466666758060455
915001,0.1120000034570694
915501,0.17866666615009308
916025,0.18533332645893097
916501,0.18133333325386047
917013,0.16066665947437286
917538,0.1693333387374878
918058,0.14933332800865173
918567,0.18400000035762787
919001,0.1393333375453949
919501,0.15199999511241913
920056,0.12066666781902313
920535,0.1693333387374878
921105,0.1586666703224182
921501,0.1366666704416275
922074,0.1393333375453949
922525,0.1599999964237213
923103,0.15600000321865082
923603,0.15066666901111603
924025,0.14666666090488434
924602,0.17533333599567413
925001,0.15933333337306976
925513,0.14666666090488434
926091,0.15199999511241913
926531,0.12399999797344208
927090,0.1733333319425583
927501,0.17866666615009308
928013,0.1720000058412552
928589,0.1586666703224182
929001,0.17133332788944244
929598,0.13466666638851166
930025,0.1586666703224182
930525,0.164000004529953
931001,0.1626666635274887
931501,0.17000000178813934
932106,0.12066666781902313
932501,0.1326666623353958
933056,0.15333333611488342
933525,0.1720000058412552
934001,0.15066666901111603
934529,0.195333331823349
935025,0.10999999940395355
935603,0.14266666769981384
936025,0.14933332800865173
936501,0.18066667020320892
937106,0.19466666877269745
937613,0.13600000739097595
938062,0.16866666078567505
938605,0.14800000190734863
939026,0.08733333647251129
939525,-0.0
940060,0.15066666901111603
940525,-0.0
941049,-0.0
941525,-0.0
942099,-0.0
942568,-0.0
943025,-0.0
943567,-0.0
944067,-0.0
944606,-0.0
945106,-0.0
945525,-0.0
946085,-0.0
946605,-0.0
947094,-0.0
947604,-0.0
948074,-0.0
948573,-0.0
949025,-0.0
949602,-0.0
950013,-0.0
950601,-0.0
951001,-0.0
951525,-0.0
952025,-0.0
952501,-0.0
953025,-0.0
953539,-0.0
954079,-0.0
954501,-0.0
955030,-0.0
955501,-0.0
956030,-0.0
956537,-0.0
957001,-0.0
957546,-0.0
958001,-0.0
958605,-0.0
959001,-0.0
959609,-0.0
960064,-0.0
960525,-0.0
961025,-0.0
961525,-0.0
962062,-0.0
962513,-0.0
963102,-0.0
963601,-0.0
964001,-0.0
964501,-0.0
965100,-0.0
965526,-0.0
966099,-0.0
966525,-0.0
967001,-0.0
967501,-0.0
968026,-0.0
968607,-0.0
969107,-0.0
969501,-0.0
970106,-0.0
970536,-0.0
971035,-0.0
971605,-0.0
972105,-0.0
972526,-0.0
973084,-0.0
973501,-0.0
974028,-0.0
974525,-0.0
975112,-0.0
975525,-0.0
976025,-0.0
976526,-0.0
977056,-0.0
977525,-0.0
978050,-0.0
978525,-0.0
979103,-0.0
979513,-0.0
980025,-0.0
980598,-0.0
981028,-0.0
981525,-0.0
982001,-0.0
982606,-0.0
983106,-0.0
983605,-0.0
984045,-0.0
984605,-0.0
