Time (ms), Z Mangetometer (uT)
904943,-0.3658536672592163
905043,-0.3048780560493469
905143,-0.3048780560493469
905243,-0.3048780560493469
905343,-0.3658536672592163
905443,-0.4268292784690857
905553,-0.3048780560493469
905653,-0.3658536672592163
905733,-0.3048780560493469
905843,-0.3048780560493469
905923,-0.3658536672592163
906023,-0.3658536672592163
906142,-0.4268292784690857
906262,-0.3048780560493469
906342,-0.4268292784690857
906442,-0.3658536672592163
906552,-0.3048780560493469
906652,-0.4268292784690857
906752,-0.3658536672592163
906822,-0.3658536672592163
906952,-0.3048780560493469
907052,-0.24390244483947754
907152,-0.3658536672592163
907252,-0.3048780560493469
907352,-0.24390244483947754
907451,0.12195122241973877
907551,2.1341464519500732
907651,-0.7317073345184326
907751,-0.792682945728302
907831,-15.12195110321045
907981,-7.987804889678955
908071,-13.231707572937012
908161,2.2560975551605225
908251,66.46341705322266
908350,28.90243911743164
908450,-19.207317352294922
908551,-26.03658676147461
908650,-35.67073440551758
908750,-12.256097793579102
908850,-7.804878234863281
908902,21.890243530273438
909070,-6.829268455505371
909120,15.914634704589844
909250,-15.0
909320,11.52439022064209
909450,-19.329269409179688
909560,-19.329269409179688
909650,1.1585365533828735
909750,-1.8292683362960815
909849,44.45122146606445
909909,-4.390244007110596
910049,-50.4878044128418
910149,-38.10975646972656
910249,-9.939024925231934
910349,25.0
910449,34.20731735229492
910549,15.792683601379395
910649,8.47560977935791
910719,-24.024391174316406
910848,-26.829269409179688
910902,-43.59756088256836
911079,2.5
911168,-1.402438998222351
911258,0.18292683362960815
911348,-0.18292683362960815
911448,-0.3048780560493469
911578,-0.4268292784690857
911668,-0.3658536672592163
911758,-0.4268292784690857
911848,-0.3658536672592163
911948,-0.3658536672592163
912078,-0.24390244483947754
912168,-0.4268292784690857
912258,-0.3658536672592163
912377,-0.3658536672592163
912457,-0.3658536672592163
912547,-0.3658536672592163
912647,-0.3658536672592163
912747,-0.3658536672592163
912847,-0.3048780560493469
912927,-0.24390244483947754
913057,-0.3048780560493469
913157,-0.3658536672592163
913257,-0.3048780560493469
913357,-0.24390244483947754
913467,-0.3658536672592163
913516,-0.3048780560493469
913646,-0.4268292784690857
913746,-0.3048780560493469
913846,-0.24390244483947754
913946,-0.3048780560493469
914056,-0.3658536672592163
914156,-0.3658536672592163
914246,-0.4268292784690857
914336,-0.4268292784690857
914446,-0.3658536672592163
914556,-0.3048780560493469
914656,-0.3048780560493469
914746,-0.3048780560493469
914846,-0.24390244483947754
914945,-0.3658536672592163
915055,-0.3048780560493469
915155,-0.3048780560493469
915225,-0.3658536672592163
915375,-0.3048780560493469
915445,-0.3658536672592163
915555,-2.987804889678955
915655,-1.8292683362960815
915745,13.170731544494629
915835,25.731708526611328
915944,44.26829528808594
916074,20.30487823486328
916164,-6.7682929039001465
916214,-12.317073822021484
916344,-26.768293380737305
916444,-22.19512176513672
916554,6.5853657722473145
916654,-4.817073345184326
916744,-16.280488967895508
916814,-21.40243911743164
916944,-3.170731782913208
