Time (ms), Longitude
904973,0.0
905073,0.0
906053,0.0
907082,0.0
908101,0.0
909001,0.0
910079,0.0
911109,0.0
912108,0.0
913087,0.0
914086,0.0
915086,0.0
916105,0.0
917094,0.0
918033,0.0
919082,0.0
920032,0.0
921081,0.0
922050,0.0
923079,0.0
924108,0.0
925078,0.0
926067,0.0
927066,0.0
928095,0.0
929085,0.0
930104,0.0
931083,0.0
932082,0.0
933031,0.0
934080,0.0
935110,0.0
936109,0.0
937078,0.0
938037,0.0
939002,0.0
940036,0.0
941025,0.0
942074,0.0
943103,0.0
944043,0.0
945081,0.0
946061,0.0
947070,0.0
948049,0.0
949108,0.0
950098,0.0
951077,0.0
952106,0.0
953001,0.0
954054,0.0
955002,0.0
956002,0.0
957082,0.0
958081,0.0
959080,0.0
960040,0.0
961109,0.0
962038,0.0
963077,0.0
964076,0.0
965076,0.0
966075,0.0
967084,0.0
968002,0.0
969083,0.0
970082,0.0
971011,0.0
972080,0.0
973060,0.0
974001,0.0
975088,0.0
976001,0.0
977026,0.0
978026,0.0
979075,0.0
980107,0.0
981003,0.0
982083,0.0
983081,0.0
984021,0.0
985080,0.0
986089,0.0
987079,0.0
988048,0.0
989107,0.0
990076,0.0
991075,0.0
992104,0.0
993084,0.0
994083,0.0
995002,0.0
996111,0.0
997084,0.0
998001,0.0
999039,0.0
1000088,0.0
1001108,0.0
1002077,0.0
1003106,0.0
1004015,0.0
1005004,0.0
1006024,0.0
1007013,0.0
1008082,0.0
1009091,0.0
1010100,0.0
1011040,0.0
1012109,0.0
1013078,0.0
1014087,0.0
1015076,0.0
1016049,0.0
1017045,0.0
1018084,0.0
1019001,0.0
1020023,0.0
1021001,0.0
1022081,0.0
1023080,0.0
1024079,0.0
1025019,0.0
1026078,0.0
1027107,0.0
1028016,0.0
1029035,0.0
1030105,0.0
1031084,0.0
1032093,0.0
1033082,0.0
1034001,0.0
1035031,0.0
1036052,0.0
1037079,0.0
1038078,0.0
1039078,0.0
1040080,0.0
1041109,0.0
1042045,0.0
1043015,0.0
1044084,0.0
1045053,0.0
1046102,0.0
1047081,0.0
1048100,0.0
1049080,0.0
1050019,0.0
1051078,0.0
1052077,0.0
1053076,0.0
1054076,0.0
1055105,0.0
1056084,0.0
1057083,0.0
1058053,0.0
1059082,0.0
1060084,0.0
1061080,0.0
1062049,0.0
1063001,0.0
1064078,0.0
1065077,0.0
1066001,0.0
1067075,0.0
1068074,0.0
1069064,0.0
1070103,0.0
1071082,0.0
1072082,0.0
1073081,0.0
1074080,0.0
1075079,0.0
1076078,0.0
1077077,0.0
1078047,0.0
1079106,0.0
1080035,0.0
1081088,0.0
1082084,0.0
1083063,0.0
1084042,0.0
1085001,0.0
1086060,0.0
1087080,0.0
1088089,0.0
1089078,0.0
1090077,0.0
1091076,0.0
1092066,0.0
1093085,0.0
1094074,0.0
1095083,0.0
1096001,0.0
1097082,0.0
1098041,0.0
1099110,0.0
1100080,0.0
1101109,0.0
1102068,0.0
1103097,0.0
1104077,0.0
1105016,0.0
1106085,0.0
1107104,0.0
1108083,0.0
1109102,0.0
1110092,0.0
1111041,0.0
1112080,0.0
1113009,0.0
1114079,0.0
1115008,0.0
1116107,0.0
1117056,0.0
1118001,0.0
1119078,0.0
1120024,0.0
1121053,0.0
1122102,0.0
1123081,0.0
1124080,0.0
1125002,0.0
1126069,0.0
1127088,0.0
1128098,0.0
1129037,0.0
1130002,0.0
1131075,0.0
1132001,0.0
1133094,0.0
1134083,0.0
1135062,0.0
1136031,0.0
1137101,0.0
1138063,0.0
1139002,0.0
1140078,0.0
1141107,0.0
1142007,0.0
1143076,0.0
1144001,0.0
1145001,0.0
1146001,0.0
1147001,0.0
1148102,0.0
1149081,0.0
1150081,0.0
1151080,0.0
1152019,0.0
1153078,0.0
1154077,0.0
1155106,0.0
1156046,0.0
1157085,0.0
1158084,0.0
1159001,0.0
1160103,0.0
1161092,0.0
1162081,0.0
1163090,0.0
1164001,0.0
1165079,0.0
1166078,0.0
1167007,0.0
1168077,0.0
1169001,0.0
1170002,0.0
1171084,0.0
1172083,0.0
1173043,0.0
1174092,0.0
1175031,0.0
1176100,0.0
1177080,0.0
1178009,0.0
1179048,0.0
1180081,0.0
1181080,0.0
1182076,0.0
1183005,0.0
1184034,0.0
1185104,0.0
1186063,0.0
1187082,0.0
1188081,0.0
1189100,0.0
1190079,0.0
1191109,0.0
1192028,0.0
1193017,0.0
1194001,0.0
1195076,0.0
1196075,0.0
1197084,0.0
1198094,0.0
1199083,0.0
1200082,0.0
1201101,0.0
1202010,0.0
1203080,0.0
1204079,0.0
1205068,0.0
1206007,0.0
1207076,0.0
1208076,0.0
1209002,0.0
1210001,0.0
1211064,0.0
1212083,0.0
1213082,0.0
1214111,0.0
1215081,0.0
1216080,0.0
1217109,0.0
1218088,0.0
1219002,0.0
1220057,0.0
1221076,0.0
1222085,0.0
1223074,0.0
1224094,0.0
1225001,0.0
1226082,0.0
1227101,0.0
1228081,0.0
1229080,0.0
1230079,0.0
1231078,0.0
1232001,0.0
1233027,0.0
1234066,0.0
1235085,0.0
1236075,0.0
1237044,0.0
1238043,0.0
1239012,0.0
1240032,0.0
1241081,0.0
1242070,0.0
1243002,0.0
1244068,0.0
1245108,0.0
1246107,0.0
1247046,0.0
1248075,0.0
1249055,0.0
1250084,0.0
1251002,0.0
1252003,0.0
1253082,0.0
1254061,0.0
1255080,0.0
1256053,0.0
1257082,0.0
1258002,0.0
1259017,0.0
1260046,0.0
1261109,0.0
1262085,0.0
1263084,0.0
1264002,0.0
1265102,0.0
1266082,0.0
1267081,0.0
1268080,0.0
1269060,0.0
1270079,0.0
1271008,0.0
1272037,0.0
1273006,0.0
1274076,0.0
1275085,0.0
1276054,0.0
1277002,0.0
1278033,0.0
1279082,0.0
1280085,0.0
1281080,0.0
1282110,0.0
1283002,0.0
1284028,0.0
1285077,0.0
1286106,0.0
1287076,0.0
1288085,0.0
1289004,0.0
1290001,0.0
1291063,0.0
1292082,0.0
1293021,0.0
1294081,0.0
1295080,0.0
1296079,0.0
1297078,0.0
1298001,0.0
1299007,0.0
1300106,0.0
1301045,0.0
1302005,0.0
1303034,0.0
1304083,0.0
1305002,0.0
1306082,0.0
1307081,0.0
1308001,0.0
1309009,0.0
1310059,0.0
1311078,0.0
1312077,0.0
1313076,0.0
1314005,0.0
1315035,0.0
1316074,0.0
1317064,0.0
1318023,0.0
1319082,0.0
1320051,0.0
1321010,0.0
1322020,0.0
1323002,0.0
1324068,0.0
1325077,0.0
1326096,0.0
1327076,0.0
1328005,0.0
1329104,0.0
1330094,0.0
1331073,0.0
1332042,0.0
1333081,0.0
1334081,0.0
