Time (ms), X Acceleration (g)
904896,-0.97021484375
904999,-0.970703125
905103,-0.96728515625
905202,-0.96923828125
905302,-0.9697265625
905402,-0.96630859375
905505,-0.9658203125
905608,-0.97412109375
905773,-0.97314453125
905802,-0.96630859375
905962,-0.9736328125
906082,-0.97705078125
906102,-0.97021484375
906212,-0.97607421875
906302,-0.96875
906402,-0.97314453125
906505,-0.9765625
906607,-0.97412109375
906702,-0.9697265625
906862,-0.97021484375
906902,-0.97216796875
907003,-0.97998046875
907109,-0.966796875
907202,-0.97412109375
907302,-0.966796875
907402,-0.9853515625
907505,-1.01416015625
907608,-0.9912109375
907702,-0.98486328125
907871,-1.00537109375
907931,-0.90869140625
908030,-0.96044921875
908111,-0.88720703125
908202,-1.2431640625
908302,-1.2265625
908402,-0.8583984375
908502,-0.78369140625
908609,-0.83154296875
908702,-0.736328125
908802,-0.794921875
908940,-0.94970703125
909030,-0.90966796875
909160,-0.95263671875
909202,-0.90625
909360,-0.87109375
909402,-0.93017578125
909518,-0.87841796875
909603,-0.923828125
909702,-1.08251953125
909802,-1.17626953125
909949,-0.9638671875
910004,-1.10693359375
910106,-1.1064453125
910202,-1.1005859375
910302,-1.08154296875
910402,-0.96923828125
910505,-0.91845703125
910605,-0.80224609375
910759,-0.99853515625
910802,-0.908203125
910939,-0.98046875
911030,-0.95263671875
911119,-0.939453125
911208,-0.9873046875
911302,-0.9658203125
911402,-0.9677734375
911530,-0.96728515625
911618,-0.9697265625
911708,-0.96630859375
911802,-0.97607421875
911902,-0.966796875
912030,-0.97412109375
912118,-0.9755859375
912207,-0.970703125
912328,-0.96826171875
912407,-0.97509765625
912505,-0.9736328125
912603,-0.97802734375
912702,-0.97021484375
912802,-0.98291015625
912967,-0.9736328125
913007,-0.98828125
913113,-0.96728515625
913207,-0.966796875
913306,-0.97509765625
913416,-0.98388671875
913576,-0.9736328125
913602,-0.970703125
913702,-0.97998046875
913802,-0.97265625
913902,-0.978515625
914008,-0.970703125
914112,-0.9677734375
914202,-0.97802734375
914376,-0.97021484375
914402,-0.97216796875
914508,-0.9677734375
914611,-0.97998046875
914702,-0.97412109375
914802,-0.9697265625
914902,-0.9697265625
915008,-0.96630859375
915111,-0.9716796875
915265,-0.97216796875
915325,-0.97216796875
915402,-0.97509765625
915508,-0.94677734375
915610,-0.97607421875
915702,-0.986328125
915875,-1.23876953125
915902,-1.16552734375
916033,-1.04248046875
916114,-1.05712890625
916254,-0.9189453125
916302,-0.8291015625
916402,-1.00634765625
916505,-0.95556640625
916610,-0.82373046875
916702,-0.89013671875
916854,-0.9150390625
916902,-0.9248046875
917018,-0.94140625
917107,-0.84375
917202,-0.9287109375
917302,-1.2412109375
917463,-1.0107421875
917546,-0.98828125
917603,-1.0
917702,-1.0185546875
917802,-1.0849609375
917902,-1.01953125
918066,-0.84912109375
918103,-0.9052734375
918202,-0.9453125
918302,-0.94677734375
918402,-0.91943359375
918575,-0.9482421875
918603,-0.876953125
918702,-0.89111328125
918802,-1.0166015625
918902,-0.95263671875
919005,-0.9521484375
919111,-0.9560546875
919232,-0.947265625
919362,-1.02880859375
919402,-0.99072265625
919505,-1.01171875
919611,-1.00634765625
919742,-0.97802734375
919802,-0.99072265625
919902,-0.94873046875
920061,-0.96337890625
920102,-0.9111328125
920221,-0.9443359375
920302,-0.9990234375
920402,-0.97607421875
920540,-0.95361328125
920602,-0.97607421875
920731,-0.974609375
920802,-0.98681640625
920940,-0.95654296875
921002,-0.97900390625
921110,-0.96044921875
921202,-0.94873046875
921360,-0.98583984375
921402,-0.96630859375
921505,-1.00390625
921605,-0.9619140625
921702,-0.96435546875
921830,-0.95166015625
921902,-1.00146484375
922079,-0.97509765625
922102,-0.947265625
922202,-0.95068359375
922302,-0.95751953125
922402,-0.96826171875
922530,-0.99560546875
922619,-0.97314453125
922709,-0.990234375
922802,-0.9853515625
922959,-0.93212890625
923003,-0.94384765625
923106,-0.96142578125
923202,-0.97509765625
923302,-0.9765625
923468,-0.97607421875
923504,-0.97412109375
923606,-0.99951171875
923702,-0.9619140625
923802,-0.9619140625
923902,-0.96484375
924030,-0.96923828125
924118,-0.98876953125
924208,-0.9638671875
924302,-1.00244140625
924448,-0.98046875
924505,-0.95947265625
924604,-0.9755859375
924768,-0.94775390625
924828,-0.96923828125
924918,-0.99072265625
925005,-0.98046875
925103,-0.96728515625
925202,-0.953125
925302,-0.95361328125
925402,-0.9541015625
925518,-0.9609375
925610,-1.0
925702,-1.0244140625
925802,-1.01025390625
925902,-0.98876953125
926096,-0.93896484375
926102,-0.94580078125
926216,-1.001953125
926302,-0.98486328125
926402,-0.96044921875
926536,-0.94482421875
926666,-0.95361328125
