Time (ms), X Mangetometer (uT)
904923,-1.097561001777649
905023,-1.097561001777649
905123,-1.097561001777649
905223,-1.097561001777649
905323,-1.0365853309631348
905423,-1.1585365533828735
905533,-1.1585365533828735
905633,-1.097561001777649
905713,-1.1585365533828735
905823,-1.0365853309631348
905903,-1.0365853309631348
906003,-1.0365853309631348
906123,-1.097561001777649
906242,-1.097561001777649
906322,-1.097561001777649
906422,-1.0365853309631348
906532,-1.1585365533828735
906632,-1.097561001777649
906732,-1.0365853309631348
906802,-1.097561001777649
906932,-1.097561001777649
907032,-1.0365853309631348
907132,-1.097561001777649
907231,-1.0365853309631348
907331,-1.097561001777649
907431,0.8536585569381714
907531,-0.8536585569381714
907631,-0.9146341681480408
907731,-0.6097561120986938
907811,-0.9146341681480408
907961,-1.2804877758026123
908051,-8.658536911010742
908141,-26.58536720275879
908231,-38.04878234863281
908331,-18.841463088989258
908431,-10.853658676147461
908530,-10.853658676147461
908630,-28.59756088256836
908730,-37.8658561706543
908830,-38.780487060546875
908970,-33.475608825683594
909050,-28.90243911743164
909190,-13.353658676147461
909230,-42.74390411376953
909302,-41.219512939453125
909430,-32.92683029174805
909539,-41.280487060546875
909629,-42.74390411376953
909729,-37.5
909829,-23.170732498168945
909979,-18.780488967895508
910029,-11.707317352294922
910129,-0.7317073345184326
910229,2.987804889678955
910329,3.9024391174316406
910429,-8.04878044128418
910529,-12.439024925231934
910629,9.87804889678955
910702,23.719512939453125
910829,-1.7682926654815674
910968,0.12195122241973877
911058,-1.097561001777649
911148,-1.2195122241973877
911238,-1.1585365533828735
911328,-1.1585365533828735
911428,-1.097561001777649
911558,-1.097561001777649
911648,-1.097561001777649
911738,-1.097561001777649
911828,-1.097561001777649
911928,-1.097561001777649
912058,-1.097561001777649
912148,-1.097561001777649
912237,-1.097561001777649
912358,-1.097561001777649
912437,-1.0365853309631348
912527,-1.097561001777649
912627,-1.1585365533828735
912727,-1.097561001777649
912827,-1.0365853309631348
912907,-1.1585365533828735
913037,-1.097561001777649
913137,-1.097561001777649
913237,-1.097561001777649
913336,-1.1585365533828735
913446,-1.097561001777649
913502,-1.097561001777649
913627,-1.097561001777649
913726,-1.1585365533828735
913826,-1.097561001777649
913926,-1.0365853309631348
914036,-1.097561001777649
914136,-1.0365853309631348
914226,-1.0365853309631348
914316,-1.1585365533828735
914426,-1.0365853309631348
914536,-1.097561001777649
914635,-1.1585365533828735
914725,-1.097561001777649
914825,-1.097561001777649
914925,-1.097561001777649
915035,-1.0365853309631348
915135,-1.0365853309631348
915205,-1.097561001777649
915355,-1.097561001777649
915425,-1.0365853309631348
915535,-1.585365891456604
915635,-0.9146341681480408
915725,-0.060975611209869385
915815,-0.12195122241973877
915925,11.219511985778809
916055,30.426830291748047
916144,34.14634323120117
916284,26.64634132385254
916324,22.2560977935791
916424,16.829269409179688
916534,20.121952056884766
916634,18.90243911743164
916724,9.085366249084473
916802,-1.3414634466171265
