Time (ms), X Gyro (deg per sec)
904954,-27.756938934326172
905054,-29.257314682006836
905153,-29.257314682006836
905253,-30.15753936767578
905353,-29.107276916503906
905453,-28.657163619995117
905563,-27.456865310668945
905663,-28.657163619995117
905743,-28.35708999633789
905853,-28.807201385498047
905933,-29.257314682006836
906033,-28.807201385498047
906153,-29.557390213012695
906272,-29.107276916503906
906352,-28.20705223083496
906452,-29.257314682006836
906562,-28.657163619995117
906662,-29.557390213012695
906762,-28.20705223083496
906832,-27.756938934326172
906962,-27.756938934326172
907062,-28.957239151000977
907162,-29.107276916503906
907262,-27.9069766998291
907361,-28.657163619995117
907462,-28.05701446533203
907561,-27.9069766998291
907661,-28.05701446533203
907761,-28.20705223083496
907841,-28.35708999633789
907902,-28.20705223083496
908081,-25.506376266479492
908171,-26.556638717651367
908261,-29.707427978515625
908361,-31.507877349853516
908461,-30.7576904296875
908561,-28.807201385498047
908661,-26.25656509399414
908760,-25.056264877319336
908860,-25.056264877319336
908910,-25.056264877319336
909080,-23.7059268951416
909130,-22.655664443969727
909260,-23.255813598632812
909330,-21.60540199279785
909460,-16.804201126098633
909570,-14.10352611541748
909660,-14.853713989257812
909760,-15.003750801086426
909860,-14.853713989257812
909920,-14.10352611541748
910059,-10.502625465393066
910159,-2.550637722015381
910259,-0.7501875758171082
910359,-2.100525140762329
910459,-6.9017252922058105
910559,-10.802700996398926
910659,-13.653413772583008
910729,-14.25356388092041
910859,-9.152288436889648
910909,-7.951988220214844
911089,-4.051012992858887
911178,-3.3008251190185547
911268,-2.7006752490997314
911358,-3.600900173187256
911458,-4.501125335693359
911588,-4.35108757019043
911678,-4.501125335693359
911768,-5.251312732696533
911858,-3.900975227355957
911958,-4.201050281524658
912088,-4.951237678527832
912178,-5.251312732696533
912268,-2.7006752490997314
912302,-3.600900173187256
912467,-4.201050281524658
912557,-4.201050281524658
912657,-4.35108757019043
912757,-5.401350498199463
912857,-4.051012992858887
912937,-4.051012992858887
913067,-4.35108757019043
913167,-3.600900173187256
913267,-4.201050281524658
913367,-4.051012992858887
913477,-3.600900173187256
913527,-4.201050281524658
913657,-4.35108757019043
913756,-4.201050281524658
913856,-3.3008251190185547
913956,-3.600900173187256
914066,-4.501125335693359
914166,-5.401350498199463
914256,-3.4508626461029053
914346,-3.600900173187256
914456,-4.951237678527832
914566,-4.8012003898620605
914666,-2.2505626678466797
914756,-3.150787830352783
914856,-4.501125335693359
914956,-4.35108757019043
915065,-3.150787830352783
915165,-5.101275444030762
915235,-2.7006752490997314
915302,-3.600900173187256
915455,-4.201050281524658
915565,-3.150787830352783
915665,-4.501125335693359
915755,-4.501125335693359
915845,-10.052513122558594
915955,-14.553638458251953
916085,-20.405101776123047
916175,-18.904726028442383
916225,-16.804201126098633
916354,-13.053263664245605
916454,-9.452363014221191
916564,-9.902475357055664
916664,-9.152288436889648
916754,-5.251312732696533
916824,-5.701425552368164
916954,-3.150787830352783
917074,-3.4508626461029053
917164,-2.7006752490997314
917254,0.0
917354,0.450112521648407
917434,1.6504125595092773
917502,2.850712776184082
917663,3.4508626461029053
917753,3.150787830352783
917853,2.2505626678466797
917953,-0.6001500487327576
918013,-0.7501875758171082
918163,-0.7501875758171082
918253,-1.5003751516342163
918353,-2.550637722015381
918453,-4.501125335693359
918523,-3.600900173187256
918663,1.2003000974655151
918752,4.35108757019043
918852,5.251312732696533
918952,1.0502625703811646
919062,-2.550637722015381
919162,-3.600900173187256
919202,-3.150787830352783
919332,2.4006001949310303
919462,1.2003000974655151
919562,-1.5003751516342163
919672,0.450112521648407
919712,1.2003000974655151
919862,-0.7501875758171082
919962,0.1500375121831894
920012,1.3503376245498657
920162,0.7501875758171082
920281,-1.2003000974655151
920361,-1.2003000974655151
920461,-1.2003000974655151
920591,0.0
920661,0.450112521648407
920702,0.6001500487327576
920861,-0.7501875758171082
920911,-2.2505626678466797
921061,-2.4006001949310303
921161,-0.7501875758171082
921260,0.0
921330,-0.450112521648407
921460,0.450112521648407
921560,-0.3000750243663788
921660,1.2003000974655151
921760,0.7501875758171082
921802,0.450112521648407
921960,-2.100525140762329
922030,0.450112521648407
922160,-0.7501875758171082
922260,-0.900225043296814
922360,1.2003000974655151
922460,0.0
922589,-0.3000750243663788
922680,0.0
922769,-0.6001500487327576
922859,1.0502625703811646
922929,-0.450112521648407
923059,-2.2505626678466797
923159,-0.6001500487327576
923259,-2.100525140762329
923359,0.0
923439,-0.3000750243663788
923559,-0.7501875758171082
923659,-2.100525140762329
923759,0.0
923858,0.450112521648407
923958,0.6001500487327576
924088,-1.3503376245498657
924178,-3.3008251190185547
924268,-4.201050281524658
924358,-0.7501875758171082
924418,0.3000750243663788
924558,1.0502625703811646
924658,1.5003751516342163
924738,2.550637722015381
924802,2.550637722015381
924977,-1.5003751516342163
925057,-3.3008251190185547
925157,-3.600900173187256
925257,-0.900225043296814
925357,0.3000750243663788
925457,1.5003751516342163
925577,-0.900225043296814
925667,-1.800450086593628
925757,-0.900225043296814
925857,-0.7501875758171082
925957,0.1500375121831894
926047,0.6001500487327576
926157,-0.3000750243663788
926276,0.1500375121831894
926356,-0.3000750243663788
926456,0.7501875758171082
926586,-1.2003000974655151
926636,-1.3503376245498657
