Time (ms), Battery Current (A)
904872,0.0993739441037178
905084,0.1416364163160324
905603,0.1085117757320404
906001,0.1005161702632904
906602,0.1039428561925888
907013,0.097089484333992
907525,0.1165073812007904
908051,0.0959472507238388
908525,0.1085117757320404
909001,0.1073695495724678
909570,0.0993739441037178
910079,0.1039428561925888
910513,0.0982317104935646
911108,0.113080695271492
911568,0.113080695271492
912067,0.11536514759063721
912501,0.1028006300330162
913107,0.1336408257484436
913525,0.0913783386349678
914026,0.1119384616613388
914545,0.145063117146492
915001,0.109654001891613
915530,0.1039428561925888
916029,0.1119384616613388
916603,0.1119384616613388
917001,0.11536514759063721
917501,0.113080695271492
918102,0.1222185268998146
918525,0.0902361050248146
919001,0.109654001891613
919525,0.0833827331662178
920025,0.1107962355017662
920525,0.0902361050248146
921099,0.109654001891613
921529,0.1016584038734436
922088,0.0936627984046936
922501,0.113080695271492
923108,0.1347830444574356
923501,0.1073695495724678
924001,0.0993739441037178
924606,0.0902361050248146
925106,0.1039428561925888
925585,0.1016584038734436
926025,0.1005161702632904
926535,0.0936627984046936
927104,0.1039428561925888
927525,0.1073695495724678
928001,0.121076300740242
928525,0.1119384616613388
929025,0.0753871276974678
929582,0.1142229214310646
930025,0.1107962355017662
930601,0.1005161702632904
931025,0.105085089802742
931501,0.1187918409705162
932025,0.1142229214310646
932501,0.0936627984046936
933025,0.1119384616613388
933528,0.1016584038734436
934108,0.0913783386349678
934526,0.1142229214310646
935040,0.11536514759063721
935606,0.1073695495724678
936059,0.0913783386349678
936501,0.1142229214310646
937069,0.0902361050248146
937604,0.081098273396492
938044,0.0491158552467823
938604,0.081098273396492
939107,0.0799560472369194
939525,0.0708182081580162
940025,0.0936627984046936
940525,0.109654001891613
941101,0.0902361050248146
941525,0.0936627984046936
942025,0.1085117757320404
942530,0.0993739441037178
943040,0.0868094190955162
943609,0.0639648362994194
944029,0.0788138136267662
944608,0.0833827331662178
945108,0.0788138136267662
945608,0.0536847747862339
946037,0.0696759819984436
