Time (ms), Internal Temperature (C)
904886,18.649999618530273
905087,18.65999984741211
905501,18.649999618530273
906003,18.649999618530273
906502,18.639999389648438
907016,18.649999618530273
907528,18.649999618530273
908054,18.649999618530273
908528,18.639999389648438
909003,18.639999389648438
909573,18.649999618530273
910082,18.649999618530273
910516,18.639999389648438
911002,18.639999389648438
911571,18.6299991607666
912070,18.639999389648438
912503,18.6299991607666
913003,18.6299991607666
913528,18.6299991607666
914029,18.6200008392334
914548,18.6200008392334
915006,18.6299991607666
915533,18.6299991607666
916031,18.6299991607666
916503,18.639999389648438
917003,18.6299991607666
917503,18.639999389648438
918003,18.6299991607666
918528,18.639999389648438
919003,18.6299991607666
919528,18.6299991607666
920028,18.6299991607666
920528,18.6299991607666
921001,18.6299991607666
921532,18.6299991607666
922091,18.6200008392334
922503,18.6299991607666
923002,18.6299991607666
923503,18.6299991607666
924003,18.6299991607666
924502,18.6200008392334
925002,18.6200008392334
925588,18.610000610351562
926028,18.610000610351562
926538,18.6299991607666
927002,18.6200008392334
927528,18.6200008392334
928003,18.610000610351562
928528,18.6299991607666
929028,18.6200008392334
929585,18.6200008392334
930028,18.6200008392334
930503,18.6299991607666
931028,18.6299991607666
931503,18.6299991607666
932028,18.6299991607666
932503,18.6200008392334
933028,18.6299991607666
933531,18.6200008392334
934002,18.6299991607666
934529,18.639999389648438
935043,18.639999389648438
935609,18.649999618530273
936062,18.65999984741211
936503,18.65999984741211
937072,18.670000076293945
937502,18.65999984741211
938050,18.68000030517578
938503,18.690000534057617
939110,18.700000762939453
939528,18.690000534057617
940028,18.709999084472656
940528,18.719999313354492
941104,18.739999771118164
941528,18.729999542236328
942028,18.739999771118164
942533,18.739999771118164
943043,18.760000228881836
943503,18.760000228881836
944032,18.780000686645508
944503,18.790000915527344
945003,18.799999237060547
945502,18.799999237060547
946040,18.809999465942383
946503,18.81999969482422
947069,18.81999969482422
947503,18.84000015258789
948028,18.84000015258789
948577,18.850000381469727
949028,18.860000610351562
949501,18.8799991607666
950107,18.8799991607666
950503,18.889999389648438
951003,18.889999389648438
951535,18.899999618530273
952028,18.899999618530273
952502,18.90999984741211
953003,18.90999984741211
953603,18.920000076293945
954032,18.93000030517578
954572,18.940000534057617
955045,18.950000762939453
955501,18.959999084472656
956003,18.959999084472656
956600,18.979999542236328
957003,18.969999313354492
957503,18.989999771118164
958003,19.0
958501,19.010000228881836
959061,19.030000686645508
959501,19.030000686645508
960001,19.030000686645508
960501,19.040000915527344
961003,19.049999237060547
961501,19.059999465942383
962029,19.059999465942383
962516,19.079999923706055
963035,19.09000015258789
963503,19.100000381469727
964003,19.100000381469727
964529,19.110000610351562
965002,19.1200008392334
965503,19.1299991607666
966016,19.1299991607666
966503,19.139999389648438
967051,19.139999389648438
967503,19.149999618530273
968003,19.149999618530273
968569,19.149999618530273
969109,19.149999618530273
969608,19.170000076293945
970108,19.18000030517578
970608,19.18000030517578
971003,19.190000534057617
971503,19.18000030517578
972003,19.190000534057617
972586,19.209999084472656
973003,19.209999084472656
973528,19.229999542236328
974028,19.219999313354492
974503,19.229999542236328
975037,19.239999771118164
975533,19.239999771118164
976019,19.239999771118164
976506,19.25
977045,19.25
977503,19.260000228881836
978016,19.270000457763672
978574,19.270000457763672
979028,19.270000457763672
979528,19.270000457763672
980003,19.280000686645508
980516,19.290000915527344
981089,19.299999237060547
981528,19.299999237060547
982028,19.290000915527344
982501,19.309999465942383
983067,19.309999465942383
983576,19.329999923706055
984003,19.329999923706055
984503,19.329999923706055
985003,19.329999923706055
985604,19.34000015258789
986104,19.34000015258789
986502,19.34000015258789
987029,19.350000381469727
987528,19.350000381469727
988028,19.360000610351562
988503,19.360000610351562
989003,19.360000610351562
989551,19.3700008392334
990028,19.3700008392334
990503,19.389999389648438
991002,19.389999389648438
991528,19.399999618530273
992003,19.399999618530273
992503,19.389999389648438
993003,19.40999984741211
993503,19.40999984741211
994028,19.40999984741211
994586,19.420000076293945
995001,19.420000076293945
995528,19.43000030517578
996048,19.450000762939453
996506,19.440000534057617
997016,19.440000534057617
997531,19.459999084472656
998087,19.469999313354492
998502,19.479999542236328
999055,19.489999771118164
999532,19.489999771118164
1000031,19.5
1000581,19.5
1001003,19.510000228881836
1001570,19.520000457763672
1002003,19.530000686645508
1002503,19.530000686645508
1003003,19.540000915527344
1003528,19.549999237060547
1004003,19.549999237060547
1004528,19.549999237060547
1005003,19.549999237060547
1005503,19.56999969482422
1006002,19.59000015258789
1006528,19.600000381469727
1007105,19.600000381469727
1007528,19.59000015258789
1008002,19.600000381469727
1008584,19.610000610351562
1009003,19.6200008392334
1009503,19.6200008392334
1010001,19.6200008392334
1010503,19.6299991607666
1011052,19.639999389648438
1011601,19.639999389648438
1012061,19.65999984741211
1012540,19.65999984741211
1013002,19.670000076293945
1013589,19.68000030517578
1014069,19.690000534057617
1014503,19.700000762939453
1015006,19.700000762939453
1015577,19.709999084472656
1016006,19.729999542236328
1016607,19.719999313354492
1017032,19.729999542236328
1017531,19.729999542236328
1018059,19.75
1018503,19.739999771118164
1019057,19.75
1019528,19.760000228881836
1020028,19.75
1020573,19.770000457763672
1021028,19.760000228881836
1021572,19.770000457763672
1022003,19.770000457763672
1022503,19.790000915527344
1023003,19.790000915527344
1023540,19.799999237060547
1024028,19.799999237060547
1024559,19.809999465942383
1025028,19.809999465942383
1025503,19.809999465942383
1026108,19.81999969482422
1026558,19.81999969482422
1027028,19.829999923706055
1027516,19.829999923706055
1028106,19.84000015258789
1028503,19.850000381469727
1029003,19.850000381469727
1029516,19.84000015258789
1030034,19.850000381469727
1030529,19.860000610351562
1031003,19.8799991607666
1031563,19.889999389648438
1032103,19.889999389648438
1032503,19.889999389648438
1033042,19.889999389648438
1033528,19.889999389648438
1034051,19.899999618530273
1034503,19.899999618530273
1035028,19.90999984741211
1035580,19.920000076293945
1036069,19.920000076293945
1036542,19.920000076293945
1037003,19.93000030517578
1037598,19.93000030517578
1038032,19.940000534057617
1038503,19.940000534057617
1039003,19.950000762939453
1039501,19.959999084472656
1040003,19.959999084472656
1040529,19.969999313354492
1041002,19.969999313354492
1041516,19.969999313354492
1042054,19.989999771118164
1042529,20.0
1043103,20.010000228881836
1043542,20.010000228881836
1044062,20.0
1044503,20.020000457763672
1045003,20.020000457763672
1045516,20.030000686645508
1046050,20.030000686645508
1046540,20.040000915527344
1047003,20.049999237060547
1047589,20.049999237060547
1048078,20.049999237060547
1048516,20.059999465942383
1049097,20.059999465942383
1049577,20.059999465942383
1050057,20.079999923706055
1050536,20.079999923706055
1051066,20.09000015258789
1051502,20.09000015258789
1052029,20.09000015258789
1052503,20.100000381469727
1053002,20.100000381469727
1053503,20.100000381469727
1054029,20.110000610351562
1054503,20.1200008392334
1055028,20.1200008392334
1055528,20.1200008392334
1056031,20.1299991607666
1056506,20.1299991607666
1057031,20.139999389648438
1057570,20.139999389648438
1058003,20.149999618530273
1058528,20.15999984741211
1059052,20.15999984741211
1059503,20.15999984741211
1060028,20.170000076293945
1060610,20.170000076293945
1061016,20.18000030517578
1061503,20.190000534057617
1062003,20.18000030517578
1062528,20.190000534057617
1063003,20.200000762939453
1063555,20.200000762939453
1064028,20.209999084472656
1064503,20.219999313354492
1065044,20.219999313354492
1065528,20.219999313354492
1066082,20.229999542236328
1066528,20.239999771118164
1067003,20.229999542236328
1067581,20.239999771118164
1068028,20.25
1068503,20.260000228881836
1069028,20.270000457763672
1069503,20.260000228881836
1070028,20.280000686645508
1070503,20.280000686645508
1071068,20.290000915527344
1071503,20.299999237060547
1072107,20.290000915527344
1072547,20.309999465942383
1073076,20.309999465942383
1073528,20.31999969482422
1074095,20.31999969482422
1074528,20.31999969482422
1075003,20.31999969482422
1075503,20.34000015258789
1076104,20.34000015258789
1076506,20.34000015258789
1077036,20.350000381469727
1077531,20.360000610351562
1078016,20.350000381469727
1078501,20.360000610351562
1079003,20.3799991607666
1079604,20.3799991607666
1080104,20.3799991607666
1080503,20.3799991607666
1081003,20.389999389648438
1081503,20.399999618530273
1082029,20.399999618530273
