Time (ms), eCO2 density (ppm)
904984,400.0
905084,400.0
905603,400.0
906103,400.0
906602,400.0
907013,400.0
907525,400.0
908051,400.0
908525,400.0
909100,400.0
909570,400.0
910079,400.0
910513,400.0
911108,400.0
911568,400.0
912067,400.0
912607,400.0
913107,400.0
913525,400.0
914026,400.0
914545,400.0
915105,400.0
915530,400.0
916025,400.0
916603,400.0
917103,400.0
917602,400.0
918102,400.0
918525,400.0
919101,400.0
919525,400.0
920025,400.0
920525,400.0
921099,400.0
921529,400.0
922088,400.0
922608,400.0
923108,400.0
923607,400.0
924107,400.0
924606,400.0
925106,400.0
925585,400.0
926025,400.0
926535,400.0
927104,400.0
927525,400.0
928103,400.0
928525,400.0
929025,400.0
929582,400.0
930025,400.0
930601,400.0
931025,400.0
931600,400.0
932025,400.0
932609,400.0
933025,400.0
933528,400.0
934108,400.0
934526,400.0
935040,400.0
935606,400.0
936059,400.0
936605,400.0
937069,400.0
937604,400.0
938044,400.0
938604,400.0
939107,400.0
939525,400.0
940025,400.0
940525,400.0
941101,400.0
941525,400.0
942025,400.0
942530,400.0
943040,400.0
943609,400.0
944029,400.0
944608,400.0
945108,400.0
945608,400.0
946037,400.0
946606,400.0
947066,400.0
947605,400.0
948025,400.0
948574,400.0
949025,400.0
949604,400.0
950104,400.0
950603,400.0
951102,400.0
951532,400.0
952025,400.0
952601,400.0
953101,400.0
953600,400.0
954029,400.0
954569,400.0
955042,400.0
955598,400.0
956108,400.0
956597,400.0
957107,400.0
957607,400.0
958106,400.0
958609,400.0
959055,400.0
959605,400.0
960104,400.0
960604,400.0
961107,400.0
961603,400.0
962026,400.0
962513,400.0
963032,400.0
963601,400.0
964101,400.0
964526,400.0
965100,400.0
965609,400.0
966013,400.0
966608,400.0
967048,400.0
967608,400.0
968107,400.0
968566,400.0
969106,400.0
969605,400.0
970105,400.0
970605,400.0
971104,400.0
971604,400.0
972104,400.0
972583,400.0
973102,400.0
973525,400.0
974025,400.0
974601,400.0
975034,400.0
975530,400.0
976013,400.0
976609,400.0
977042,400.0
977608,400.0
978013,400.0
978568,400.0
979025,400.0
979525,400.0
980110,400.0
980513,400.0
981086,400.0
981525,400.0
982025,400.0
982604,400.0
983064,400.0
983573,400.0
984103,400.0
984602,400.0
985102,400.0
985601,400.0
986101,400.0
986600,400.0
987026,400.0
987525,400.0
988025,400.0
988608,400.0
989108,400.0
989548,400.0
990025,400.0
990607,400.0
991107,400.0
991525,400.0
992106,400.0
992605,400.0
993104,400.0
993604,400.0
994025,400.0
994583,400.0
995103,400.0
995525,400.0
996045,400.0
996611,400.0
997013,400.0
997525,400.0
998084,400.0
998599,400.0
999049,400.0
999529,400.0
1000028,400.0
1000578,400.0
1001111,400.0
1001567,400.0
1002110,400.0
1002606,400.0
1003106,400.0
1003525,400.0
1004105,400.0
1004525,400.0
1005104,400.0
1005603,400.0
1006103,400.0
1006525,400.0
1007102,400.0
1007525,400.0
1008101,400.0
1008581,400.0
1009100,400.0
1009600,400.0
1010099,400.0
1010609,400.0
1011049,400.0
1011598,400.0
1012058,400.0
1012537,400.0
1013107,400.0
1013586,400.0
1014066,400.0
1014605,400.0
1015105,400.0
1015574,400.0
1016104,400.0
1016604,400.0
1017029,400.0
1017525,400.0
1018056,400.0
1018601,400.0
1019051,400.0
1019525,400.0
1020025,400.0
1020570,400.0
1021025,400.0
1021569,400.0
1022113,400.0
1022608,400.0
1023108,400.0
1023537,400.0
1024025,400.0
1024556,400.0
1025025,400.0
1025606,400.0
1026105,400.0
1026555,400.0
1027025,400.0
1027513,400.0
1028103,400.0
1028603,400.0
1029102,400.0
1029513,400.0
1030031,400.0
1030526,400.0
1031100,400.0
1031560,400.0
1032100,400.0
1032609,400.0
1033039,400.0
1033525,400.0
1034048,400.0
1034607,400.0
1035025,400.0
1035577,400.0
1036066,400.0
1036539,400.0
1037105,400.0
1037595,400.0
1038026,400.0
1038604,400.0
1039104,400.0
1039603,400.0
1040103,400.0
1040526,400.0
1041106,400.0
1041513,400.0
1042051,400.0
1042526,400.0
1043100,403.0
1043539,403.0
1044059,411.0
1044608,415.0
1045108,409.0
1045513,429.0
1046047,427.0
1046537,421.0
1047106,436.0
1047586,432.0
1048075,430.0
1048513,427.0
1049094,428.0
1049574,419.0
1050054,433.0
1050533,436.0
1051063,437.0
1051602,440.0
1052026,437.0
1052602,455.0
1053101,476.0
1053600,474.0
1054026,478.0
1054600,486.0
1055025,498.0
1055525,499.0
1056028,511.0
1056608,508.0
1057025,504.0
1057567,506.0
1058107,512.0
1058525,515.0
1059046,517.0
1059605,527.0
1060025,523.0
1060604,518.0
1061013,528.0
1061604,522.0
1062107,520.0
1062525,537.0
1063102,527.0
1063552,543.0
1064025,534.0
1064601,540.0
1065041,526.0
1065525,526.0
1066079,535.0
1066525,526.0
1067109,515.0
1067578,516.0
1068025,509.0
1068607,512.0
1069025,505.0
1069606,487.0
1070025,501.0
1070605,496.0
1071065,491.0
1071605,486.0
1072104,490.0
1072544,482.0
1073073,478.0
1073525,480.0
1074092,462.0
1074525,468.0
1075102,453.0
1075601,455.0
1076101,448.0
1076610,431.0
1077033,438.0
1077525,431.0
1078013,420.0
1078598,423.0
1079108,424.0
1079601,427.0
1080101,425.0
1080607,426.0
1081110,424.0
1081609,443.0
1082026,429.0
1082575,442.0
1083104,437.0
1083604,442.0
1084104,442.0
1084603,435.0
1085103,439.0
1085562,445.0
1086102,439.0
1086513,444.0
1087101,435.0
1087600,440.0
1088100,433.0
1088525,434.0
1089025,429.0
1089525,436.0
1090098,429.0
1090525,433.0
1091097,429.0
1091607,425.0
1092107,423.0
1092606,422.0
1093013,421.0
1093605,417.0
1094025,416.0
1094604,411.0
1095025,408.0
1095553,400.0
1096113,402.0
1096613,410.0
1097112,403.0
1097555,409.0
1098101,400.0
1098561,400.0
1099025,400.0
1099570,402.0
1100110,404.0
1100559,403.0
1101059,400.0
1101598,400.0
1102108,402.0
1102537,403.0
1103077,400.0
1103513,400.0
1104096,400.0
1104525,400.0
1105105,400.0
1105513,400.0
1106025,400.0
1106604,400.0
1107103,400.0
1107525,400.0
1108025,400.0
1108532,400.0
1109026,400.0
1109601,400.0
1110101,400.0
1110600,400.0
1111025,400.0
1111590,400.0
1112026,400.0
1112549,400.0
1113108,400.0
1113538,400.0
1114107,400.0
1114567,400.0
1115056,400.0
1115513,400.0
1116106,400.0
1116585,400.0
1117104,400.0
1117604,400.0
1118077,400.0
1118603,400.0
1119103,400.0
1119572,400.0
1120096,400.0
1120601,400.0
1121104,400.0
1121570,400.0
1122103,400.0
1122599,400.0
1123025,400.0
1123609,400.0
1124069,400.0
1124526,400.0
1125025,400.0
1125525,400.0
1126106,400.0
1126525,400.0
1127025,400.0
1127526,400.0
1128105,400.0
1128604,400.0
1129094,400.0
1129543,400.0
1130063,400.0
1130553,400.0
1131072,400.0
1131525,400.0
1132101,400.0
1132525,400.0
1133050,400.0
1133600,400.0
1134100,400.0
1134526,400.0
1135025,400.0
1135525,400.0
1136108,400.0
1136587,400.0
1137031,400.0
1137606,400.0
1138096,400.0
1138535,400.0
1139105,400.0
1139535,400.0
1140108,400.0
1140604,400.0
1141103,400.0
1141603,400.0
1142025,400.0
1142592,400.0
1143101,400.0
1143601,400.0
1144071,400.0
1144600,400.0
1145025,400.0
1145526,400.0
1146109,400.0
1146588,400.0
1147025,400.0
1147577,400.0
1148047,400.0
1148606,400.0
1149106,400.0
1149606,400.0
1150025,400.0
1150526,400.0
1151025,400.0
1151525,400.0
1152073,400.0
1152525,400.0
1153102,400.0
1153592,400.0
1154051,400.0
1154525,400.0
1155071,400.0
1155513,400.0
1156110,400.0
1156590,400.0
1157059,400.0
1157525,400.0
1158108,400.0
1158587,400.0
1159097,400.0
1159607,400.0
1160110,400.0
1160546,400.0
1161109,400.0
1161605,400.0
1162108,400.0
1162526,400.0
1163044,400.0
1163603,400.0
1164025,400.0
1164602,400.0
1165102,400.0
1165601,400.0
1166031,400.0
1166600,400.0
1167100,400.0
1167525,400.0
1168026,400.0
1168599,400.0
1169025,400.0
1169598,400.0
1170087,400.0
1170607,400.0
1171106,400.0
1171566,400.0
1172106,400.0
1172575,400.0
1173075,400.0
1173525,400.0
1174104,400.0
1174603,400.0
1175025,400.0
1175602,400.0
1176112,400.0
1176602,400.0
1177025,400.0
1177591,400.0
1178100,400.0
1178525,400.0
1179026,400.0
1179609,400.0
1180025,400.0
1180525,400.0
1181111,400.0
1181557,400.0
1182066,400.0
1182525,400.0
1183076,400.0
1183605,400.0
1184105,400.0
1184513,400.0
1185104,400.0
1185525,400.0
1186043,400.0
1186602,400.0
1187102,400.0
1187602,400.0
1188101,400.0
1188601,400.0
1189100,400.0
1189525,400.0
1190025,400.0
1190609,400.0
1191025,400.0
1191608,400.0
1192097,400.0
1192607,400.0
1193106,400.0
1193606,400.0
1194026,400.0
1194605,400.0
1195105,400.0
1195525,400.0
1196025,400.0
1196513,400.0
1197113,400.0
1197603,400.0
1198036,400.0
1198525,400.0
1199065,400.0
1199525,400.0
1200111,400.0
1200600,400.0
1201069,400.0
1201525,400.0
1202099,400.0
1202525,400.0
1203108,400.0
1203607,400.0
1204025,400.0
1204606,400.0
1205025,400.0
1205605,400.0
1206085,400.0
1206525,400.0
1207104,400.0
1207525,400.0
1208025,400.0
1208525,400.0
1209025,400.0
1209525,400.0
1210101,400.0
1210601,400.0
1211025,400.0
1211600,400.0
1212099,400.0
1212609,400.0
1213025,400.0
1213608,400.0
1214108,400.0
1214531,400.0
1215106,400.0
1215606,400.0
1216025,400.0
1216605,400.0
1217045,400.0
1217525,400.0
1218044,400.0
1218533,400.0
1219083,400.0
1219602,400.0
1220106,400.0
1220513,400.0
1221025,400.0
1221600,400.0
1222025,400.0
1222600,400.0
1223109,400.0
1223525,400.0
1224098,400.0
1224598,400.0
1225025,400.0
1225547,400.0
1226047,400.0
1226525,400.0
1227096,400.0
1227605,400.0
1228104,400.0
1228526,400.0
1229104,400.0
1229526,400.0
1230025,400.0
1230602,400.0
1231025,400.0
1231601,400.0
1232025,400.0
1232570,400.0
1233080,400.0
1233599,400.0
1234049,400.0
1234525,400.0
1235108,400.0
1235525,400.0
1236101,400.0
1236607,400.0
1237090,400.0
1237586,400.0
1238025,400.0
1238525,400.0
1239025,400.0
1239525,400.0
1240026,400.0
1240526,400.0
1241103,400.0
1241602,400.0
1242072,400.0
1242571,400.0
1243101,400.0
1243570,400.0
1244026,400.0
1244609,400.0
1245025,400.0
1245549,400.0
1246058,400.0
1246608,400.0
1247025,400.0
1247607,400.0
1248106,400.0
1248606,400.0
1249105,400.0
1249526,400.0
1250064,400.0
1250525,400.0
1251013,400.0
1251603,400.0
1252102,400.0
1252513,400.0
1253028,400.0
1253611,400.0
1254111,400.0
1254513,400.0
1255100,400.0
1255525,400.0
1256109,400.0
1256608,400.0
1257068,400.0
1257528,400.0
1258110,400.0
1258525,400.0
1259026,400.0
1259525,400.0
1260013,400.0
1260605,400.0
1261104,400.0
1261513,400.0
1262103,400.0
1262603,400.0
1263032,400.0
1263552,400.0
1264081,400.0
1264601,400.0
1265100,400.0
1265600,400.0
1266110,400.0
1266525,400.0
1267069,400.0
1267608,400.0
