Time (ms), X Mangetometer (uT)
4638,18.154539108276367
4738,17.854463577270508
4868,18.754688262939453
4958,19.804950714111328
5058,18.604650497436523
5158,16.654163360595703
5208,18.454614639282227
5358,18.004501342773438
5402,19.354839324951172
5567,18.454614639282227
5667,18.154539108276367
5757,18.604650497436523
5857,18.154539108276367
5957,18.904726028442383
6087,19.054763793945312
6177,19.5048770904541
6287,18.754688262939453
6357,18.754688262939453
6456,18.604650497436523
6567,17.854463577270508
6666,18.454614639282227
6726,17.55438804626465
6806,18.154539108276367
6956,17.254314422607422
7056,19.054763793945312
7156,17.254314422607422
7256,19.354839324951172
7356,17.854463577270508
7456,18.454614639282227
7556,19.6549129486084
7656,17.55438804626465
7745,18.604650497436523
7855,19.054763793945312
7955,18.604650497436523
8055,18.604650497436523
8165,18.454614639282227
8255,18.904726028442383
8335,19.054763793945312
8455,17.704425811767578
8565,18.004501342773438
8665,16.954238891601562
8754,17.104276657104492
8824,17.854463577270508
8954,17.104276657104492
9064,19.054763793945312
9164,18.454614639282227
9254,18.604650497436523
9354,18.604650497436523
9414,17.704425811767578
9564,17.55438804626465
9674,18.004501342773438
9764,19.054763793945312
9854,16.354087829589844
9963,16.654163360595703
10063,16.654163360595703
10173,18.004501342773438
10263,17.704425811767578
10373,17.854463577270508
10453,18.454614639282227
10563,18.604650497436523
10673,18.454614639282227
10733,19.054763793945312
10853,18.154539108276367
10923,17.704425811767578
11003,18.004501342773438
11152,18.454614639282227
11252,17.854463577270508
11352,18.904726028442383
11462,16.954238891601562
11562,16.354087829589844
11662,16.804201126098633
11762,18.754688262939453
11862,18.604650497436523
11962,17.55438804626465
12082,16.954238891601562
12171,18.454614639282227
12221,18.604650497436523
12361,17.704425811767578
12421,19.804950714111328
12561,17.704425811767578
12661,18.754688262939453
12761,18.604650497436523
12861,19.354839324951172
12961,17.854463577270508
13080,19.054763793945312
13170,19.054763793945312
13230,18.604650497436523
13360,19.5048770904541
13460,18.004501342773438
13560,17.704425811767578
13660,18.154539108276367
13750,18.754688262939453
13802,18.754688262939453
13960,17.704425811767578
14090,17.104276657104492
14170,18.154539108276367
14220,18.154539108276367
14360,19.354839324951172
14460,18.154539108276367
14589,18.604650497436523
14679,18.604650497436523
14769,17.254314422607422
14859,17.704425811767578
14959,19.954988479614258
15049,17.104276657104492
15159,18.154539108276367
15259,17.104276657104492
15359,17.104276657104492
15458,18.604650497436523
15559,18.454614639282227
15658,16.354087829589844
15748,18.454614639282227
15858,19.054763793945312
15958,17.854463577270508
16058,18.904726028442383
16158,18.604650497436523
16258,17.704425811767578
16358,18.754688262939453
16418,19.6549129486084
16587,18.154539108276367
16658,19.6549129486084
16702,18.004501342773438
16857,18.454614639282227
16957,18.604650497436523
17087,19.354839324951172
17177,18.004501342773438
17247,17.854463577270508
17357,18.604650497436523
17457,18.154539108276367
17527,17.704425811767578
17657,17.704425811767578
17717,18.904726028442383
17856,18.004501342773438
17926,18.454614639282227
18086,18.904726028442383
18176,18.004501342773438
18236,17.704425811767578
18356,19.354839324951172
18456,20.255064010620117
18556,18.154539108276367
18602,17.854463577270508
18756,17.254314422607422
18856,19.5048770904541
18902,17.704425811767578
19015,17.55438804626465
19155,19.054763793945312
19255,17.254314422607422
19355,17.854463577270508
19455,17.854463577270508
19515,18.154539108276367
19655,18.154539108276367
19755,18.904726028442383
19855,16.804201126098633
19955,19.5048770904541
20085,18.154539108276367
20174,17.104276657104492
20264,17.704425811767578
20354,17.55438804626465
20424,18.754688262939453
20554,18.904726028442383
20654,16.804201126098633
20704,18.904726028442383
20854,17.854463577270508
20954,19.354839324951172
21063,18.004501342773438
21164,17.55438804626465
21254,18.454614639282227
21363,18.154539108276367
21463,16.954238891601562
21563,17.704425811767578
21663,18.754688262939453
21733,17.104276657104492
21853,18.454614639282227
21953,17.55438804626465
22033,18.904726028442383
22153,18.754688262939453
22253,17.55438804626465
22332,19.6549129486084
22452,18.604650497436523
22562,18.754688262939453
22662,19.054763793945312
22742,16.354087829589844
22882,18.604650497436523
22912,17.55438804626465
23032,18.154539108276367
23162,18.904726028442383
23262,16.954238891601562
23362,18.154539108276367
23412,17.55438804626465
23541,18.004501342773438
23661,17.704425811767578
23741,18.904726028442383
23861,17.704425811767578
23902,17.104276657104492
24061,18.004501342773438
24161,17.704425811767578
24261,18.754688262939453
24361,17.254314422607422
24461,17.704425811767578
24561,17.104276657104492
24661,18.154539108276367
24730,18.454614639282227
24860,19.054763793945312
24980,16.804201126098633
25040,18.754688262939453
25160,18.454614639282227
25270,18.904726028442383
25360,19.5048770904541
25460,20.255064010620117
25550,18.454614639282227
25660,19.354839324951172
25719,17.854463577270508
25859,18.154539108276367
25959,18.454614639282227
26009,19.6549129486084
26169,17.104276657104492
26219,18.904726028442383
26359,18.454614639282227
26459,19.804950714111328
26579,18.154539108276367
26669,17.55438804626465
26759,19.354839324951172
26858,18.004501342773438
26958,18.904726028442383
27058,18.154539108276367
27168,16.954238891601562
