Time (ms), Time (seconds)
4658,0.0
5078,0.0
6001,0.0
7076,0.0
8078,0.0
9087,0.0
10083,0.0
11023,0.0
12001,0.0
13001,0.0
14002,0.0
15069,0.0
16078,0.0
17107,0.0
18001,0.0
19035,0.0
20001,0.0
21084,0.0
22053,0.0
23052,0.0
24081,0.0
25060,0.0
26033,0.0
27082,0.0
28008,0.0
29077,0.0
30079,0.0
31075,0.0
32084,0.0
33001,0.0
34072,0.0
35081,0.0
36050,0.0
37001,0.0
38079,0.0
39078,0.0
40007,0.0
41076,0.0
42075,0.0
43044,0.0
44083,0.0
45004,0.0
46001,0.0
47081,0.0
48080,0.0
49029,0.0
50038,0.0
51077,0.0
52026,0.0
53006,0.0
54075,0.0
55084,0.0
56083,0.0
57082,0.0
58081,0.0
59002,0.0
60030,0.0
61079,0.0
62078,0.0
63007,0.0
64076,0.0
65085,0.0
66038,0.0
67037,0.0
68093,0.0
69085,0.0
70093,0.0
71002,0.0
72089,0.0
73078,0.0
74037,0.0
75076,0.0
76056,0.0
77085,0.0
78094,0.0
79073,0.0
80082,0.0
81081,0.0
82080,0.0
83040,0.0
84001,0.0
85028,0.0
86087,0.0
87001,0.0
88095,0.0
89078,0.0
90087,0.0
91053,0.0
92082,0.0
93081,0.0
94081,0.0
95079,0.0
96001,0.0
97078,0.0
98077,0.0
99001,0.0
100105,0.0
101024,0.0
102044,0.0
103083,0.0
104082,0.0
105081,0.0
106005,0.0
107109,0.0
108001,0.0
109081,0.0
110080,0.0
111080,0.0
112055,0.0
113004,0.0
114083,0.0
115003,0.0
116082,0.0
117001,0.0
118001,0.0
119001,0.0
120079,0.0
121078,0.0
122077,0.0
123106,0.0
124015,0.0
125044,0.0
126083,0.0
127004,0.0
128082,0.0
129021,0.0
130084,0.0
131093,0.0
132009,0.0
133078,0.0
134047,0.0
135076,0.0
136065,0.0
137001,0.0
138001,0.0
139083,0.0
140082,0.0
141081,0.0
142080,0.0
143001,0.0
144002,0.0
145078,0.0
146001,0.0
147086,0.0
148001,0.0
149078,0.0
150064,0.0
151001,0.0
152082,0.0
153081,0.0
154081,0.0
155001,0.0
156069,0.0
157078,0.0
158002,0.0
159046,0.0
160001,0.0
161045,0.0
162001,0.0
163083,0.0
164082,0.0
165012,0.0
166081,0.0
167005,0.0
168009,0.0
169002,0.0
170081,0.0
171080,0.0
172046,0.0
173085,0.0
174074,0.0
175063,0.0
176083,0.0
177082,0.0
178081,0.0
179080,0.0
180079,0.0
181009,0.0
182078,0.0
183077,0.0
184076,0.0
185001,0.0
186065,0.0
187064,0.0
188083,0.0
189082,0.0
190012,0.0
191011,0.0
192001,0.0
193079,0.0
194078,0.0
195001,0.0
196001,0.0
197076,0.0
198085,0.0
199084,0.0
200001,0.0
201083,0.0
202082,0.0
203081,0.0
204050,0.0
205079,0.0
206078,0.0
207001,0.0
208077,0.0
209076,0.0
210085,0.0
211001,0.0
212087,0.0
213083,0.0
214082,0.0
215001,0.0
216081,0.0
217001,0.0
218079,0.0
219078,0.0
220077,0.0
221047,0.0
222001,0.0
223001,0.0
224001,0.0
225083,0.0
226073,0.0
227001,0.0
228081,0.0
229080,0.0
230082,0.0
231079,0.0
232002,0.0
233001,0.0
234076,0.0
235006,0.0
236001,0.0
237084,0.0
238073,0.0
239082,0.0
240081,0.0
241001,0.0
242001,0.0
243079,0.0
244008,0.0
245047,0.0
246077,0.0
247066,0.0
248069,0.0
249002,0.0
250001,0.0
251086,0.0
252001,0.0
253012,0.0
254051,0.0
255090,0.0
256079,0.0
257078,0.0
258077,0.0
259077,0.0
260076,0.0
261001,0.0
262002,0.0
263073,0.0
264002,0.0
265001,0.0
266041,0.0
267090,0.0
268053,0.0
269001,0.0
270001,0.0
271001,0.0
272026,0.0
273036,0.0
274015,0.0
275074,0.0
276063,0.0
277023,0.0
278082,0.0
279081,0.0
280002,0.0
281079,0.0
282049,0.0
283058,0.0
284067,0.0
285001,0.0
286004,0.0
287095,0.0
288074,0.0
289057,0.0
290001,0.0
291022,0.0
292051,0.0
293040,0.0
294080,0.0
295079,0.0
296018,0.0
297001,0.0
298077,0.0
299076,0.0
300075,0.0
301054,0.0
302033,0.0
303032,0.0
304072,0.0
305081,0.0
306080,0.0
307070,0.0
308089,0.0
309002,0.0
310017,0.0
311001,0.0
312015,0.0
313075,0.0
314001,0.0
315083,0.0
316052,0.0
317082,0.0
318081,0.0
319040,0.0
320060,0.0
321049,0.0
322002,0.0
323077,0.0
324077,0.0
325076,0.0
326075,0.0
327104,0.0
328037,0.0
329083,0.0
330082,0.0
331041,0.0
332084,0.0
333079,0.0
334002,0.0
335078,0.0
336077,0.0
337002,0.0
338046,0.0
339075,0.0
340084,0.0
341103,0.0
342002,0.0
343001,0.0
344001,0.0
345002,0.0
346001,0.0
347099,0.0
348022,0.0
349002,0.0
350017,0.0
351016,0.0
352075,0.0
353087,0.0
354073,0.0
355001,0.0
356082,0.0
357021,0.0
358002,0.0
359020,0.0
360079,0.0
361078,0.0
362017,0.0
363077,0.0
364076,0.0
365075,0.0
366074,0.0
367084,0.0
368083,0.0
369082,0.0
370001,0.0
371001,0.0
372020,0.0
373082,0.0
374078,0.0
375068,0.0
376077,0.0
377076,0.0
378085,0.0
379074,0.0
380084,0.0
381001,0.0
382072,0.0
383082,0.0
384081,0.0
385080,0.0
386049,0.0
387078,0.0
388021,0.0
389077,0.0
390076,0.0
391002,0.0
392075,0.0
393064,0.0
394001,0.0
395002,0.0
396082,0.0
397081,0.0
398080,0.0
399090,0.0
400001,0.0
401001,0.0
402017,0.0
403096,0.0
404076,0.0
405015,0.0
406084,0.0
407073,0.0
408083,0.0
409001,0.0
410021,0.0
411080,0.0
412002,0.0
413082,0.0
414078,0.0
415077,0.0
416057,0.0
417076,0.0
418075,0.0
419085,0.0
420014,0.0
421083,0.0
422052,0.0
423081,0.0
424081,0.0
425070,0.0
426019,0.0
427001,0.0
428004,0.0
429020,0.0
430001,0.0
431016,0.0
432085,0.0
433001,0.0
434083,0.0
435063,0.0
436082,0.0
437001,0.0
438001,0.0
439070,0.0
440079,0.0
441002,0.0
442077,0.0
443017,0.0
444016,0.0
445085,0.0
446085,0.0
447074,0.0
448083,0.0
449005,0.0
450001,0.0
451001,0.0
452080,0.0
453039,0.0
454082,0.0
455001,0.0
456077,0.0
457001,0.0
458056,0.0
459035,0.0
460074,0.0
461083,0.0
462053,0.0
463082,0.0
464002,0.0
465081,0.0
466080,0.0
467069,0.0
468088,0.0
469058,0.0
470077,0.0
471076,0.0
472078,0.0
473064,0.0
474087,0.0
475073,0.0
476083,0.0
477072,0.0
478081,0.0
479080,0.0
480079,0.0
481039,0.0
482018,0.0
483001,0.0
484002,0.0
485016,0.0
486085,0.0
487074,0.0
488084,0.0
489001,0.0
490035,0.0
491002,0.0
492071,0.0
493083,0.0
494079,0.0
495001,0.0
496078,0.0
497001,0.0
498076,0.0
499026,0.0
500002,0.0
501001,0.0
502033,0.0
503083,0.0
504082,0.0
505001,0.0
506080,0.0
507002,0.0
508079,0.0
509078,0.0
510078,0.0
511080,0.0
512079,0.0
513001,0.0
514088,0.0
515084,0.0
516002,0.0
517073,0.0
518072,0.0
519081,0.0
520080,0.0
521079,0.0
522001,0.0
523001,0.0
524001,0.0
525076,0.0
526016,0.0
527035,0.0
528085,0.0
529084,0.0
530083,0.0
531112,0.0
532002,0.0
533051,0.0
534002,0.0
535079,0.0
536089,0.0
537078,0.0
538001,0.0
539001,0.0
540076,0.0
541075,0.0
542014,0.0
543034,0.0
544083,0.0
545082,0.0
546081,0.0
547081,0.0
548080,0.0
549069,0.0
550022,0.0
551078,0.0
552077,0.0
553002,0.0
554002,0.0
555088,0.0
556001,0.0
557001,0.0
558083,0.0
559082,0.0
560081,0.0
561021,0.0
562002,0.0
563001,0.0
564078,0.0
565078,0.0
566067,0.0
567076,0.0
568002,0.0
569004,0.0
570001,0.0
571083,0.0
572083,0.0
573082,0.0
574031,0.0
575001,0.0
576080,0.0
577079,0.0
578001,0.0
579078,0.0
580077,0.0
581001,0.0
582026,0.0
583015,0.0
584001,0.0
585033,0.0
586103,0.0
587001,0.0
588081,0.0
589005,0.0
590005,0.0
591079,0.0
592001,0.0
593048,0.0
594080,0.0
595109,0.0
596075,0.0
597055,0.0
598001,0.0
599063,0.0
600062,0.0
601082,0.0
602081,0.0
603090,0.0
604002,0.0
605079,0.0
606001,0.0
607068,0.0
608107,0.0
609076,0.0
610075,0.0
611085,0.0
612002,0.0
613001,0.0
614083,0.0
615004,0.0
616001,0.0
617001,0.0
618001,0.0
619001,0.0
620088,0.0
621078,0.0
622047,0.0
623076,0.0
624076,0.0
625085,0.0
626074,0.0
627003,0.0
628043,0.0
629072,0.0
630031,0.0
631001,0.0
632001,0.0
633049,0.0
634088,0.0
635078,0.0
636002,0.0
637080,0.0
638079,0.0
639075,0.0
640084,0.0
641083,0.0
642002,0.0
643001,0.0
644081,0.0
645081,0.0
646080,0.0
647089,0.0
648079,0.0
649058,0.0
650001,0.0
651077,0.0
652076,0.0
653035,0.0
654084,0.0
655047,0.0
656083,0.0
657001,0.0
658051,0.0
659001,0.0
660080,0.0
661049,0.0
662001,0.0
663078,0.0
664097,0.0
665001,0.0
666056,0.0
667002,0.0
668084,0.0
669044,0.0
670001,0.0
671082,0.0
672081,0.0
673081,0.0
674070,0.0
675099,0.0
676079,0.0
677002,0.0
678080,0.0
679080,0.0
680001,0.0
681095,0.0
682001,0.0
683084,0.0
684001,0.0
685082,0.0
686012,0.0
687081,0.0
688001,0.0
689080,0.0
690079,0.0
691078,0.0
692077,0.0
693001,0.0
694004,0.0
695001,0.0
696085,0.0
697001,0.0
698001,0.0
699087,0.0
700082,0.0
701081,0.0
702001,0.0
703080,0.0
704069,0.0
705078,0.0
706001,0.0
707002,0.0
708076,0.0
709076,0.0
710085,0.0
711084,0.0
712093,0.0
713083,0.0
714082,0.0
715062,0.0
716081,0.0
717002,0.0
718079,0.0
719082,0.0
720001,0.0
721001,0.0
722002,0.0
723076,0.0
724085,0.0
725084,0.0
726073,0.0
727063,0.0
728022,0.0
729051,0.0
730081,0.0
731080,0.0
732090,0.0
733089,0.0
734001,0.0
735067,0.0
736097,0.0
737076,0.0
738001,0.0
739088,0.0
740084,0.0
741083,0.0
742001,0.0
743082,0.0
744081,0.0
745001,0.0
746050,0.0
747079,0.0
748008,0.0
749008,0.0
750097,0.0
751056,0.0
752001,0.0
753085,0.0
754084,0.0
755093,0.0
756026,0.0
757001,0.0
758001,0.0
759084,0.0
760001,0.0
761089,0.0
762079,0.0
763078,0.0
764027,0.0
765047,0.0
766076,0.0
767085,0.0
768001,0.0
769002,0.0
770083,0.0
771082,0.0
772002,0.0
773081,0.0
774070,0.0
775079,0.0
776079,0.0
777061,0.0
778001,0.0
779110,0.0
780076,0.0
781045,0.0
782085,0.0
783084,0.0
784073,0.0
785083,0.0
786082,0.0
787081,0.0
788081,0.0
789060,0.0
790089,0.0
791079,0.0
792028,0.0
793077,0.0
794076,0.0
795046,0.0
796001,0.0
797001,0.0
798002,0.0
799063,0.0
800082,0.0
801082,0.0
802081,0.0
803080,0.0
804070,0.0
805001,0.0
806078,0.0
807047,0.0
808077,0.0
809026,0.0
810015,0.0
811085,0.0
812024,0.0
813001,0.0
814083,0.0
815001,0.0
816032,0.0
817081,0.0
818080,0.0
819093,0.0
820001,0.0
821098,0.0
822077,0.0
823077,0.0
824001,0.0
