Time (ms), Battery Current (A)
4572,0.0856671929359436
5102,0.1016584038734436
5501,0.076529361307621
6028,0.097089484333992
6501,0.076529361307621
7001,0.073102667927742
7501,0.076529361307621
8103,0.1028006300330162
8501,0.0479736253619194
9001,0.0868094190955162
9612,0.1142229214310646
10112,0.0879516527056694
10607,0.0959472507238388
11047,0.117649607360363
11501,0.0959472507238388
12025,0.073102667927742
12501,0.065107062458992
13025,0.0673915222287178
13501,0.0491158552467823
14026,0.0491158552467823
14525,0.0993739441037178
15093,0.0788138136267662
15603,0.0799560472369194
16102,0.0742449015378952
16532,0.0925205647945404
17025,0.0696759819984436
17571,0.0708182081580162
18025,0.0662492960691452
18501,0.076529361307621
19060,0.0799560472369194
19559,0.0662492960691452
20025,0.0879516527056694
20598,0.073102667927742
21001,0.0753871276974678
21501,0.0776715874671936
22077,0.0719604417681694
22501,0.1073695495724678
23076,0.0514003150165081
23586,0.073102667927742
24105,0.0742449015378952
24605,0.0856671929359436
25084,0.065107062458992
25594,0.0719604417681694
26057,0.0742449015378952
26513,0.0799560472369194
27106,0.1005161702632904
27501,0.0822405070066452
28032,0.0639648362994194
28604,0.0673915222287178
29001,0.0913783386349678
29525,0.0788138136267662
30001,0.0788138136267662
30501,0.081098273396492
31099,0.081098273396492
31608,0.0559692308306694
32108,0.089093878865242
32501,0.0536847747862339
33025,0.0879516527056694
33577,0.1142229214310646
34096,0.0799560472369194
34501,0.081098273396492
35106,0.0833827331662178
35545,0.0856671929359436
36075,0.0628226101398468
36604,0.0902361050248146
37025,0.0788138136267662
37501,0.0673915222287178
38103,0.081098273396492
38501,0.0673915222287178
39001,0.081098273396492
39501,0.0639648362994194
40031,0.0742449015378952
40601,0.0788138136267662
41101,0.0491158552467823
41501,0.0548270009458065
42099,0.0593959204852581
42501,0.065107062458992
43069,0.073102667927742
43513,0.044546939432621
44001,0.0628226101398468
44501,0.0456891693174839
45028,0.0833827331662178
45596,0.081098273396492
46025,0.0742449015378952
46605,0.065107062458992
47001,0.052542544901371
47526,0.0639648362994194
48001,0.0879516527056694
48501,0.073102667927742
49053,0.0673915222287178
49563,0.1085117757320404
50062,0.073102667927742
50562,0.0719604417681694
51106,0.097089484333992
51501,0.1028006300330162
52051,0.0959472507238388
52600,0.0856671929359436
53030,0.0959472507238388
53501,0.081098273396492
54099,0.0822405070066452
54608,0.109654001891613
55001,0.1085117757320404
55607,0.0959472507238388
56001,0.109654001891613
56607,0.1187918409705162
57001,0.0868094190955162
57525,0.105085089802742
58001,0.0913783386349678
58525,0.0982317104935646
59026,0.097089484333992
59501,0.0982317104935646
60054,0.1107962355017662
60525,0.1016584038734436
61001,0.1028006300330162
61602,0.0879516527056694
62001,0.097089484333992
62501,0.089093878865242
63031,0.105085089802742
63501,0.0948050245642662
64001,0.0925205647945404
64540,0.0948050245642662
65001,0.0902361050248146
65529,0.0788138136267662
66062,0.0902361050248146
66525,0.1039428561925888
67061,0.109654001891613
67581,0.1005161702632904
68013,0.109654001891613
68513,0.0845249593257904
69109,0.1005161702632904
69526,0.0982317104935646
70001,0.0925205647945404
70501,0.089093878865242
71026,0.0925205647945404
71501,0.0833827331662178
72013,0.0948050245642662
72603,0.1073695495724678
73102,0.097089484333992
73525,0.0742449015378952
74062,0.1039428561925888
74601,0.0959472507238388
75101,0.105085089802742
75501,0.1039428561925888
76080,0.0993739441037178
76501,0.081098273396492
77109,0.1085117757320404
77598,0.1085117757320404
78013,0.0868094190955162
78598,0.1085117757320404
79097,0.0936627984046936
79577,0.105085089802742
80106,0.1062273159623146
80536,0.113080695271492
81001,0.0719604417681694
81525,0.0742449015378952
82105,0.0948050245642662
82535,0.105085089802742
83064,0.0879516527056694
83501,0.1039428561925888
84025,0.0948050245642662
84583,0.0913783386349678
85052,0.0936627984046936
85602,0.0936627984046936
86111,0.1142229214310646
86525,0.0708182081580162
87025,0.0742449015378952
87600,0.0948050245642662
88013,0.0799560472369194
88529,0.1073695495724678
89102,0.0936627984046936
89513,0.0925205647945404
90001,0.081098273396492
90501,0.1005161702632904
91077,0.0776715874671936
91501,0.089093878865242
92106,0.0879516527056694
92606,0.113080695271492
93105,0.097089484333992
93513,0.0913783386349678
94001,0.0833827331662178
94604,0.0982317104935646
95001,0.105085089802742
95583,0.0833827331662178
96025,0.0788138136267662
96525,0.1073695495724678
97001,0.0822405070066452
97602,0.1119384616613388
98101,0.0959472507238388
98513,0.097089484333992
99025,0.0959472507238388
99526,0.097089484333992
100025,0.0673915222287178
100549,0.1073695495724678
101049,0.097089484333992
101501,0.1028006300330162
102068,0.0845249593257904
102597,0.0959472507238388
103001,0.1005161702632904
103501,0.0845249593257904
104106,0.109654001891613
104546,0.0925205647945404
105001,0.1279296725988388
105501,0.0982317104935646
106030,0.089093878865242
106604,0.0822405070066452
107025,0.0982317104935646
107557,0.0788138136267662
108025,0.0948050245642662
108501,0.0925205647945404
109106,0.1107962355017662
109501,0.0845249593257904
110105,0.105085089802742
110601,0.105085089802742
111001,0.0708182081580162
111526,0.076529361307621
112079,0.0822405070066452
112501,0.052542544901371
113029,0.1005161702632904
113598,0.0822405070066452
114001,0.1005161702632904
114513,0.0799560472369194
115028,0.0959472507238388
115566,0.105085089802742
116001,0.1028006300330162
116606,0.0856671929359436
117025,0.1028006300330162
117535,0.1062273159623146
118025,0.0959472507238388
118604,0.0948050245642662
119025,0.0925205647945404
119501,0.1016584038734436
120001,0.117649607360363
120501,0.0902361050248146
121001,0.0879516527056694
121526,0.0959472507238388
122101,0.1016584038734436
122551,0.1313563585281372
123025,0.0948050245642662
123525,0.0913783386349678
124040,0.1073695495724678
124501,0.0662492960691452
125069,0.1062273159623146
125501,0.0936627984046936
126001,0.0833827331662178
126513,0.0959472507238388
127028,0.1005161702632904
127525,0.0959472507238388
128001,0.1016584038734436
128525,0.0982317104935646
129045,0.1119384616613388
129501,0.0936627984046936
130001,0.0822405070066452
130544,0.117649607360363
131013,0.0845249593257904
131603,0.1085117757320404
132033,0.1073695495724678
132602,0.073102667927742
133102,0.117649607360363
133532,0.0822405070066452
134071,0.081098273396492
134501,0.1005161702632904
135001,0.0959472507238388
135570,0.1107962355017662
136090,0.0993739441037178
136599,0.117649607360363
137025,0.0845249593257904
137501,0.0948050245642662
138025,0.0948050245642662
138568,0.089093878865242
139001,0.0948050245642662
139566,0.0856671929359436
140106,0.0788138136267662
140501,0.11536514759063721
141001,0.0788138136267662
141535,0.0845249593257904
142001,0.1107962355017662
142501,0.1073695495724678
143025,0.0845249593257904
143526,0.073102667927742
144026,0.0673915222287178
144533,0.1062273159623146
145001,0.0925205647945404
145525,0.0879516527056694
146029,0.0868094190955162
146601,0.0913783386349678
147001,0.0925205647945404
147600,0.113080695271492
148025,0.0879516527056694
148525,0.1107962355017662
149102,0.0902361050248146
149526,0.097089484333992
150092,0.097089484333992
150568,0.105085089802742
151025,0.0959472507238388
151525,0.1165073812007904
152107,0.1165073812007904
152606,0.1039428561925888
153001,0.0868094190955162
153605,0.1062273159623146
154105,0.0948050245642662
154525,0.12336075305938721
155025,0.0856671929359436
155525,0.0833827331662178
156093,0.089093878865242
156501,0.0982317104935646
157102,0.0799560472369194
157525,0.089093878865242
158026,0.0788138136267662
158591,0.0936627984046936
159071,0.1016584038734436
159525,0.0982317104935646
160025,0.0936627984046936
160526,0.0856671929359436
161069,0.11536514759063721
161525,0.1119384616613388
162025,0.0959472507238388
162598,0.081098273396492
163001,0.0902361050248146
163597,0.1245029866695404
164001,0.089093878865242
164606,0.1073695495724678
165036,0.0902361050248146
165585,0.097089484333992
166001,0.1062273159623146
166501,0.0925205647945404
167030,0.0696759819984436
167525,0.0948050245642662
168037,0.0845249593257904
168501,0.0902361050248146
169026,0.0868094190955162
169525,0.0936627984046936
170105,0.105085089802742
170525,0.0936627984046936
171001,0.0856671929359436
171600,0.1062273159623146
172070,0.0708182081580162
172526,0.1016584038734436
173001,0.0982317104935646
173525,0.0753871276974678
174098,0.1028006300330162
174501,0.1028006300330162
175088,0.0982317104935646
175587,0.081098273396492
176001,0.097089484333992
176501,0.0936627984046936
177001,0.1016584038734436
177501,0.0982317104935646
178105,0.089093878865242
178545,0.0913783386349678
179001,0.076529361307621
179525,0.1336408257484436
180104,0.0902361050248146
180501,0.0753871276974678
181033,0.0925205647945404
181602,0.0982317104935646
182001,0.1005161702632904
182601,0.0673915222287178
