Time (ms), Y Acceleration (g)
4588,0.05517578125
4688,0.0673828125
4778,0.05859375
4818,0.05517578125
4908,0.05615234375
5007,0.0595703125
5107,0.06396484375
5247,0.05078125
5307,0.05322265625
5437,0.0537109375
5517,0.05810546875
5617,0.06640625
5707,0.0576171875
5807,0.06396484375
5907,0.0595703125
6037,0.05419921875
6126,0.05810546875
6237,0.0634765625
6307,0.05810546875
6406,0.0537109375
6516,0.0517578125
6616,0.0634765625
6766,0.05810546875
6846,0.05517578125
6906,0.056640625
7006,0.06103515625
7106,0.0634765625
7206,0.0576171875
7305,0.06201171875
7405,0.04833984375
7506,0.0712890625
7605,0.06396484375
7702,0.0625
7805,0.05419921875
7905,0.064453125
8005,0.06201171875
8115,0.068359375
8205,0.05908203125
8375,0.0537109375
8405,0.0634765625
8515,0.0576171875
8615,0.05810546875
8704,0.056640625
8864,0.064453125
8904,0.060546875
9014,0.05517578125
9114,0.05908203125
9204,0.0595703125
9304,0.05615234375
9453,0.05224609375
9514,0.06640625
9624,0.06005859375
9714,0.060546875
9803,0.06201171875
9913,0.0537109375
10013,0.056640625
10123,0.064453125
10213,0.0556640625
10323,0.06005859375
10403,0.05419921875
10513,0.05615234375
10623,0.06103515625
10772,0.06640625
10803,0.0615234375
10962,0.05224609375
11053,0.05224609375
11103,0.05859375
11203,0.05322265625
11303,0.0595703125
11412,0.06103515625
11512,0.060546875
11612,0.0654296875
11712,0.05859375
11811,0.06884765625
11912,0.0654296875
12031,0.06201171875
12121,0.05322265625
12261,0.0634765625
12311,0.05908203125
12461,0.06103515625
12511,0.05126953125
12611,0.06005859375
12711,0.06591796875
12811,0.046875
12911,0.0419921875
13031,0.05322265625
13121,0.05615234375
13270,0.06201171875
13310,0.06396484375
13410,0.0595703125
13510,0.060546875
13610,0.052734375
13702,0.064453125
13840,0.0576171875
13910,0.06005859375
14039,0.0517578125
14120,0.05908203125
14260,0.06591796875
14309,0.06396484375
14409,0.06982421875
14539,0.06201171875
14629,0.06298828125
14719,0.056640625
14809,0.0595703125
14909,0.0615234375
15002,0.05517578125
15109,0.04931640625
15209,0.06005859375
15309,0.0625
15408,0.0546875
15508,0.05810546875
15608,0.064453125
15702,0.0634765625
15808,0.0625
15908,0.0556640625
16008,0.0595703125
16108,0.06298828125
16208,0.0576171875
16307,0.05615234375
16458,0.0673828125
16538,0.05322265625
16607,0.05810546875
16737,0.05126953125
16807,0.0673828125
16907,0.06103515625
17037,0.05615234375
17127,0.064453125
17287,0.05859375
17307,0.0546875
17407,0.0673828125
17577,0.0556640625
17606,0.06201171875
17756,0.05419921875
17806,0.06298828125
17966,0.0556640625
18036,0.048828125
18126,0.06396484375
18276,0.0654296875
18306,0.044921875
18406,0.0595703125
18506,0.05810546875
18636,0.060546875
18705,0.05224609375
18805,0.05419921875
18935,0.06005859375
19066,0.06005859375
19105,0.05859375
19205,0.05810546875
19305,0.06787109375
19405,0.0595703125
19565,0.0576171875
19605,0.05615234375
19705,0.06298828125
19805,0.06005859375
19904,0.05810546875
20034,0.060546875
20124,0.05419921875
20214,0.0556640625
20304,0.05517578125
20464,0.04833984375
20504,0.05615234375
20604,0.056640625
20744,0.06103515625
20803,0.0556640625
20906,0.06787109375
21013,0.0654296875
21114,0.0732421875
21203,0.04296875
21313,0.052734375
21413,0.0576171875
21513,0.06494140625
21613,0.056640625
21773,0.06201171875
21803,0.0546875
21903,0.048828125
22083,0.05517578125
22103,0.05517578125
22203,0.05029296875
22372,0.06494140625
22403,0.0546875
22512,0.05908203125
22612,0.06298828125
22782,0.05859375
22832,0.0615234375
22952,0.0615234375
23082,0.06103515625
23112,0.048828125
23212,0.0732421875
23312,0.06494140625
23451,0.05908203125
23592,0.06103515625
23611,0.05615234375
23781,0.060546875
23811,0.05615234375
23941,0.064453125
24011,0.05029296875
24111,0.0673828125
24211,0.0625
24311,0.0546875
24410,0.0546875
24510,0.05615234375
24610,0.0322265625
24770,0.05859375
24810,0.06201171875
24930,0.06201171875
25090,0.05029296875
25110,0.05908203125
25220,0.05029296875
25309,0.05615234375
25409,0.06201171875
25502,0.0537109375
25609,0.0576171875
25759,0.05615234375
25809,0.0576171875
25909,0.064453125
26069,0.0595703125
26119,0.04638671875
26259,0.0615234375
26309,0.0595703125
26409,0.06201171875
26529,0.05517578125
26619,0.06787109375
26708,0.052734375
26808,0.068359375
26908,0.05322265625
27008,0.056640625
27118,0.06591796875
27208,0.0576171875
27358,0.05029296875
27408,0.03662109375
27508,0.060546875
27608,0.068359375
27707,0.0546875
27807,0.05224609375
27907,0.056640625
28047,0.0654296875
28127,0.05322265625
28207,0.05322265625
28377,0.0546875
28407,0.064453125
28507,0.0625
28617,0.0537109375
28707,0.05322265625
28807,0.060546875
28907,0.0595703125
29007,0.05615234375
29106,0.05908203125
29216,0.05615234375
29306,0.05029296875
29406,0.06396484375
29536,0.05908203125
29626,0.0615234375
29716,0.06298828125
29806,0.060546875
29905,0.0556640625
30006,0.06884765625
30106,0.04931640625
30205,0.06884765625
30325,0.05517578125
30405,0.05615234375
30515,0.0478515625
30625,0.06494140625
30725,0.05810546875
30805,0.05810546875
30905,0.05224609375
31005,0.06103515625
31114,0.06201171875
31204,0.06298828125
31304,0.05419921875
31404,0.0556640625
31514,0.0556640625
31614,0.060546875
31704,0.056640625
31804,0.0537109375
31904,0.05517578125
32014,0.05810546875
32115,0.05908203125
32202,0.0458984375
32303,0.072265625
32423,0.052734375
32513,0.0546875
32613,0.04833984375
32743,0.0595703125
32803,0.0546875
32903,0.0625
33033,0.068359375
33123,0.0625
33213,0.0537109375
33302,0.0625
33443,0.0615234375
33583,0.04833984375
33603,0.05859375
33703,0.05029296875
33803,0.06298828125
33903,0.0595703125
34002,0.05517578125
34102,0.0546875
34212,0.0546875
34312,0.0625
34411,0.060546875
34511,0.064453125
34612,0.0615234375
34712,0.06298828125
34811,0.046875
34931,0.0634765625
35011,0.05859375
35112,0.06103515625
35261,0.05615234375
35311,0.0634765625
35411,0.0615234375
35551,0.05859375
35611,0.0615234375
35710,0.0615234375
35810,0.0673828125
35960,0.0537109375
36081,0.06494140625
36110,0.0654296875
36220,0.060546875
36330,0.05810546875
36410,0.05908203125
36510,0.0625
36610,0.05859375
36760,0.0625
36809,0.06103515625
36929,0.05810546875
37039,0.05859375
37129,0.0615234375
37219,0.12109375
37309,0.0634765625
37409,0.05859375
37509,0.05322265625
37609,0.0595703125
37709,0.06591796875
37809,0.06494140625
37909,0.0556640625
38009,0.0546875
38109,0.056640625
38208,-0.8642578125
38308,0.33447265625
38408,-0.49951171875
38508,0.3037109375
38608,1.2255859375
38768,0.13818359375
38808,0.37939453125
38907,0.19140625
39008,0.69140625
39108,0.603515625
39247,0.5830078125
39377,0.32763671875
39467,0.0029296875
39507,0.0068359375
39607,-0.97265625
39777,-0.05419921875
39807,-0.0673828125
39907,-0.00341796875
40037,-0.009765625
40107,-0.01611328125
40207,0.1005859375
40366,0.18603515625
40406,0.1123046875
40506,0.14794921875
40607,0.396484375
40716,-0.01220703125
40806,-0.421875
40906,-0.6103515625
41006,-0.22705078125
41116,-0.33203125
41205,0.07470703125
41305,0.37158203125
41465,-0.0673828125
41506,-0.314453125
41635,-0.265625
41705,-0.15673828125
41805,0.0439453125
41955,-0.1982421875
42006,0.0634765625
42105,0.11572265625
42205,0.0498046875
42305,0.0615234375
42474,0.07470703125
42515,-0.62841796875
42615,0.162109375
42704,-0.08203125
42804,-0.12939453125
42904,0.3896484375
43075,-0.25390625
43104,-0.1884765625
43204,0.1162109375
43304,-0.29150390625
43444,-0.0439453125
43524,0.11572265625
43614,0.00146484375
43703,0.07177734375
43803,-0.0107421875
43903,0.20556640625
44013,0.28955078125
44113,-0.16943359375
44203,-0.06396484375
44373,0.11865234375
44433,-0.31298828125
44513,0.23486328125
44613,0.2490234375
44703,-0.427734375
44843,-0.130859375
44932,0.13818359375
45042,0.314453125
45132,0.39306640625
45272,0.34814453125
45303,0.06201171875
45412,0.08251953125
45502,0.14697265625
45602,0.41943359375
45712,1.22998046875
45811,0.2626953125
45912,0.29541015625
46042,0.185546875
46131,-0.06298828125
46261,0.1787109375
46311,0.20361328125
46421,0.1591796875
46511,0.185546875
46611,0.21533203125
46711,0.080078125
46811,0.22216796875
46911,0.244140625
47011,-0.14599609375
47111,0.30859375
47231,0.40869140625
47310,-0.0751953125
47410,0.1728515625
47540,-0.01708984375
47630,-0.40185546875
47710,0.16064453125
47810,0.0810546875
47902,-0.04150390625
48010,0.2666015625
48110,-0.14208984375
48209,0.04541015625
48379,0.0078125
48419,-0.0146484375
48509,0.2587890625
48609,-0.12939453125
48729,0.13623046875
48809,0.44873046875
48959,0.0810546875
49069,0.66455078125
49119,0.34375
49209,0.20751953125
49309,0.06640625
49438,0.041015625
49572,0.23291015625
49608,0.1376953125
49708,0.14013671875
49808,0.34228515625
49908,0.27490234375
50078,0.27734375
50118,0.28369140625
50208,0.30029296875
50308,0.2939453125
50407,0.3525390625
50568,0.43798828125
50607,0.35595703125
50707,0.34814453125
50857,0.43603515625
50937,0.283203125
51007,0.23193359375
51117,0.53662109375
51207,0.30322265625
51377,0.4130859375
51407,0.41162109375
51507,0.240234375
51607,0.759765625
51706,0.2802734375
51876,0.2275390625
51906,0.24951171875
52057,0.07470703125
52176,0.19287109375
52246,0.2880859375
52306,0.142578125
52406,0.1220703125
52506,0.08642578125
52606,0.12255859375
52705,0.5302734375
52805,0.14794921875
52905,-0.40771484375
53036,0.2138671875
53105,-2.728515625
53205,-0.19677734375
53325,-0.48779296875
53405,-0.3603515625
53515,-0.39453125
53615,-0.2490234375
53705,-0.39453125
53875,-0.00537109375
53905,0.13671875
54005,0.03515625
54104,0.00048828125
54204,-0.11376953125
54304,-0.115234375
54404,-0.09130859375
54514,-0.10205078125
54614,0.09912109375
54704,-0.18896484375
54874,-0.06640625
54904,-0.11572265625
55013,-0.38818359375
55114,-0.39306640625
55263,-0.44189453125
55303,-0.486328125
55403,-1.64990234375
55513,-0.5244140625
55613,-0.0224609375
55703,0.056640625
55853,-0.09814453125
55903,-0.1708984375
56013,-0.02294921875
56113,-0.052734375
56203,-0.0283203125
56352,0.119140625
56432,0.04248046875
56512,-0.0966796875
56612,0.05029296875
56703,0.015625
56803,0.072265625
56912,0.2197265625
57012,0.083984375
57112,0.14892578125
57212,0.09423828125
57312,0.07861328125
57412,0.1103515625
57531,-0.0546875
57621,0.0439453125
57702,-0.009765625
57811,0.07763671875
57921,0.1376953125
58011,0.09619140625
58111,0.10791015625
58211,0.10302734375
58311,0.10888671875
58402,0.107421875
58531,0.0986328125
58621,0.11376953125
58710,0.10302734375
58810,0.1005859375
58910,0.1181640625
59040,0.11181640625
59120,0.10400390625
59210,0.1181640625
59310,0.10595703125
59402,0.10498046875
59510,0.11572265625
59610,0.10791015625
59709,0.11767578125
59849,0.11962890625
59909,0.10107421875
60060,0.1181640625
60102,0.1142578125
60209,0.1259765625
60309,0.11474609375
60409,0.1005859375
60539,0.1142578125
60629,0.10107421875
60719,0.10791015625
60809,0.11376953125
60908,0.1015625
61009,0.1142578125
61108,0.10986328125
61238,0.111328125
61308,0.11083984375
61408,0.1103515625
61508,0.1142578125
61608,0.11669921875
61708,0.11279296875
61808,0.11279296875
61907,0.1103515625
62007,0.099609375
62108,0.12060546875
62247,0.119140625
62367,0.11181640625
62477,0.09765625
62507,0.1123046875
62607,0.10595703125
62767,0.10791015625
62877,0.1181640625
62907,0.11181640625
63037,0.1181640625
63107,0.107421875
63207,0.1044921875
63366,0.10693359375
63406,0.10791015625
63506,0.11279296875
63606,0.10400390625
63756,0.1015625
63836,0.10595703125
63946,0.107421875
64006,0.10986328125
64136,0.10888671875
64226,0.111328125
64305,0.11279296875
64405,0.111328125
64546,0.10107421875
64605,0.11083984375
64755,0.1123046875
64805,0.11328125
64905,0.1142578125
65015,0.1142578125
65115,0.109375
65235,0.10888671875
65305,0.10888671875
65405,0.1123046875
65535,0.103515625
65624,0.11669921875
65714,0.1162109375
65864,0.1123046875
65954,0.1103515625
66074,0.1044921875
66114,0.1123046875
66204,0.10498046875
66304,0.107421875
66404,0.1103515625
66534,0.10986328125
66623,0.1220703125
66753,0.1201171875
66803,0.10595703125
66973,0.1083984375
67073,0.11572265625
67113,0.11279296875
67203,0.107421875
67343,0.11962890625
67463,0.091796875
67593,0.11767578125
67613,0.126953125
67703,0.11181640625
67803,0.10302734375
67903,0.1171875
68022,0.12158203125
68112,0.109375
68203,0.1181640625
68322,0.1162109375
68412,0.11865234375
68522,0.1083984375
68612,0.1103515625
68712,0.109375
68812,0.11376953125
68931,0.1162109375
69011,0.1162109375
69121,0.11572265625
69211,0.12158203125
69311,0.1142578125
69411,0.1201171875
69532,0.1064453125
69671,0.11181640625
69711,0.107421875
69851,0.10791015625
69911,0.11376953125
70011,0.119140625
70121,0.11181640625
70210,0.1123046875
70310,0.11474609375
70410,0.1083984375
70510,0.1201171875
70611,0.111328125
70710,0.1162109375
70810,0.1171875
70930,0.11279296875
71040,0.11279296875
71180,0.11328125
71209,0.1083984375
71309,0.111328125
71409,0.1220703125
71509,0.10888671875
71610,0.11767578125
71729,0.11572265625
71869,0.1123046875
71929,0.111328125
72019,0.11083984375
72109,0.11767578125
72209,0.1142578125
72309,0.11767578125
72409,0.1162109375
72508,0.111328125
72609,0.1162109375
72778,0.11767578125
72808,0.11962890625
72908,0.109375
73008,0.1142578125
73108,0.109375
73208,0.1064453125
