Time (ms), Z Acceleration (g)
4598,1.07666015625
4698,1.080078125
4788,1.080078125
4828,1.08251953125
4918,1.09326171875
5018,1.072265625
5118,1.0703125
5258,1.0771484375
5317,1.07373046875
5447,1.078125
5527,1.09912109375
5627,1.0791015625
5717,1.0859375
5817,1.09130859375
5917,1.07373046875
6047,1.08203125
6137,1.08984375
6247,1.08740234375
6316,1.07958984375
6416,1.0859375
6526,1.07373046875
6626,1.0791015625
6776,1.076171875
6856,1.09814453125
6916,1.076171875
7016,1.07568359375
7116,1.08154296875
7216,1.07763671875
7316,1.10107421875
7416,1.0712890625
7515,1.08349609375
7615,1.078125
7705,1.08056640625
7815,1.08251953125
7915,1.091796875
8015,1.0751953125
8125,1.095703125
8215,1.07568359375
8302,1.07763671875
8415,1.0810546875
8524,1.07373046875
8624,1.0869140625
8714,1.07958984375
8874,1.0869140625
8914,1.06884765625
9024,1.076171875
9124,1.078125
9214,1.068359375
9314,1.08203125
9464,1.0693359375
9523,1.06640625
9633,1.0791015625
9723,1.0751953125
9813,1.078125
9923,1.0830078125
10023,1.07763671875
10133,1.07275390625
10223,1.0859375
10333,1.08154296875
10413,1.0703125
10523,1.08251953125
10633,1.08349609375
10783,1.0966796875
10812,1.0595703125
10972,1.08203125
11062,1.0810546875
11112,1.0810546875
11212,1.08447265625
11312,1.08642578125
11422,1.07666015625
11522,1.0908203125
11622,1.07958984375
11722,1.078125
11822,1.0771484375
11922,1.1005859375
12041,1.05908203125
12131,1.09423828125
12271,1.0751953125
12321,1.07958984375
12471,1.09423828125
12521,1.0869140625
12621,1.07275390625
12721,1.09814453125
12821,1.07470703125
12920,1.0185546875
13041,1.09423828125
13130,1.14453125
13280,1.0810546875
13320,1.09033203125
13420,1.07958984375
13520,1.080078125
13620,1.087890625
13710,1.09619140625
13850,1.06982421875
13920,1.07275390625
14050,1.09033203125
14130,1.07080078125
14269,1.08544921875
14319,1.0634765625
14419,1.0908203125
14549,1.08837890625
14639,1.07470703125
14729,1.0693359375
14819,1.08447265625
14919,1.08349609375
15009,1.06640625
15119,1.0751953125
15218,1.07421875
15318,1.08154296875
15418,1.07421875
15518,1.07275390625
15618,1.07763671875
15708,1.08154296875
15818,1.076171875
15918,1.0634765625
16018,1.07080078125
16118,1.0830078125
16218,1.08447265625
16318,1.0771484375
16468,1.076171875
16548,1.06591796875
16617,1.0703125
16747,1.06298828125
16817,1.0703125
16917,1.09228515625
17047,1.08154296875
17137,1.076171875
17207,1.078125
17317,1.07275390625
17417,1.08251953125
17587,1.05517578125
17616,1.07666015625
17766,1.07275390625
17816,1.08349609375
17976,1.080078125
18046,1.0712890625
18136,1.064453125
18286,1.07421875
18316,1.0791015625
18416,1.076171875
18515,1.07275390625
18645,1.07763671875
18716,1.07666015625
18815,1.08447265625
18945,1.0830078125
19075,1.08544921875
19115,1.08349609375
19215,1.08740234375
19315,1.0888671875
19415,1.08349609375
19575,1.08251953125
19615,1.0654296875
19714,1.07177734375
19814,1.08447265625
19914,1.095703125
20044,1.08642578125
20134,1.08984375
20224,1.07275390625
20314,1.09326171875
20474,1.0771484375
20514,1.0927734375
20614,1.08154296875
20753,1.0693359375
20814,1.064453125
20914,1.087890625
21024,1.0849609375
21123,1.048828125
21213,1.048828125
21323,1.07763671875
21423,1.0771484375
21523,1.06591796875
21623,1.08740234375
21702,1.08984375
21813,1.08056640625
21913,1.0849609375
22002,1.076171875
22112,1.08056640625
22212,1.07421875
22302,1.08544921875
22412,1.091796875
22522,1.0927734375
22622,1.080078125
22702,1.0830078125
22842,1.08251953125
22962,1.080078125
23092,1.07568359375
23122,1.0859375
23222,1.060546875
23321,1.0888671875
23461,1.10107421875
23502,1.0712890625
23621,1.0966796875
23702,1.1083984375
23821,1.06591796875
23951,1.09619140625
24021,1.0869140625
24121,1.10693359375
24220,1.068359375
24320,1.04541015625
24420,1.09716796875
24520,1.087890625
24620,1.06396484375
24780,1.033203125
24820,1.080078125
24940,1.09814453125
25002,1.0693359375
25120,1.080078125
25230,1.044921875
25320,1.06005859375
25420,1.27392578125
25509,1.09228515625
25619,1.0068359375
25769,1.08544921875
25819,1.10595703125
25919,1.06591796875
26079,1.0810546875
26129,1.0751953125
26269,1.09033203125
26319,1.0830078125
26419,1.09423828125
26538,1.08056640625
26628,1.0673828125
26718,1.09375
26818,1.0712890625
26918,1.07275390625
27018,1.0771484375
27128,1.07568359375
27218,1.0791015625
27368,1.078125
27418,1.07177734375
27518,1.0771484375
27618,1.091796875
27718,1.07275390625
27818,1.07958984375
27917,1.0576171875
28057,1.05517578125
28137,1.0830078125
28217,1.09423828125
28302,1.08544921875
28417,1.06982421875
28517,1.06640625
28627,1.0888671875
28717,1.0791015625
28816,1.07470703125
28916,1.09521484375
29016,1.06982421875
29116,1.087890625
29226,1.0771484375
29316,1.08154296875
29416,1.08349609375
29546,1.07666015625
29636,1.08154296875
29726,1.078125
29816,1.06689453125
29916,1.07763671875
30015,1.0791015625
30115,1.08642578125
30215,1.09130859375
30335,1.08837890625
30415,1.07275390625
30525,1.07177734375
30635,1.09130859375
30735,1.06884765625
30815,1.076171875
30915,1.07568359375
31015,1.0869140625
31125,1.09521484375
31214,1.076171875
31314,1.07958984375
31414,1.08447265625
31524,1.0703125
31624,1.068359375
31714,1.06298828125
31814,1.09033203125
31914,1.068359375
32024,1.07666015625
32124,1.078125
32203,1.11181640625
32314,1.052734375
32433,1.07470703125
32523,1.07080078125
32623,1.09619140625
32753,1.06884765625
32813,1.07421875
32913,1.07275390625
33043,1.0810546875
33133,1.09130859375
33223,1.07421875
33303,1.0927734375
33452,1.07080078125
33502,1.08837890625
33612,1.0810546875
33712,1.0712890625
33812,1.07763671875
33912,1.07470703125
34012,1.07177734375
34112,1.0712890625
34222,1.0810546875
34322,1.080078125
34422,1.07568359375
34522,1.09375
34621,1.09326171875
34721,1.08203125
34821,1.078125
34941,1.08251953125
35021,1.07177734375
35121,1.0693359375
35271,1.08984375
35321,1.09130859375
35421,1.0830078125
35561,1.07421875
35620,1.0751953125
35720,1.0986328125
35820,1.08251953125
35970,1.07373046875
36090,1.0888671875
36120,1.0712890625
36230,1.08447265625
36340,1.08447265625
36420,1.06884765625
36520,1.07275390625
36620,1.07470703125
36770,1.09619140625
36820,1.07958984375
36939,1.08984375
37049,1.07763671875
37139,1.08349609375
37229,1.06689453125
37319,1.07275390625
37419,1.0791015625
37519,1.08349609375
37619,1.07568359375
37719,1.08837890625
37819,1.0712890625
37918,1.0771484375
38018,1.0849609375
38118,1.08544921875
38218,0.33740234375
38318,-1.48876953125
38418,-3.173828125
38518,0.2685546875
38618,0.92626953125
38778,0.4990234375
38818,0.7626953125
38918,0.17236328125
39017,0.3115234375
39118,0.33056640625
39258,0.244140625
39302,0.3271484375
39477,0.18408203125
39517,0.29296875
39617,0.62890625
39702,0.52783203125
39817,0.44873046875
39917,0.32568359375
40047,0.23486328125
40117,0.18017578125
40216,0.41162109375
40376,0.73583984375
40416,0.3974609375
40516,0.7158203125
40616,0.8115234375
40726,1.07373046875
40816,0.990234375
40916,0.884765625
41016,0.65087890625
41126,0.8505859375
41216,1.25830078125
41316,1.16650390625
41475,0.99462890625
41515,1.37841796875
41645,1.7080078125
41715,0.8740234375
41815,1.05859375
41965,3.9998779296875
42015,0.96728515625
42115,1.02685546875
42215,0.98388671875
42315,0.990234375
42402,0.95654296875
42524,1.0185546875
42624,1.03125
42714,1.06591796875
42814,1.0283203125
42914,1.01708984375
43084,0.91552734375
43114,1.16259765625
43214,1.08984375
43314,0.58056640625
43454,1.06591796875
43534,0.98876953125
43624,0.9833984375
43714,1.05810546875
43813,1.17431640625
43913,1.14111328125
44023,1.12060546875
44123,0.52685546875
44213,0.96875
44302,0.98828125
44443,0.8759765625
44523,0.85693359375
44623,0.96484375
44712,1.24658203125
44852,1.01220703125
44943,0.98828125
45052,0.97119140625
45142,0.77734375
45282,0.86669921875
45312,1.150390625
45422,1.107421875
45512,0.62353515625
45612,2.9189453125
45722,0.25146484375
45822,1.0068359375
45922,0.7294921875
46051,0.47607421875
46141,1.14013671875
46271,1.19287109375
46321,0.8642578125
46431,0.853515625
46521,0.826171875
46621,0.78515625
46721,0.79736328125
46821,0.83837890625
46921,0.77392578125
47021,0.47119140625
47120,0.84765625
47240,0.64013671875
47320,-0.03857421875
47420,0.5517578125
47550,0.4716796875
47640,0.67333984375
47720,0.6484375
47820,0.7626953125
47910,0.759765625
48020,1.38427734375
48120,0.9833984375
48220,0.47314453125
48302,-0.81787109375
48429,-1.099609375
48519,-0.3857421875
48619,-0.7958984375
48739,1.23046875
48819,-0.939453125
48969,-0.71728515625
49079,-1.2099609375
49129,-0.8212890625
49219,-0.7939453125
49318,-0.82763671875
49449,-0.79345703125
49578,-0.751953125
49618,-0.7421875
49718,-0.70263671875
49818,-0.7353515625
49918,-0.638671875
