Time (ms), External Temperature (C)
10046,22.739999771118164
10534,22.739999771118164
11032,22.75
11504,22.760000228881836
12112,22.75
12504,22.739999771118164
13102,22.739999771118164
13581,22.75
14002,22.75
14528,22.75
15028,22.760000228881836
15586,22.760000228881836
16004,22.760000228881836
16535,22.770000457763672
17028,22.780000686645508
17534,22.780000686645508
18004,22.780000686645508
18502,22.790000915527344
19002,22.780000686645508
19552,22.790000915527344
20059,22.790000915527344
20503,22.790000915527344
21004,22.799999237060547
21564,22.790000915527344
22044,22.790000915527344
22528,22.780000686645508
23028,22.799999237060547
23599,22.799999237060547
24004,22.790000915527344
24548,22.799999237060547
25028,22.799999237060547
25597,22.809999465942383
26001,22.799999237060547
26504,22.809999465942383
27028,22.809999465942383
27529,22.809999465942383
28028,22.809999465942383
28502,22.799999237060547
29003,22.809999465942383
29529,22.809999465942383
30034,22.809999465942383
30504,22.809999465942383
31006,22.809999465942383
31535,22.81999969482422
32032,22.81999969482422
32532,22.829999923706055
33004,22.81999969482422
33502,22.829999923706055
34064,22.809999465942383
34549,22.829999923706055
35112,22.829999923706055
35528,22.829999923706055
36002,22.829999923706055
36528,22.829999923706055
37097,22.829999923706055
37567,22.84000015258789
38002,22.829999923706055
38504,22.84000015258789
39004,22.84000015258789
39504,22.84000015258789
40059,22.850000381469727
40548,22.84000015258789
41028,22.850000381469727
41529,22.84000015258789
42004,22.84000015258789
42504,22.84000015258789
43056,22.84000015258789
43528,22.850000381469727
44003,22.860000610351562
44501,22.850000381469727
45028,22.860000610351562
45528,22.850000381469727
46003,22.850000381469727
46608,22.850000381469727
47004,22.860000610351562
47502,22.850000381469727
48028,22.860000610351562
48607,22.860000610351562
49004,22.860000610351562
49586,22.860000610351562
50096,22.860000610351562
50504,22.8700008392334
51004,22.860000610351562
51529,22.8700008392334
52064,22.8700008392334
52504,22.8700008392334
53003,22.8700008392334
53529,22.8799991607666
54028,22.8700008392334
54504,22.860000610351562
55004,22.860000610351562
55501,22.8700008392334
56070,22.8799991607666
56504,22.8700008392334
57004,22.8700008392334
57504,22.8700008392334
58068,22.8799991607666
58528,22.8799991607666
59001,22.8799991607666
59503,22.8799991607666
60034,22.8700008392334
60503,22.8799991607666
61007,22.8799991607666
61501,22.889999389648438
62002,22.889999389648438
62507,22.889999389648438
63003,22.8799991607666
63502,22.889999389648438
64004,22.8799991607666
64503,22.899999618530273
