Time (ms), Y Acceleration (g)
10053,-0.00537109375
10143,-0.00634765625
10213,-0.0166015625
10303,-0.01953125
10403,-0.01318359375
10543,-0.01171875
10613,-0.013671875
10772,-0.01318359375
10803,-0.0029296875
10903,-0.00341796875
11042,-0.00634765625
11132,-0.017578125
11212,-0.015625
11303,-0.00732421875
11412,-0.01220703125
11512,-0.013671875
11612,-0.01171875
11711,-0.0048828125
11811,-0.01416015625
11912,-0.00732421875
12011,-0.01220703125
12121,-0.0126953125
12211,-0.01611328125
12371,-0.013671875
12421,-0.0078125
12511,-0.00927734375
12611,-0.00537109375
12711,-0.01416015625
12811,-0.01318359375
12961,-0.00537109375
13002,-0.00830078125
13110,-0.0078125
13210,-0.00830078125
13310,-0.013671875
13410,-0.01025390625
13590,-0.00537109375
13620,-0.015625
13750,-0.01220703125
13810,-0.0126953125
13910,-0.01708984375
14009,-0.0146484375
14119,-0.00830078125
14209,-0.0078125
14329,-0.0048828125
14429,-0.0078125
14539,-0.00634765625
14629,-0.0166015625
14719,-0.01806640625
14809,-0.005859375
14909,0.0
15039,-0.01513671875
15128,-0.00732421875
15219,-0.01318359375
15349,-0.01025390625
15408,-0.00439453125
15589,-0.00537109375
15608,-0.00830078125
15708,-0.01513671875
15808,-0.0234375
15908,-0.0087890625
16008,-0.00390625
16108,-0.0146484375
16268,-0.01025390625
16368,-0.01416015625
16457,-0.01171875
16538,-0.0078125
16607,-0.0126953125
16707,-0.01318359375
16807,-0.005859375
16902,-0.00830078125
17037,-0.013671875
17127,-0.0126953125
17257,0.0029296875
17357,-0.00830078125
17407,-0.00634765625
17537,-0.00537109375
17606,-0.00439453125
17706,-0.01318359375
17806,-0.01416015625
17906,-0.01904296875
18006,-0.0126953125
18106,-0.01171875
18206,-0.01025390625
18306,-0.009765625
18416,-0.00927734375
18506,-0.013671875
18606,-0.00537109375
18702,-0.005859375
18805,-0.01025390625
18975,-0.0146484375
19005,-0.0029296875
19105,-0.00439453125
19207,-0.00537109375
19305,-0.01318359375
19425,-0.0107421875
