Time (ms), Y Gyro (deg per sec)
10113,11.8529634475708
10273,10.952737808227539
10363,10.652663230895996
10463,11.252813339233398
10502,12.00300121307373
10673,12.00300121307373
10743,12.153038024902344
10863,11.402851104736328
10963,11.552887916564941
11102,12.903225898742676
11192,10.952737808227539
11272,11.252813339233398
11362,11.402851104736328
11472,11.8529634475708
11572,10.502625465393066
11672,11.552887916564941
11772,12.153038024902344
11872,11.402851104736328
11971,12.303075790405273
12071,11.102775573730469
12182,11.252813339233398
12271,11.402851104736328
12341,11.8529634475708
12481,12.153038024902344
12571,12.00300121307373
12671,13.203300476074219
12771,11.402851104736328
12871,12.153038024902344
12931,12.903225898742676
13060,12.153038024902344
13170,12.753188133239746
13271,11.8529634475708
13370,12.00300121307373
13470,11.552887916564941
13540,11.402851104736328
13680,12.903225898742676
13720,11.8529634475708
13870,12.753188133239746
13970,11.8529634475708
14070,11.402851104736328
14180,11.252813339233398
14269,11.102775573730469
14302,12.303075790405273
14402,10.502625465393066
14599,11.102775573730469
14689,12.453113555908203
14779,11.8529634475708
14869,12.00300121307373
14969,11.402851104736328
15099,11.102775573730469
15189,11.252813339233398
15279,12.453113555908203
15319,13.803450584411621
15469,11.8529634475708
15548,10.652663230895996
15668,11.102775573730469
15768,12.903225898742676
15868,12.00300121307373
15968,11.8529634475708
16068,12.903225898742676
16168,11.252813339233398
16238,12.153038024902344
16338,11.8529634475708
16428,12.303075790405273
16502,13.803450584411621
16668,13.203300476074219
16767,12.153038024902344
16867,12.303075790405273
16957,12.00300121307373
17097,11.252813339233398
17187,11.552887916564941
17227,12.303075790405273
17327,12.453113555908203
17467,11.402851104736328
17502,11.552887916564941
17667,11.402851104736328
17767,11.8529634475708
17867,11.8529634475708
17966,12.00300121307373
18066,11.8529634475708
18166,12.303075790405273
18266,11.552887916564941
18366,10.952737808227539
18476,13.053263664245605
18566,11.102775573730469
18666,12.303075790405273
18756,12.753188133239746
18865,11.552887916564941
18946,11.552887916564941
19065,12.453113555908203
19165,11.552887916564941
19265,13.203300476074219
19365,12.00300121307373
19402,12.153038024902344
19515,12.00300121307373
19665,11.552887916564941
19765,11.8529634475708
19865,12.753188133239746
19965,11.552887916564941
20124,10.952737808227539
20274,12.153038024902344
20364,11.8529634475708
20464,10.502625465393066
20574,12.453113555908203
20674,13.053263664245605
20764,11.402851104736328
20804,12.00300121307373
20974,12.153038024902344
21074,11.8529634475708
21173,10.652663230895996
21263,11.252813339233398
21363,11.8529634475708
21463,12.153038024902344
21523,12.303075790405273
21673,12.903225898742676
21763,13.203300476074219
21853,12.753188133239746
21963,13.053263664245605
22003,12.753188133239746
22173,11.8529634475708
22213,12.303075790405273
22363,11.102775573730469
22412,11.402851104736328
22592,12.153038024902344
22682,11.552887916564941
22772,11.252813339233398
22872,12.153038024902344
22972,12.153038024902344
23092,11.402851104736328
23182,11.8529634475708
23272,12.453113555908203
23302,12.00300121307373
23422,10.952737808227539
23561,12.753188133239746
23671,12.303075790405273
23771,12.153038024902344
23871,13.053263664245605
23971,10.502625465393066
24071,11.8529634475708
