Time (ms), Z Mangetometer (uT)
10093,-0.3048780560493469
10183,-0.3048780560493469
10253,-0.18292683362960815
10343,-0.3048780560493469
10443,-0.3048780560493469
10583,-0.3048780560493469
10652,-0.3048780560493469
10722,-0.24390244483947754
10842,-0.24390244483947754
10942,-0.3658536672592163
11082,-0.3658536672592163
11172,-0.18292683362960815
11252,-0.3048780560493469
11342,-0.3048780560493469
11452,-0.3048780560493469
11552,-0.24390244483947754
11652,-0.3048780560493469
11752,-0.3048780560493469
11852,-0.3658536672592163
11952,-0.4268292784690857
12051,-0.3048780560493469
12161,-0.3658536672592163
12251,-0.3048780560493469
12321,-0.3048780560493469
12461,-0.3658536672592163
12551,-0.3048780560493469
12651,-0.3658536672592163
12751,-0.24390244483947754
12851,-0.3048780560493469
12911,-0.3658536672592163
13041,-0.24390244483947754
13151,-0.3048780560493469
13250,-0.3048780560493469
13350,-0.24390244483947754
13450,-0.24390244483947754
13520,-0.3658536672592163
13660,-0.3048780560493469
13702,-0.24390244483947754
13850,-0.3048780560493469
13950,-0.3048780560493469
14050,-0.18292683362960815
14160,-0.3048780560493469
14250,-0.3048780560493469
14369,-0.3048780560493469
14469,-0.24390244483947754
14579,-0.3048780560493469
14669,-0.3048780560493469
14759,-0.24390244483947754
14849,-0.18292683362960815
14949,-0.24390244483947754
15079,-0.24390244483947754
15169,-0.24390244483947754
15258,-0.24390244483947754
15302,-0.3658536672592163
15448,-0.3658536672592163
15528,-0.24390244483947754
15648,-0.3048780560493469
15748,-0.3048780560493469
15848,-0.3048780560493469
15948,-0.24390244483947754
16048,-0.3048780560493469
16148,-0.24390244483947754
16218,-0.24390244483947754
16318,-0.24390244483947754
16407,-0.3048780560493469
16578,-0.3048780560493469
16647,-0.3048780560493469
16747,-0.3048780560493469
16847,-0.3048780560493469
16937,-0.3048780560493469
17077,-0.4268292784690857
17167,-0.24390244483947754
17207,-0.4268292784690857
17307,-0.3658536672592163
17447,-0.3048780560493469
17577,-0.24390244483947754
17646,-0.3048780560493469
17746,-0.3048780560493469
17846,-0.24390244483947754
17946,-0.24390244483947754
18046,-0.18292683362960815
18146,-0.3048780560493469
18246,-0.24390244483947754
18346,-0.3048780560493469
18456,-0.3658536672592163
18546,-0.3658536672592163
18646,-0.3048780560493469
18736,-0.3048780560493469
18845,-0.3048780560493469
18925,-0.3048780560493469
19045,-0.3048780560493469
19145,-0.4268292784690857
19245,-0.3048780560493469
19345,-0.3048780560493469
19465,-0.24390244483947754
19502,-0.3048780560493469
19645,-0.3658536672592163
19745,-0.3048780560493469
19844,-0.3048780560493469
19944,-0.3048780560493469
20104,-0.3048780560493469
