Time (ms), Battery Temperature (C)
10045,20.610000610351562
10533,20.610000610351562
11031,20.610000610351562
11502,20.600000381469727
12111,20.610000610351562
12502,20.610000610351562
13101,20.600000381469727
13576,20.610000610351562
14110,20.6200008392334
14527,20.610000610351562
15027,20.610000610351562
15585,20.610000610351562
16002,20.6200008392334
16534,20.6200008392334
17027,20.6299991607666
17533,20.6200008392334
18002,20.6299991607666
18501,20.6299991607666
19102,20.6299991607666
19551,20.6200008392334
20057,20.639999389648438
20502,20.639999389648438
21002,20.639999389648438
21563,20.639999389648438
22039,20.639999389648438
22527,20.639999389648438
23027,20.649999618530273
23598,20.649999618530273
24002,20.649999618530273
24547,20.639999389648438
25027,20.649999618530273
25596,20.649999618530273
26106,20.639999389648438
26502,20.65999984741211
27027,20.649999618530273
27528,20.65999984741211
28027,20.65999984741211
28603,20.65999984741211
29002,20.65999984741211
29528,20.639999389648438
30033,20.649999618530273
30502,20.649999618530273
31002,20.65999984741211
31534,20.649999618530273
32031,20.65999984741211
32530,20.65999984741211
33002,20.649999618530273
33501,20.649999618530273
34062,20.649999618530273
34548,20.65999984741211
35111,20.65999984741211
35527,20.65999984741211
36001,20.65999984741211
36527,20.65999984741211
37096,20.670000076293945
37566,20.65999984741211
38105,20.65999984741211
38502,20.65999984741211
39002,20.65999984741211
39502,20.649999618530273
40058,20.65999984741211
40547,20.65999984741211
41027,20.670000076293945
41528,20.65999984741211
42002,20.65999984741211
42502,20.670000076293945
43051,20.670000076293945
43527,20.649999618530273
44002,20.65999984741211
44599,20.65999984741211
45027,20.65999984741211
45527,20.65999984741211
46002,20.65999984741211
46607,20.65999984741211
47002,20.68000030517578
47501,20.68000030517578
48027,20.670000076293945
48606,20.68000030517578
49002,20.68000030517578
49585,20.68000030517578
50094,20.68000030517578
50502,20.690000534057617
51002,20.690000534057617
51528,20.68000030517578
52063,20.68000030517578
52502,20.68000030517578
53002,20.690000534057617
53528,20.68000030517578
54027,20.690000534057617
54502,20.700000762939453
55002,20.700000762939453
55599,20.690000534057617
56069,20.700000762939453
56502,20.690000534057617
57002,20.700000762939453
57502,20.690000534057617
58067,20.700000762939453
58527,20.700000762939453
59106,20.700000762939453
59502,20.690000534057617
60033,20.690000534057617
60502,20.700000762939453
61006,20.709999084472656
61604,20.709999084472656
62001,20.709999084472656
62502,20.700000762939453
63002,20.719999313354492
63501,20.719999313354492
64002,20.709999084472656
64502,20.719999313354492
