Time (ms), VOC density (ppb)
10136,0.0
10519,0.0
11013,0.0
11594,0.0
12097,0.0
12593,0.0
13087,0.0
13562,0.0
14092,0.0
14513,0.0
15013,0.0
15571,0.0
16090,0.0
16520,0.0
17013,0.0
17519,0.0
18089,0.0
18588,0.0
19088,0.0
19537,0.0
20013,0.0
20596,0.0
21096,0.0
21545,0.0
22025,0.0
22513,0.0
23013,0.0
23584,0.0
24093,0.0
24533,0.0
25013,0.0
25582,0.0
26092,0.0
26591,0.0
27013,0.0
27514,0.0
28013,0.0
28589,0.0
29089,0.0
29514,0.0
30118,0.0
30598,0.0
31097,0.0
31520,0.0
32013,0.0
32513,0.0
33095,0.0
33595,0.0
34045,0.0
34534,0.0
35097,0.0
35513,0.0
36096,0.0
36513,0.0
37082,0.0
37552,0.0
38091,0.0
38590,0.0
39090,0.0
39589,0.0
40013,0.0
40529,0.0
41013,0.0
41514,0.0
42097,0.0
42597,0.0
43037,0.0
43513,0.0
44099,0.0
44585,0.0
45013,0.0
45513,0.0
46094,0.0
46593,0.0
47093,0.0
47593,0.0
48013,0.0
48592,0.0
49091,0.0
49571,0.0
50050,0.0
50590,0.0
51093,0.0
51514,0.0
52049,0.0
52588,0.0
53088,0.0
53514,0.0
54013,0.0
54596,0.0
55096,0.0
55585,0.0
56055,0.0
56595,0.0
57094,0.0
57594,0.0
58053,0.0
58513,0.0
59092,0.0
59592,0.0
60121,0.0
60591,0.0
61101,0.0
61590,0.0
62090,0.0
62599,0.0
63089,0.0
63589,0.0
64088,0.0
64587,0.0
