Time (ms), Y Mangetometer (uT)
10083,0.0
10173,0.060975611209869385
10243,0.060975611209869385
10333,0.060975611209869385
10433,0.0
10573,0.0
10643,0.060975611209869385
10712,0.0
10833,0.0
10932,0.0
11072,0.0
11162,0.060975611209869385
11242,0.0
11332,0.0
11442,0.060975611209869385
11542,0.060975611209869385
11642,0.060975611209869385
11741,0.060975611209869385
11841,0.060975611209869385
11941,0.060975611209869385
12041,0.12195122241973877
12151,0.060975611209869385
12241,0.0
12311,0.060975611209869385
12451,0.12195122241973877
12541,0.0
12641,0.060975611209869385
12741,0.060975611209869385
12841,-0.060975611209869385
12902,0.060975611209869385
13031,0.0
13140,0.0
13240,0.0
13340,0.060975611209869385
13440,0.060975611209869385
13510,0.0
13650,0.060975611209869385
13780,-0.060975611209869385
13840,0.060975611209869385
13940,-0.060975611209869385
14039,0.0
14149,0.0
14239,0.060975611209869385
14359,0.060975611209869385
14459,0.0
14569,0.12195122241973877
14659,0.0
14749,0.0
14839,0.0
14939,0.060975611209869385
15069,0.060975611209869385
15158,-0.060975611209869385
15249,0.0
15379,-0.060975611209869385
15438,0.060975611209869385
15518,0.060975611209869385
15638,0.060975611209869385
15738,0.0
15838,0.0
15938,0.12195122241973877
16038,0.0
16138,0.12195122241973877
16208,-0.060975611209869385
16307,-0.060975611209869385
16402,0.060975611209869385
16567,0.0
16637,0.0
16737,0.060975611209869385
16837,0.0
16927,0.060975611209869385
17067,0.060975611209869385
17157,0.060975611209869385
17287,0.060975611209869385
17302,0.0
17437,0.0
17566,0.0
17636,0.0
17736,-0.060975611209869385
17836,0.0
17936,0.0
18036,0.0
18136,0.0
18236,0.060975611209869385
18336,-0.060975611209869385
18446,0.060975611209869385
18536,0.0
18636,0.0
18725,0.0
18835,0.0
18915,-0.060975611209869385
19035,0.060975611209869385
19135,0.060975611209869385
19235,0.060975611209869385
19335,0.060975611209869385
19455,0.0
19585,0.060975611209869385
19635,0.060975611209869385
19735,0.0
19835,0.0
19934,0.060975611209869385
20094,0.0
20184,0.12195122241973877
20244,-0.060975611209869385
20334,0.12195122241973877
20434,0.060975611209869385
20544,0.0
20644,0.0
20734,0.0
20864,-0.060975611209869385
20943,0.060975611209869385
21043,0.0
21143,0.060975611209869385
21233,-0.060975611209869385
21333,0.060975611209869385
21433,0.060975611209869385
21502,0.0
21643,0.060975611209869385
21733,0.0
21823,0.0
21933,0.060975611209869385
22082,0.060975611209869385
22142,0.0
22272,-0.060975611209869385
22332,0.0
22472,0.060975611209869385
22562,0.0
22652,0.0
22742,-0.060975611209869385
22842,0.0
22942,0.0
23062,0.0
23152,0.0
23241,-0.060975611209869385
23361,0.12195122241973877
23481,0.060975611209869385
23531,0.060975611209869385
23641,0.0
23741,-0.12195122241973877
23841,0.0
23941,0.0
24041,0.060975611209869385
24151,0.0
24241,0.060975611209869385
24341,0.060975611209869385
24440,0.0
24580,0.0
24630,0.060975611209869385
24720,0.0
24840,0.0
24970,0.12195122241973877
25060,0.060975611209869385
25150,0.12195122241973877
25210,0.060975611209869385
25339,0.0
25429,0.060975611209869385
25529,0.060975611209869385
25602,0.0
25739,0.060975611209869385
25839,0.0
25939,0.060975611209869385
26039,0.0
26139,0.060975611209869385
26239,0.0
26339,0.0
26469,0.0
26539,0.0
26639,0.060975611209869385
26738,-0.060975611209869385
26802,0.060975611209869385
26938,0.060975611209869385
27068,0.060975611209869385
27158,0.060975611209869385
27278,0.060975611209869385
27368,0.060975611209869385
27438,0.0
27568,0.0
27647,0.12195122241973877
27737,0.0
27837,0.060975611209869385
27937,0.0
28067,0.0
28157,0.060975611209869385
28247,0.060975611209869385
28337,0.12195122241973877
28402,0.060975611209869385
28537,-0.060975611209869385
28637,0.060975611209869385
28737,0.060975611209869385
28816,0.060975611209869385
28936,0.0
29036,0.0
29136,0.060975611209869385
29236,-0.12195122241973877
29336,-0.060975611209869385
29436,0.12195122241973877
29566,0.0
29646,0.0
29736,0.060975611209869385
29835,0.0
29935,0.060975611209869385
30066,0.0
30166,-0.060975611209869385
30255,0.0
30345,0.0
30435,-0.060975611209869385
30545,0.060975611209869385
30645,0.060975611209869385
30735,0.0
30835,0.060975611209869385
30935,0.060975611209869385
31044,0.0
31144,0.0
31214,0.060975611209869385
31334,0.060975611209869385
31434,0.12195122241973877
31574,0.0
31644,-0.060975611209869385
31702,0.12195122241973877
